nan,6.399999999999920419e+00,6.905070600652821966e+00,8.541662601624974371e+00,8.390470785361165085e+00,6.523802572119955734e+00,7.199999999999930900e+00,8.634813257969137013e+00,9.533100230250347806e+00,6.511528238439742822e+00,7.310266752998906270e+00,1.254113232527270050e+01,8.475848040166781061e+00,9.951884243699700150e+00,1.056030302595526749e+01,1.092520022699815740e+01,8.616263691415126047e+00,1.084681212768673397e+01,9.591663046625413358e+00,9.999999999999998224e+00,1.010346475225209417e+01,9.781615408510011989e+00,1.326649916142157970e+01,1.196662024132129787e+01,1.073312629199899426e+01,8.342661445845660495e+00,8.246211251235406436e+00,7.121797525905890325e+00,7.483314773547809828e+00,7.353910524340069976e+00,7.807688518377183584e+00,9.789790600416306887e+00,7.321202087089162092e+00,9.499473669630400963e+00,1.305986217385160586e+01,7.673330437300343476e+00,5.440588203494159281e+00,6.893475175845514613e+00,7.418894796396481084e+00,7.989993742175277802e+00,7.332121111929254198e+00,6.905070600652659429e+00,1.275617497528157962e+01,7.858753081755367020e+00,7.631513611335485336e+00,6.962758074211570225e+00,7.919595949289274905e+00,6.157921727336195694e+00,7.807688518377150722e+00,8.187795796183417352e+00,7.408103670980772826e+00,1.195324223798708196e+01,7.397296803562682044e+00,6.066300355241207143e+00,6.974238309665063085e+00,6.870225614926955160e+00,6.823488843692734562e+00,6.572670690061907628e+00,8.265591327908719421e+00,7.959899496852949952e+00,6.560487786742585925e+00,7.631513611335567049e+00,6.387487769068506793e+00,6.053098380168575154e+00,5.919459434779465568e+00,1.109233969908961015e+01,1.179830496300204778e+01,6.823488843692662620e+00,5.727128425310390014e+00,8.881441324469777854e+00,6.474565622495390471e+00,7.177743377970466021e+00,9.277930803794493642e+00,6.387487769068408205e+00,5.973273809226991915e+00
6.399999999999920419e+00,nan,8.255906976219995030e+00,6.548282217497857438e+00,1.035374328443577774e+01,6.013318551349075669e+00,6.645299090334384040e+00,6.997142273814271896e+00,7.979974937303983218e+00,8.971064596802206026e+00,6.881860213634049650e+00,1.517366139071249975e+01,1.041537325303318617e+01,1.191973154060110573e+01,1.303533658944022910e+01,1.324235628579744883e+01,1.021371626784289788e+01,1.301486329803986841e+01,1.175074465725465878e+01,1.170982493464357077e+01,1.198665925101732554e+01,1.153776408148475063e+01,1.622837022008060970e+01,1.458218090684656865e+01,1.301691207621835389e+01,1.023718711365578748e+01,9.732420048477070651e+00,7.766595135579016151e+00,6.449806198638852628e+00,7.899367063252572763e+00,9.558242516278813383e+00,1.188612636648286802e+01,8.790904390334283391e+00,1.155854662143991440e+01,1.580885827629561291e+01,7.807688518377192466e+00,5.011985634456605609e+00,7.310266752998784590e+00,6.560487786742588590e+00,9.182592226599156859e+00,8.447484832777160335e+00,6.337191807101802965e+00,1.071074227119668265e+01,5.851495535331227238e+00,7.461903242471012554e+00,8.059776671843879470e+00,6.693280212272576968e+00,6.486909896090670813e+00,6.740919818541010855e+00,9.121403400793013816e+00,6.752777206453604464e+00,1.024499877989254415e+01,8.079603950689575598e+00,7.199999999999916689e+00,7.610519036176056851e+00,7.364781055808712118e+00,6.105735008989503498e+00,8.128960573160570746e+00,9.549869109050698412e+00,7.088018058667563182e+00,6.349803146554946487e+00,6.905070600652785551e+00,6.026607669327739281e+00,5.782732917920354154e+00,5.642694391866239556e+00,9.295160030897827497e+00,1.152388823271033225e+01,7.088018058667757693e+00,5.556977595779952317e+00,7.054076835419357039e+00,5.336665625650478972e+00,6.499230723708685709e+00,7.652450587883521393e+00,5.106858133921365450e+00,5.999999999999906741e+00
6.905070600652821966e+00,8.255906976219995030e+00,nan,1.041537325303322170e+01,8.772684879784359069e+00,5.366563145999313278e+00,4.963869458396248824e+00,6.118823416311312435e+00,9.649870465451749979e+00,5.571355310873695288e+00,5.768882040742268735e+00,9.338094023942991484e+00,4.381780460041128755e+00,6.183849933495995543e+00,7.019971509913648156e+00,7.397296803562763756e+00,3.709447398198372436e+00,6.588879520322994843e+00,5.321653878260055315e+00,5.215361924162119855e+00,6.118823416311313323e+00,5.656854249492458742e+00,1.033827838665607146e+01,8.763560920082584360e+00,7.031358332498744979e+00,3.979949748426414136e+00,3.878143885932953783e+00,3.322649545167075669e+00,8.019975062305276126e+00,2.800000000000044675e+00,4.059556626036845195e+00,5.837807807730614584e+00,2.993325909418960151e+00,5.484523680320710248e+00,9.797958971132617378e+00,3.555277766926115302e+00,4.613025037868196954e+00,2.884441020371119269e+00,6.474565622495370931e+00,3.274141108748901630e+00,2.939387691339750752e+00,5.411099703387385773e+00,1.305373509766455875e+01,8.579044235810817653e+00,5.656854249492498710e+00,2.227105745131916059e+00,7.429670248402633348e+00,3.394112549695331271e+00,7.244308110509851240e+00,3.274141108749090368e+00,5.614267539047243183e+00,1.339253523422660663e+01,2.683281572999811626e+00,3.666060555964683498e+00,2.799999999999784439e+00,2.828427124746270671e+00,5.199999999999886491e+00,2.771281292110104211e+00,3.709447398198153056e+00,6.788225099390795769e+00,4.979959839195383431e+00,7.969943538068489097e+00,4.613025037868352385e+00,4.749736834815136532e+00,5.411099703387726834e+00,1.189957982451483254e+01,1.532057440176443386e+01,5.411099703387333371e+00,4.381780460041018621e+00,9.303762679690393611e+00,8.854377448471300482e+00,5.215361924162092322e+00,9.156418513807595971e+00,7.807688518377179143e+00,3.857460304396948203e+00
8.541662601624974371e+00,6.548282217497857438e+00,1.041537325303322170e+01,nan,1.459863007271565394e+01,5.513619500836077769e+00,6.974238309665066637e+00,7.461903242471102260e+00,3.878143885932860080e+00,1.305373509766457651e+01,7.397296803562592338e+00,1.866333303566117507e+01,1.329059818066894039e+01,1.536749816983875583e+01,1.634625339336200156e+01,1.661806246227275707e+01,1.281249390243748643e+01,1.598666110647661576e+01,1.455472431892814988e+01,1.427165021992892591e+01,1.523154621172779244e+01,1.490234880815771668e+01,1.983128840998488585e+01,1.807097119692236831e+01,1.630214709785176908e+01,1.264278450342326998e+01,1.245792920191790643e+01,9.806120537704876128e+00,5.628498911788002879e+00,9.814275317108140939e+00,1.275617497528146771e+01,1.498265664026232891e+01,1.140526194350646527e+01,1.453272169966797378e+01,1.932459572668984649e+01,9.372299611087889559e+00,7.211102550927913413e+00,8.917398723843199093e+00,4.732863826479708713e+00,1.176435293588223097e+01,1.071820880557935851e+01,5.741080037763012456e+00,5.973273809227343634e+00,3.487119154832356127e+00,6.788225099390860606e+00,1.020588065773843489e+01,4.715930449020371285e+00,7.745966692414855359e+00,4.472135954999473917e+00,1.146821694946516423e+01,5.670978751503065851e+00,4.543126676640223849e+00,1.029174426421475630e+01,9.781615408509907184e+00,9.516301802696263579e+00,9.112628599915554517e+00,6.039867548216655280e+00,1.052235715037275732e+01,1.210619676033719649e+01,5.199999999999724842e+00,6.131883886702250486e+00,4.898979485566244740e+00,6.079473661428127507e+00,6.157921727336185924e+00,5.440588203494302277e+00,3.730951621234462223e+00,6.474565622495625838e+00,6.449806198638797561e+00,6.536053855347080166e+00,2.912043955711796972e+00,3.730951621235446769e+00,6.399999999999865352e+00,4.525483399593786871e+00,4.363484845853954575e+00,6.799999999999949196e+00
8.390470785361165085e+00,1.035374328443577774e+01,8.772684879784359069e+00,1.459863007271565394e+01,nan,1.155162326255484828e+01,1.148912529307603769e+01,1.120714058089756016e+01,1.559487095169436088e+01,6.039867548216491855e+00,1.283121194587647018e+01,7.610519036176053298e+00,6.717142249498742501e+00,7.472616676907559707e+00,6.776429738438783268e+00,6.560487786742757343e+00,7.515317691222346497e+00,8.016649341630616377e+00,7.683749084919302419e+00,8.039900496896629889e+00,6.437390775772006357e+00,7.451174404079085711e+00,8.284926070883090077e+00,7.451174404078789060e+00,6.799999999999871036e+00,8.836288813749819226e+00,7.076722405181605779e+00,9.260669522232149120e+00,1.492380648494197182e+01,8.809086218217993647e+00,6.170899448216379923e+00,6.681317235395934695e+00,7.525955088890562195e+00,6.764613810114959769e+00,8.456949804746351163e+00,9.641576634555185876e+00,1.004788534966437297e+01,9.372299611087974824e+00,1.267438361420391146e+01,7.504665215717372106e+00,7.451174404078907187e+00,1.170299107066229283e+01,1.909554921964796748e+01,1.482700239428039879e+01,1.266807009769030756e+01,8.380930735902680340e+00,1.401713237434807269e+01,9.740636529508703845e+00,1.344023809312921358e+01,7.568355171369688605e+00,1.179152237838683348e+01,1.872324758154946167e+01,7.838367176906139377e+00,6.752777206453671965e+00,8.799999999999940314e+00,8.962142600963503014e+00,1.140526194350657008e+01,7.641989269817019981e+00,7.233256528010103104e+00,1.307210771069437349e+01,1.141227409414965699e+01,1.470782104868020035e+01,1.082958909654465174e+01,1.059056183589894751e+01,1.103449137930705604e+01,1.759090674183685010e+01,2.004794253782670665e+01,1.169615321377057704e+01,9.748846085563085850e+00,1.524729484203676222e+01,1.262378707044770998e+01,1.120000000000008988e+01,1.572768260106993665e+01,1.285612694399063827e+01,1.000799680255728674e+01
6.523802572119955734e+00,6.013318551349075669e+00,5.366563145999313278e+00,5.513619500836077769e+00,1.155162326255484828e+01,nan,2.561249694973134705e+00,4.156921938165202057e+00,5.075431016179684285e+00,9.095053600721636045e+00,3.919183588453067912e+00,1.345213737664019327e+01,7.999999999999941380e+00,1.028396810574601439e+01,1.110675470153191746e+01,1.146821694946518910e+01,7.397296803562827705e+00,1.055777754390885725e+01,9.121403400792878813e+00,8.809086218218091346e+00,1.007174264961133225e+01,9.533100230250285634e+00,1.462053350599760293e+01,1.285612694399047840e+01,1.100545319375790676e+01,7.031358332498504282e+00,7.222188034106933330e+00,4.399999999999700151e+00,4.560701700396297298e+00,4.560701700396569080e+00,7.725283166331083251e+00,9.724196624914506870e+00,6.260990336999238792e+00,9.295160030897667625e+00,1.405133445620016275e+01,4.156921938165072383e+00,3.577708763999350783e+00,3.644173431657410145e+00,1.959591794226550387e+00,6.511528238439927563e+00,5.600000000000037836e+00,1.743559577416524009e+00,8.736131867136492701e+00,4.543126676640266481e+00,2.433105012118863542e+00,5.011985634456251226e+00,3.440930106816819656e+00,2.771281292110365779e+00,2.561249694972844271e+00,6.235382907247837281e+00,2.154065922853707793e+00,8.371379814582502021e+00,5.321653878259867909e+00,5.878775382679440220e+00,4.270831300812258924e+00,3.857460304397062334e+00,1.743559577416467610e+00,5.455272678794268693e+00,6.858571279792811559e+00,2.653299832284103044e+00,1.649242250248054598e+00,4.326661530556589419e+00,1.959591794226177797e+00,1.876166303929522217e+00,2.433105012119021193e+00,6.997142273814406011e+00,1.089587077750100974e+01,2.399999999998966960e+00,2.497999199358949429e+00,4.783304297240544400e+00,5.138093031465859717e+00,2.399999999999010036e+00,4.732863826479235314e+00,4.308131845707186436e+00,2.227105745131934267e+00
7.199999999999930900e+00,6.645299090334384040e+00,4.963869458396248824e+00,6.974238309665066637e+00,1.148912529307603769e+01,2.561249694973134705e+00,nan,4.270831300812298892e+00,6.462197768561290800e+00,8.662563131083159007e+00,2.561249694972930424e+00,1.213260071048244093e+01,7.133021800050870276e+00,8.953211714239630581e+00,9.967948635501679533e+00,1.026060427070445336e+01,6.374950980203490047e+00,8.965117586140824102e+00,7.879086241436660032e+00,7.266360849834049063e+00,9.277930803794523840e+00,8.148619514985051993e+00,1.330864380769119393e+01,1.157929186090406937e+01,9.838699100999079405e+00,6.196773353931859241e+00,6.362389488234621027e+00,3.440930106816912470e+00,5.043808085167087896e+00,3.979949748426439449e+00,7.310266752998947126e+00,8.466404195406516564e+00,5.599999999999845990e+00,8.197560612767576416e+00,1.264278450342321669e+01,2.939387691339867104e+00,3.666060555964633760e+00,3.249615361854184759e+00,2.884441020370933639e+00,5.599999999999980993e+00,5.106858133921558185e+00,2.190890230020341889e+00,9.707728879609126338e+00,5.027922035990652461e+00,3.072458299147085015e+00,4.613025037868035305e+00,3.939543120718265179e+00,2.856571371417182981e+00,3.577708763999816188e+00,5.169139193327990434e+00,3.370459909270274057e+00,9.674709297958242971e+00,4.947726750741050950e+00,6.066300355241148523e+00,3.878143885933007073e+00,3.417601498127119442e+00,2.154065922854067949e+00,4.947726750741754387e+00,6.449806198638813548e+00,3.149603149603862562e+00,2.190890230020068330e+00,4.931531202375161627e+00,2.529822128134208814e+00,2.622975409720427642e+00,3.224903099319105237e+00,8.246211251235356698e+00,1.222456543194890166e+01,2.939387691339687692e+00,2.465765601188287359e+00,5.585696017507348010e+00,5.796550698475337882e+00,2.653299832284418791e+00,5.542562584219674626e+00,5.011985634456717520e+00,2.262741699796265493e+00
8.634813257969137013e+00,6.997142273814271896e+00,6.118823416311312435e+00,7.461903242471102260e+00,1.120714058089756016e+01,4.156921938165202057e+00,4.270831300812298892e+00,nan,6.693280212272505914e+00,9.641576634555116598e+00,5.153639490690015812e+00,1.339253523422649295e+01,8.513518661517036179e+00,1.044605188576063703e+01,1.117139203501503886e+01,1.142628548566862001e+01,7.979974937303988547e+00,1.070327052820759839e+01,9.397872099576412452e+00,9.086253353280440592e+00,1.013508756745594752e+01,9.895453501482116110e+00,1.449965516831343315e+01,1.288720295486960588e+01,1.112834219459476337e+01,7.621023553302862297e+00,7.631513611335472902e+00,5.381449618829487136e+00,6.511528238439459493e+00,5.469917732470741534e+00,8.109253973085323253e+00,9.871170143402462571e+00,6.905070600652616797e+00,9.363759928575603908e+00,1.401142391050951908e+01,5.184592558726140332e+00,5.556977595779687640e+00,4.898979485566155034e+00,4.233202097703162359e+00,6.939740629158841934e+00,6.248199740725379314e+00,3.898717737923669713e+00,9.983987179478695850e+00,6.548282217497439106e+00,4.525483399593666967e+00,5.865151319445875977e+00,5.091168824543141902e+00,4.418144406874596086e+00,4.664761515876092446e+00,6.669332800213263468e+00,4.137632173115447287e+00,1.003992031840899912e+01,6.092618484690938807e+00,6.437390775772401597e+00,5.276362383308788040e+00,4.915282290977616597e+00,3.999999999999663380e+00,6.462197768561222411e+00,7.299315036357995723e+00,4.381780460040583414e+00,3.959797974645069996e+00,6.324555320336679998e+00,4.137632173115763479e+00,4.059556626036793681e+00,4.079215610873988318e+00,8.653323061113487924e+00,1.264911064067348079e+01,4.436214602563900655e+00,4.176122603564411229e+00,6.633249580710626425e+00,7.042726744663407423e+00,4.059556626037230664e+00,6.560487786742552174e+00,6.311893535223869200e+00,4.079215610873633047e+00
9.533100230250347806e+00,7.979974937303983218e+00,9.649870465451749979e+00,3.878143885932860080e+00,1.559487095169436088e+01,5.075431016179684285e+00,6.462197768561290800e+00,6.693280212272505914e+00,nan,1.329661611087566264e+01,7.054076835419285096e+00,1.841303885837428567e+01,1.301076477383243457e+01,1.511026141401926282e+01,1.602997192761117162e+01,1.631686244349689829e+01,1.225071426489093973e+01,1.552975638357953869e+01,1.402854233340006473e+01,1.366455268203082873e+01,1.489160837518883085e+01,1.451068571777364369e+01,1.955505049852839861e+01,1.780337046741432516e+01,1.596496163477991459e+01,1.197998330549747870e+01,1.207973509643310983e+01,9.372299611087901994e+00,5.106858133921685194e+00,9.173875952943689072e+00,1.260476100527086984e+01,1.460410901082286195e+01,1.117139203501521294e+01,1.420985573466516527e+01,1.892300187602373285e+01,8.717797887081236041e+00,7.110555533852392252e+00,8.352245207128232707e+00,4.079215610874176612e+00,1.140526194350657008e+01,1.050714042925078751e+01,5.276362383309155746e+00,4.866210024238347032e+00,3.394112549694797476e+00,5.366563145999468709e+00,9.740636529508766017e+00,4.118252056394816840e+00,7.461903242470754094e+00,3.464101615137926693e+00,1.108512516844083251e+01,4.766550115125061993e+00,4.399999999999931077e+00,9.927738916792606005e+00,9.951884243699712584e+00,9.138927727036483262e+00,8.644073113989627188e+00,5.585696017507395972e+00,1.042305137663612058e+01,1.174393460472248307e+01,4.019950248447956120e+00,5.528109984434204094e+00,4.308131845707669605e+00,5.741080037762952060e+00,5.999999999999942268e+00,5.455272678794254482e+00,3.224903099319131439e+00,7.244308110509862786e+00,5.932958789676337830e+00,6.633249580710790738e+00,2.884441020372304099e+00,5.727128425310118232e+00,6.183849933496068374e+00,3.599999999999893507e+00,5.153639490690782310e+00,6.536053855346712460e+00
6.511528238439742822e+00,8.971064596802206026e+00,5.571355310873695288e+00,1.305373509766457651e+01,6.039867548216491855e+00,9.095053600721636045e+00,8.662563131083159007e+00,9.641576634555116598e+00,1.329661611087566264e+01,nan,9.871170143402448360e+00,7.166589146867583082e+00,5.169139193328244453e+00,4.833218389437626605e+00,6.039867548216364845e+00,6.092618484691090686e+00,5.321653878259813730e+00,6.653319973266624388e+00,6.299206299209298976e+00,6.324555320336586739e+00,6.118823416311109042e+00,5.959865770300394772e+00,8.197560612767286869e+00,6.905070600652694957e+00,6.196773353931493311e+00,5.542562584220470434e+00,5.230678732248502882e+00,6.621178142898705765e+00,1.151694403911026399e+01,6.209669878503980556e+00,5.059644256269212548e+00,5.556977595779672541e+00,5.011985634456364025e+00,5.499090833947136936e+00,7.979974937303868643e+00,7.008566187173938644e+00,6.881860213634009682e+00,6.437390775772160012e+00,1.020588065773838160e+01,5.440588203494134412e+00,5.614267539047166800e+00,9.252026804976262397e+00,1.702703732303417539e+01,1.180508365069904286e+01,9.591663046625301448e+00,5.291502622129099720e+00,1.122140811128419990e+01,7.019971509913691676e+00,1.099090533122730307e+01,5.600000000000115996e+00,9.633275663034035929e+00,1.677140423458929774e+01,5.571355310873618905e+00,5.892367945062689572e+00,6.286493458200617113e+00,6.374950980203584194e+00,8.908422980527820556e+00,4.915282290977715185e+00,5.932958789676560762e+00,1.087382177525423366e+01,8.681013765684269856e+00,1.134900876728901764e+01,8.541662601625240825e+00,8.275264346231029577e+00,8.908422980528163393e+00,1.547643369772240085e+01,1.799110891523924494e+01,9.397872099576545679e+00,7.683749084919544892e+00,1.294913124499080226e+01,1.088852607105307513e+01,9.165151389911788016e+00,1.294295174989081332e+01,1.058300524425832734e+01,7.472616676907579247e+00
