nan,1.516838818069133410e+01,7.099295739711743991e+00,1.564097183681407621e+01,3.298484500462901092e+00,1.127829774391027229e+01,1.508376610798004513e+01,3.525677239907410865e+01,1.201332593415631678e+01,1.483778959278954268e+01,7.353910524349712929e+00,1.280000000000151061e+01,1.514199458459052394e+01,1.398284663435864594e+01,1.566652482205818764e+01,1.801776900728571462e+01,1.267438361420897230e+01,1.246434916070713683e+01,1.282497563350020364e+01,1.424359505181427821e+01,1.296148139682003730e+01,1.394847661933141580e+01,1.600999687694870133e+01,1.690443728729801265e+01,1.677617358040296125e+01,1.433875866315558412e+01,1.674275962916231109e+01,1.361763562444665432e+01,1.658432995329626891e+01,1.995995991979869899e+01,1.155854662144003875e+01,1.251559027772789356e+01,1.569713349628170285e+01,1.437219537857833096e+01,1.410248205103867569e+01,1.332066064427473329e+01,1.367040599250717570e+01,1.225071426488829118e+01,1.333866560043102112e+01,1.164817582286270259e+01,1.381593283132506933e+01,1.269330532209037266e+01,1.547643369771825839e+01,2.012361796496097455e+01,1.476211366978869499e+01,1.534144712862136295e+01,1.575817248288232264e+01
1.516838818069133410e+01,nan,8.504116650179490478e+00,6.026607669327022521e+00,1.649242250246836861e+01,7.133021800059586859e+00,5.571355310860403698e+00,2.218107301281909827e+01,1.189957982451974239e+01,1.154469575173408202e+01,1.666613332479610321e+01,9.895453501487189385e+00,7.745966692408975618e+00,7.817928114262657324e+00,9.448809448806812838e+00,2.200727152556589417e+01,9.138927727040073279e+00,1.057544325312846212e+01,9.015542135672925284e+00,1.195993311018274596e+01,1.509966887054414642e+01,1.660843159362165622e+01,1.810193359838063643e+01,1.994793222367254870e+01,1.697056274847861701e+01,1.595493654013761819e+01,1.670927885937022239e+01,1.189957982451027441e+01,5.291502622109415910e+00,7.989993742153049361e+00,9.372299611089818683e+00,1.076289923765781786e+01,1.482160585091884286e+01,6.196773353944308838e+00,1.568693724090153907e+01,1.164130576868047839e+01,1.108512516843703821e+01,9.397872099567814885e+00,8.881441324490850775e+00,7.889233169337972917e+00,7.959899496850622036e+00,7.451174404079369928e+00,8.881441324460599418e+00,2.279999999999596838e+01,6.311893535222441898e+00,4.947726750717827748e+00,5.184592558735966250e+00
7.099295739711743991e+00,8.504116650179490478e+00,nan,4.436214602578357535e+00,7.631513611337887859e+00,9.691233151667011825e+00,9.397872099580151684e+00,2.678208356345438901e+01,1.379275171965156765e+01,1.566141756036669719e+01,1.192644121270407176e+01,1.332666499916975766e+01,1.211940592602856270e+01,1.253475169279464119e+01,1.241933975701006787e+01,2.337177785278561259e+01,1.142628548566010416e+01,1.431642413454119200e+01,1.330263131865889825e+01,1.563585622855711321e+01,1.691389960949191362e+01,1.860752535939609942e+01,2.028201173454297290e+01,2.164439881354931927e+01,2.078460969082895105e+01,1.891454466806569101e+01,1.970177656964401791e+01,1.546091847207389414e+01,9.059801322320861772e+00,1.073312629200207802e+01,1.297998459167287955e+01,1.454372717015618655e+01,1.859892470009985743e+01,1.041537325302667938e+01,1.796440925830577484e+01,1.459314907756641766e+01,1.448861622101815883e+01,1.268069398731041986e+01,1.301076477383161212e+01,1.032279032046805334e+01,1.248999599681096306e+01,1.096175168483500428e+01,1.271849047646846920e+01,2.507588482984866829e+01,9.830564581946077851e+00,1.009554357130130420e+01,9.191300234449341744e+00
1.564097183681407621e+01,6.026607669327022521e+00,4.436214602578357535e+00,nan,1.705051318875321087e+01,1.133490185223734237e+01,6.374950980202173767e+00,2.186504058994228927e+01,1.487548318541954728e+01,1.577846633866045956e+01,1.816810391868582997e+01,1.428285685708966213e+01,1.091787525116415480e+01,1.220491704191127980e+01,1.223110788113723935e+01,2.586735394276312050e+01,1.188612636648597487e+01,1.343428449899905530e+01,1.264278450342642479e+01,1.587450786639007738e+01,1.840869359840995756e+01,2.048999755979029658e+01,2.203996370233279478e+01,2.364741000616956512e+01,2.124523475982651632e+01,1.962855063421546475e+01,2.080769088582835025e+01,1.540908822741383410e+01,3.857460304390449402e+00,3.394112549674005219e+00,1.316358613753111584e+01,1.520526224699300677e+01,1.904940943966535372e+01,8.818163074011158287e+00,1.948948434412556097e+01,1.478377489005855061e+01,1.475669339655756751e+01,1.316358613752249873e+01,1.216552506059240635e+01,1.077775486826045537e+01,1.103449137930452473e+01,1.090321053637146775e+01,1.164130576868325306e+01,2.688642780288834899e+01,8.158431221735529704e+00,6.273754856525540546e+00,5.153639490694854608e+00
3.298484500462901092e+00,1.649242250246836861e+01,7.631513611337887859e+00,1.705051318875321087e+01,nan,1.353513945255553530e+01,1.611955334368520809e+01,3.657102678350692315e+01,1.364697768738895256e+01,1.600999687697014906e+01,8.059776671854056218e+00,1.420985573466712815e+01,1.660843159362425681e+01,1.552288632954726211e+01,1.682854717437116676e+01,1.825595793158536395e+01,1.463147292653868625e+01,1.438332367709447190e+01,1.452170788853367434e+01,1.541946821392044420e+01,1.451619784930554147e+01,1.522103807234891271e+01,1.757270610919304588e+01,1.833466661818932408e+01,1.836954000512831442e+01,1.586946753990059733e+01,1.797776404338905820e+01,1.511026141401769074e+01,1.777638883463473363e+01,2.088827422263527467e+01,1.324839612934355237e+01,1.380434714138181285e+01,1.710204666114759320e+01,1.584424185626897419e+01,1.535187284991574863e+01,1.528921188289499078e+01,1.530490117577073939e+01,1.375209075013935056e+01,1.493452376207358867e+01,1.337460279783929451e+01,1.535708305637231064e+01,1.403424383427692668e+01,1.668052756959907867e+01,2.118490028298436201e+01,1.654085850250792333e+01,1.687127736716399795e+01,1.718138527593215414e+01
1.127829774391027229e+01,7.133021800059586859e+00,9.691233151667011825e+00,1.133490185223734237e+01,1.353513945255553530e+01,nan,6.951258878803126429e+00,2.464792080480563286e+01,6.893475175844258729e+00,8.000000000005977441e+00,1.106345334875480191e+01,6.235382907247003281e+00,6.144916598294206445e+00,3.836665218667388633e+00,6.740919818540438868e+00,1.664692163734806485e+01,6.449806198648922795e+00,6.013318551359515318e+00,5.276362383311472115e+00,7.807688518371096897e+00,8.997777503368771690e+00,1.164130576871256473e+01,1.273106437027944438e+01,1.432759575086610759e+01,1.237416663860135024e+01,1.086646216576723134e+01,1.221147001798683362e+01,6.962758074218942106e+00,8.944271910000036740e+00,1.327252801843394892e+01,4.308131845661697490e+00,5.741080037763486743e+00,9.919677414120016579e+00,5.469917732465087390e+00,1.092520022699968685e+01,5.905929224098958485e+00,7.076722405184375120e+00,5.261178575192580809e+00,5.321653878260823589e+00,4.399999999979161913e+00,4.882622246296365986e+00,3.794733192244208908e+00,5.628498911819127315e+00,1.740804411759761905e+01,5.411099703387127313e+00,5.837807807710121644e+00,6.823488843681833949e+00
1.508376610798004513e+01,5.571355310860403698e+00,9.397872099580151684e+00,6.374950980202173767e+00,1.611955334368520809e+01,6.951258878803126429e+00,nan,2.284907000295444846e+01,9.524704719831156297e+00,1.085909756840450413e+01,1.488086019018335016e+01,9.329523031772813724e+00,6.800000000019459812e+00,7.641989269824891906e+00,8.079603950677279656e+00,2.054847926245848910e+01,7.155417527997299132e+00,8.717797887068735818e+00,7.673330437304112905e+00,1.099818166790062435e+01,1.366455268202415674e+01,1.504127654155295701e+01,1.688075827681339547e+01,1.852565788306056760e+01,1.632666530556737072e+01,1.429965034537254986e+01,1.554348738218124915e+01,1.009554357130906510e+01,3.815756805679790808e+00,7.979974937319041395e+00,8.304215796791234894e+00,1.002397126891433565e+01,1.319393800197256539e+01,4.560701700371087242e+00,1.468059944279064588e+01,1.014297786647851041e+01,9.682974749533160619e+00,7.858753081748801605e+00,6.633249580718802996e+00,6.349803146568724799e+00,6.729041536485464547e+00,5.381449618838928473e+00,7.321202087074303755e+00,2.154437281520113956e+01,4.436214602580134780e+00,3.836665218653973142e+00,3.509985754925966539e+00
3.525677239907410865e+01,2.218107301281909827e+01,2.678208356345438901e+01,2.186504058994228927e+01,3.657102678350692315e+01,2.464792080480563286e+01,2.284907000295444846e+01,nan,2.680298490839996717e+01,2.617785323512947571e+01,3.501085545941399602e+01,2.537084941423583118e+01,2.379915964903759118e+01,2.539606268696493885e+01,2.275082416089673032e+01,3.518181348367566130e+01,2.529505880602523860e+01,2.598461083026541019e+01,2.526974475533582520e+01,2.713816500797231157e+01,3.016753221594484557e+01,3.040789371197871205e+01,3.189231882444296673e+01,3.364282984530755982e+01,3.017548674007369058e+01,3.022846340785756070e+01,2.967288324380260889e+01,2.629676786222847085e+01,2.181375712709434112e+01,2.205810508633453182e+01,2.731153602416804205e+01,2.813965173913315709e+01,2.800857011701441124e+01,2.287356552880188687e+01,3.082336775889493907e+01,2.658721497261150191e+01,2.634236132164125976e+01,2.587972179139489626e+01,2.474833327721075094e+01,2.386629422428359959e+01,2.419917353960673267e+01,2.508545395243961096e+01,2.274027264568320206e+01,3.486201371119807391e+01,2.203270296628439340e+01,2.196724834840025764e+01,2.191620405088407253e+01
1.201332593415631678e+01,1.189957982451974239e+01,1.379275171965156765e+01,1.487548318541954728e+01,1.364697768738895256e+01,6.893475175844258729e+00,9.524704719831156297e+00,2.680298490839996717e+01,nan,5.200000000007016787e+00,9.130169768416397602e+00,5.865151319437909017e+00,6.412487816760783943e+00,6.776429738428832117e+00,7.725283166324985906e+00,1.259206099095042219e+01,7.353910524340206756e+00,6.311893535217845574e+00,5.184592558732771472e+00,6.311893535211995143e+00,7.144228439793395502e+00,7.725283166289577785e+00,9.482615672904360693e+00,1.022936948203185636e+01,8.699425268390042376e+00,7.211102550953814472e+00,9.252026804975599816e+00,4.664761515908393719e+00,1.207973509645426446e+01,1.670927885935383017e+01,5.919459434800117492e+00,5.741080037785325274e+00,6.752777206431754387e+00,7.375635565809028016e+00,7.652450587854625397e+00,6.621178142896970265e+00,5.585696017497117083e+00,4.233202097694989341e+00,5.153639490674710721e+00,6.548282217493578194e+00,5.628498911786746994e+00,5.656854249493282971e+00,6.144916598286480180e+00,1.315750736272246790e+01,8.579044235820472153e+00,8.962142600959607464e+00,1.030727898138880683e+01
1.483778959278954268e+01,1.154469575173408202e+01,1.566141756036669719e+01,1.577846633866045956e+01,1.600999687697014906e+01,8.000000000005977441e+00,1.085909756840450413e+01,2.617785323512947571e+01,5.200000000007016787e+00,nan,1.203328716518908337e+01,5.556977595789425628e+00,8.178019320087615895e+00,6.835202996266298570e+00,6.412487816740729762e+00,1.088117640698658484e+01,6.985699678637426580e+00,6.560487786729907178e+00,5.499090833970605274e+00,5.411099703385042758e+00,6.764613810129499250e+00,7.429670248402673316e+00,8.089499366486560206e+00,8.772684879779964362e+00,7.255342858885590829e+00,6.939740629175465081e+00,7.504665215727905014e+00,4.749736834847098521e+00,1.335065541462183347e+01,1.790195520048351341e+01,6.788225099375442717e+00,5.351635264085956578e+00,6.449806198592310302e+00,8.390470785361126005e+00,6.788225099363013548e+00,6.144916598295403709e+00,5.138093031521216325e+00,5.169139193337731086e+00,5.670978751499058390e+00,7.332121111929492230e+00,5.905929224095253005e+00,6.584831053277714119e+00,6.324555320363155708e+00,1.167561561545005766e+01,9.397872099572101234e+00,1.026839812238712391e+01,1.124277545805834677e+01
