Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_temperature
2019-06-05,0,1,1,213.7033985434573,4613.3,-1.250992444598867
2019-06-19,2,1,1,276.5904990475717,4458.9,-0.6542263026358246
2019-06-25,0,1,1,220.18133279890725,5061.2,0.3269734588689513
2019-06-26,1,1,1,228.48998234651572,5116.2,0.9270922196070671
2019-06-27,0,1,2,201.08812578706633,5009.9,1.8010081803094977
2019-06-28,0,1,2,209.09490668736052,4737.7,1.491449713411068
2019-07-01,2,1,1,301.58728930001365,5064.7,0.7270526326943626
2019-07-02,0,1,1,218.9853999860045,4741.6,0.6555300988261308
2019-07-03,0,1,1,183.99164120479264,4692.0,-0.3413152169623195
2019-07-04,3,1,1,321.10589719443703,4433.3,-0.3938395777718012
2019-07-05,0,1,1,184.02838717115662,4888.5,0.352676869477847
2019-07-08,0,1,1,200.38791667884158,4817.1,0.24539306867550273
2019-07-09,0,1,1,221.58692219629444,5086.8,-1.4499144919198812
2019-07-10,0,1,1,191.92250630651768,4858.0,-1.662247014341189
2019-07-11,0,1,1,207.5621984053488,4613.1,-1.7002433604586855
2019-07-12,3,1,1,309.0816887996071,4480.6,-0.39607465695518307
2019-07-17,0,1,1,207.62287905399563,4700.8,-0.8565009687319122
2019-07-18,2,1,1,291.4992456443739,4459.8,-0.9883706405514605
2019-07-19,0,1,1,212.64903514814688,4633.8,-0.8855569981158812
2019-07-22,0,1,1,199.0453515231041,4988.1,0.3336786964190981
2019-07-23,1,1,1,231.16278002623477,5085.4,0.6253565298504725
2019-07-24,0,1,1,180.41993870955554,4975.7,0.9952621347002232
2019-07-25,3,2,2,306.01289871132553,5177.2,1.217652513446751
2019-07-26,0,1,1,215.07081928176345,5022.9,0.8801555567560417
