,Date,severity_score,energy_score,temperature_score
3,2019-01-04,2,-1.4834698878131838,-2.0475101202993717
106,2019-04-17,0,1.0870550548671891,-0.5165742607068367
107,2019-04-18,0,0.6216832757324714,-0.4836881314448149
108,2019-04-19,0,-0.5335694591175194,-0.5174396851611003
112,2019-04-23,1,-1.2947046280035197,-1.0808310048867873
113,2019-04-24,2,-1.5094017489999085,-1.177758543764325
115,2019-04-26,2,-1.603083517791586,-0.9691912502867664
118,2019-04-29,0,0.1525735706609277,-0.8701001502735696
119,2019-04-30,0,0.18200973741342472,-0.4469075921386064
121,2019-05-02,0,0.7901235632606498,-0.40017467160836523
122,2019-05-03,0,0.9330992303442073,-0.6922554249223736
125,2019-05-06,0,0.8718906931286976,-0.8882740638131077
126,2019-05-07,0,0.4518412659779827,-0.5641726056913416
128,2019-05-09,0,0.5871074608168393,-0.6212906196727477
129,2019-05-10,0,0.7352227760635319,-0.23271503970833374
133,2019-05-14,0,1.1251351753485948,-0.3742119379804535
134,2019-05-15,0,0.20326919117911801,-0.7394210576797465
135,2019-05-16,0,0.368906034254677,-0.4836881314448149
136,2019-05-17,0,1.2230221108192008,-0.9432285166588545
140,2019-05-21,0,0.9844957119755517,-0.11242104056567565
148,2019-05-29,0,1.0165017028096168,-0.25305251438353155
150,2019-05-31,0,1.2690453239163588,0.17057275597856364
213,2019-08-02,0,1.1865773329351557,1.4539972216516723
218,2019-08-07,1,0.964170739694066,0.9226266067337432
219,2019-08-08,0,0.7784425447080715,1.4864506386865621
220,2019-08-09,0,-0.36512917158934094,1.5444340771222318
230,2019-08-19,1,-0.9818869511654735,1.2402373814485317
231,2019-08-20,1,-1.046833414317809,1.1480696770694445
232,2019-08-21,1,-1.1110790163569895,1.4769309696896613
233,2019-08-22,3,-1.6002800733389666,1.1839847919213893
234,2019-08-23,3,-1.8516555925904516,1.364858502862508
237,2019-08-26,0,-0.345972301163113,1.6534775583594616
238,2019-08-27,0,-0.3962006809391996,1.4829889408695072
239,2019-08-28,0,0.09954174643222277,0.7625230826949537
356,2019-12-23,0,0.16332010772929947,-0.6433589432564727
357,2019-12-24,2,-1.6717679068807465,-0.8328868987402293
