Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_temperature
2019-01-01,0,0,1,81.1812786299892,917.0,-1.3029997255077646
2019-01-02,3,1,1,294.28394451617635,1246.2,-1.350236813067563
2019-01-03,3,0,1,271.5508055594733,1210.7,-1.4960394770316654
2019-01-06,0,0,1,58.06754687430993,858.2,-1.1664957008270869
2019-01-13,0,0,1,60.831570750708565,824.4,-1.0991735524150905
2019-01-20,0,0,1,54.65967434957692,796.8,-1.4685155047527279
2019-01-27,0,0,1,52.14441484956967,830.3,-1.4956675314603285
2019-02-03,0,0,1,54.34556099626031,802.7,-1.429461219762343
2019-02-10,0,0,1,52.71356561645745,839.2,-1.2070377681028195
2019-02-17,0,0,1,62.698697487813895,879.4,-0.6639972339508052
2019-02-24,0,0,1,74.03566708001098,775.2,-0.7930623472047429
2019-03-03,0,0,1,57.75494206848136,863.6,-0.5475782701223254
2019-03-10,0,0,1,51.40272366319269,836.9,-0.4058670074429299
2019-03-17,0,0,1,55.32883515855571,867.6,-0.46426246214283823
2019-03-24,0,0,1,81.32109197501698,927.4,-0.0030499536849630518
2019-03-31,1,0,1,117.25732386504694,984.7,-0.22696118762983492
2019-04-07,1,0,1,161.76229474137892,1063.3,-0.9961446291547427
2019-04-14,0,0,1,92.9161988030172,887.55,-1.0262722204330395
2019-04-20,1,0,1,123.08566122830528,918.1,-0.117609189656758
2019-04-21,0,0,1,75.798680727332,781.2,-0.2600643434788274
2019-04-22,0,0,1,98.55110349458656,956.7,-0.3173439614647249
2019-04-25,0,0,1,75.26592854680082,922.0,-0.6141565273916477
2019-04-27,0,0,1,87.70131127865179,924.3,-0.21989422177443177
2019-04-28,0,0,1,58.791836167917694,871.7,-0.5256334814134427
2019-05-01,0,0,1,57.14822831910652,858.4,-0.03168976267791197
2019-05-04,3,1,1,339.54534306922443,1236.9,-0.32850232860483464
2019-05-05,0,0,1,65.08578953967181,790.7,-0.9169202224599624
2019-05-12,0,0,1,53.429579822419754,841.9,-0.2634118536208603
2019-05-18,1,0,1,220.1824697835776,1130.6,-0.6677166896641752
2019-05-19,0,0,1,52.0307601327863,818.6,-0.6052298336795598
2019-05-26,0,0,1,54.016293838048284,806.8,-0.008629137255018019
2019-06-02,0,0,1,57.886786056905464,821.2,1.2916925801391204
2019-06-09,0,0,1,56.92802473298591,814.4,1.103116175471263
2019-06-16,2,0,1,238.63780086147392,1209.5,1.3575269462657684
2019-06-23,1,0,1,125.05550767558493,1001.4,1.3679414222632045
2019-06-30,0,0,2,52.42899960897109,828.1,1.8414281345752006
2019-07-07,3,1,2,300.52141354651866,1233.1,1.8689521068541382
2019-07-14,1,0,1,194.64716797322765,1147.6,1.2128401190156768
2019-07-21,0,0,1,57.029115371017504,860.6,1.6316508323411345
2019-07-28,0,0,1,80.26157237440002,769.3,1.205401207588937
2019-08-04,0,0,1,69.51373964909942,783.4,1.4776653658076182
2019-08-11,0,0,1,54.420584340827446,831.1,1.5810662346393032
2019-08-12,4,3,1,376.76369251828885,1369.4,1.3534355449810616
2019-08-13,3,2,1,292.6084072612591,1276.2,1.3508319259817028
2019-08-14,3,0,1,262.5200944689618,1204.6,1.142542406032985
2019-08-15,0,0,1,56.473710697976756,795.2,1.1414265693189736
2019-08-16,1,0,1,218.3402848766125,1131.6,1.113530651468699
2019-08-17,2,0,1,237.80294363189978,1133.0,1.305454566278589
2019-08-18,1,0,1,112.57779532395233,726.9,1.316612933418699
2019-08-25,0,0,1,58.791836167917694,817.3,1.6327666690551454
2019-09-01,0,0,1,67.82683834597093,785.9,1.650992002050658
2019-09-08,0,0,1,42.4075464982662,812.7,0.47155259534104393
2019-09-15,0,0,1,48.297411938971926,839.5,1.3482283069823435
2019-09-22,0,0,1,54.016293838118685,866.5,0.3220304756635714
2019-09-29,0,0,1,63.09992076059921,887.0,0.9736791166459888
2019-10-06,0,0,1,69.17571828318721,788.4,0.4708087041983697
2019-10-13,0,0,1,80.81880969174475,769.0,0.5388747437530399
2019-10-20,0,0,1,87.7678756721414,935.8,0.12564321399763742
2019-10-27,0,0,1,62.712040311395384,889.2,0.5846240490274907
2019-11-01,1,0,1,149.89489651081945,1041.1,-0.14252954293633668
2019-11-03,1,0,1,140.7937498612803,1026.9,-0.46426246214283823
2019-11-10,4,4,1,478.3894647669383,1606.6,-0.50368869270456
2019-11-17,0,0,1,60.16643582596461,848.1,-0.7722333952098711
2019-11-24,0,0,1,90.5724019776488,943.8,-0.4475249114326735
2019-12-01,0,0,1,92.84654005399253,953.1999999999999,-0.9935410101553839
2019-12-08,0,0,1,60.427808167979805,789.6,-0.7614469736410983
2019-12-15,0,0,1,62.819105374073864,882.9,-0.772977286352545
2019-12-22,0,0,1,47.66717948436325,824.7,-0.3749955250219591
2019-12-25,0,0,1,57.33550383471346,877.5,-0.43264708857919354
2019-12-26,0,0,1,54.46466744578489,855.9,-0.6922650973724169
2019-12-27,3,0,1,309.4126047852726,1211.7,-0.8269093941964095
2019-12-28,0,0,1,91.72829443529412,893.1,-0.8057084966302007
2019-12-29,0,0,1,79.62210748287427,767.7,-0.9358894465981492
2019-12-30,1,0,1,206.18981546140273,1142.4,-1.0058152140095047
2019-12-31,1,0,1,106.46990185005323,972.2,-0.8302569043384426
