Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-07,1,1,1,8.560373823612606,167.9,0.11693989071039823,0.06969707825941196,-1.2489855621880646
2019-01-08,1,1,1,8.597674104082316,167.3,-0.4830601092895961,-0.28790755692198466,-1.1618031310926469
2019-01-09,1,1,1,8.73613186713692,167.5,-0.28306010928960745,-0.16870601186153023,-1.3739036724143348
2019-01-10,1,1,1,8.881441324469863,167.3,-0.4830601092895961,-0.28790755692198466,-1.4994723977980335
2019-01-11,1,1,1,8.551023330573157,167.5,-0.28306010928960745,-0.16870601186153023,-1.431157806268042
2019-01-14,1,1,1,8.11911325207449,170.7,2.916939890710381,1.7385187091058851,-1.1559475946757904
2019-01-15,1,1,1,11.586198686368347,162.2,-5.583060109289619,-3.3275469559638227,-1.2470337167157792
2019-01-16,1,1,1,11.913018089468297,162.3,-5.483060109289596,-3.267946183433579,-1.013462875198951
2019-01-17,1,1,1,10.762899237658843,163.6,-4.183060109289613,-2.493136140540575,-0.9945950356335248
2019-01-18,1,1,1,10.27618606293203,164.5,-3.2830601092896075,-1.95672918776848,-1.2659015562812053
2019-01-21,1,1,1,18.641888316369368,150.1,-17.683060109289613,-10.539240432121888,-1.4942674765386055
2019-01-22,1,1,1,16.40000000000007,153.0,-14.783060109289607,-8.81081802874515,-1.4812551733900357
2019-01-23,1,1,1,16.316862443496678,153.4,-14.383060109289602,-8.572414938624217,-1.6042214381440203
2019-01-24,1,1,1,16.267759526130423,154.9,-12.883060109289602,-7.678403350670749,-2.008253450907113
2019-01-25,1,1,1,16.419500601418935,155.6,-12.183060109289613,-7.2611979429591305,-2.0720137363351054
2019-01-28,1,1,1,16.03995012461108,156.7,-11.083060109289619,-6.605589445126581,-1.724585242268291
2019-01-29,1,1,1,15.889619252832892,154.39999999999998,-13.38306010928963,-7.976407213321924,-1.446121954888897
2019-01-30,1,1,1,15.025311976794658,158.7,-9.083060109289619,-5.413573994521936,-1.9796263839802595
2019-01-31,1,1,1,14.56571316482657,159.2,-8.583060109289619,-5.115570131870784,-1.3205532295051985
2019-02-01,1,1,1,16.22837022008086,157.7,-10.083060109289619,-6.009581719824264,-1.465640409611752
2019-02-04,1,1,1,14.221111067705007,159.2,-8.583060109289619,-5.115570131870784,-1.452628106463182
2019-02-05,1,1,1,14.756693396557232,159.2,-8.583060109289619,-5.115570131870784,-1.6809940267205823
2019-02-06,1,1,1,14.45544879967414,159.0,-8.783060109289607,-5.2347716769312385,-1.3485296812746237
2019-02-07,1,1,1,16.203703280423298,157.3,-10.483060109289596,-6.247984809945173,-1.3459272206449095
2019-02-08,1,1,1,14.993331851192854,158.3,-9.483060109289596,-5.651977084642857,-1.1715623584540742
2019-02-11,1,1,1,16.17405329532459,155.0,-12.783060109289607,-7.6188025781405155,-1.172863588768931
2019-02-12,1,1,1,16.213574559608958,156.2,-11.583060109289619,-6.9035933077777445,-1.2502867925029215
2019-02-13,1,1,1,15.722595205626927,157.1,-10.683060109289613,-6.36718635500565,-1.0485960937000893
2019-02-14,1,1,1,12.712198865656845,160.1,-7.683060109289613,-4.579163179098689,-0.8456041645824003
2019-02-15,1,1,1,11.641305768684028,161.6,-6.183060109289613,-3.685151591145208,-0.3452811085198911
2019-02-18,1,1,1,10.895870777501118,162.7,-5.083060109289619,-3.029543093312659,-0.9588112019749577
2019-02-19,1,1,1,10.007996802558365,163.6,-4.183060109289613,-2.493136140540575,-1.1286217580637936
2019-02-20,1,1,1,10.792590050585444,162.7,-5.083060109289619,-3.029543093312659,-1.0817774667289424
2019-02-21,1,1,1,13.94847661933007,159.6,-8.183060109289613,-4.8771670417498525,-1.0089085690969515
2019-02-22,1,1,1,8.69022439296003,170.5,2.7169398907103925,1.6193171640454418,-0.6517208476687103
2019-02-25,1,1,1,13.804347141389899,158.9,-8.883060109289602,-5.294372449461471,-0.765578500218696
2019-02-26,1,1,1,11.29955751346096,162.8,-4.983060109289596,-2.969942320782415,-0.732397127189843
2019-02-27,1,1,1,10.628264204469186,162.8,-4.983060109289596,-2.969942320782415,-0.3647995632427458
2019-02-28,1,1,1,9.21737489744257,165.7,-2.083060109289619,-1.241519917405709,-0.7688315760058385
2019-03-01,1,1,1,9.156418513808594,165.6,-2.183060109289613,-1.3011206899359307,-0.6614800750301375
2019-03-04,1,1,1,10.866462165765286,163.4,-4.383060109289602,-2.6123376856010294,-0.9054607590658216
2019-03-05,1,1,1,10.65833007557921,163.2,-4.583060109289619,-2.731539230661506,-0.9457988988263879
2019-03-06,1,1,1,15.252540771950104,158.2,-9.583060109289619,-5.711577857173101,-0.765578500218696
2019-03-07,1,1,1,13.102671483327521,160.5,-7.2830601092896075,-4.340760088977758,-0.6790466842807068
2019-03-08,1,1,1,9.935793878699489,164.2,-3.583060109289619,-2.1355315053591895,-0.8111215612386904
2019-03-11,1,1,1,10.174477873582159,163.9,-3.8830601092896018,-2.3143338229498656,-1.1169106852300807
2019-03-12,1,1,1,9.699484522386227,164.1,-3.683060109289613,-2.195132277889411,-0.7824944943118368
2019-03-13,1,1,1,9.286549412995079,165.9,-1.8830601092896018,-1.1223183723452324,-1.2047437314829272
2019-03-14,1,1,1,8.653323061113646,167.9,0.11693989071039823,0.06969707825941196,-0.8664238496201121
2019-03-15,1,1,1,8.818163074019786,169.8,2.016939890710404,1.2021117563338235,-0.48971767346901607
2019-03-18,1,1,1,8.644073113990343,169.4,1.6169398907103982,0.9637086662128924,-0.8878941498152522
