nan,2.939387691339916397e+00,7.065408693062437351e+00,4.866210024238573517e+00,3.174901573277552735e+00,4.454211490263890738e+00,1.959591794226734462e+00,4.715930449020754978e+00,4.270831300812437448e+00,5.528109984433963398e+00,6.523802572120284360e+00,4.833218389438159512e+00,3.644173431657824924e+00,2.799999999999990496e+00,3.532704346531055695e+00,6.928203230275578051e+00,3.752332607858757996e+00,4.595650117230343668e+00,2.993325909419027653e+00,6.997142273814475288e+00,5.571355310873660649e+00,4.472135954999663099e+00,6.974238309665173219e+00,7.451174404079066171e+00
2.939387691339916397e+00,nan,5.656854249492273112e+00,4.308131845707550589e+00,3.274141108748955364e+00,4.214261501141452371e+00,2.966479394839089956e+00,4.560701700396765368e+00,4.233202097703500755e+00,5.075431016179658528e+00,5.824087911424532749e+00,4.345112196480468647e+00,3.836665218650274767e+00,2.939387691339740094e+00,3.666060555964682166e+00,6.079473661428290043e+00,2.262741699796677164e+00,4.345112196479858468e+00,2.939387691340276110e+00,5.878775382679892303e+00,4.525483399594045331e+00,4.783304297240565717e+00,6.449806198638799337e+00,6.209669878504071150e+00
7.065408693062437351e+00,5.656854249492273112e+00,nan,4.418144406874974450e+00,4.436214602564046317e+00,4.436214602563969933e+00,6.374950980203671236e+00,4.543126676640205197e+00,4.766550115125193443e+00,2.884441020371731668e+00,2.884441020371530939e+00,3.440930106817281509e+00,9.363759928575767333e+00,6.881860213633990142e+00,5.200000000000000178e+00,2.465765601187998701e+00,5.261178575186340467e+00,4.137632173115292744e+00,4.995998398719093458e+00,1.876166303929633239e+00,2.828427124746120569e+00,4.195235392680370268e+00,2.592296279363709210e+00,1.743559577417740813e+00
4.866210024238573517e+00,4.308131845707550589e+00,4.418144406874974450e+00,nan,2.742261840160431952e+00,2.227105745132841097e+00,3.939543120718684843e+00,1.697056274847686508e+00,2.078460969082627674e+00,3.417601498127097237e+00,3.019933774109035518e+00,2.529822128135231107e+00,7.440430095095422303e+00,4.252058325093996949e+00,3.199999999999755484e+00,3.298484500494375027e+00,4.489988864128599211e+00,1.833030277982075962e+00,2.771281292109929684e+00,4.118252056394733351e+00,2.227105745132228698e+00,3.098386676965869668e+00,4.019950248448261654e+00,4.578209256904333557e+00
3.174901573277552735e+00,3.274141108748955364e+00,4.436214602564046317e+00,2.742261840160431952e+00,nan,2.332380757938157689e+00,2.529822128135283510e+00,2.939387691339868880e+00,2.497999199359282496e+00,2.966479394838308803e+00,3.857460304397271500e+00,2.400000000000920952e+00,5.892367945062911616e+00,3.464101615137963108e+00,2.622975409720852635e+00,4.098780306383647876e+00,3.224903099319605726e+00,2.653299832284245596e+00,1.549193338482659277e+00,4.118252056395130367e+00,3.072458299147590388e+00,2.297825058615301064e+00,4.233202097703265387e+00,4.664761515876017839e+00
4.454211490263890738e+00,4.214261501141452371e+00,4.436214602563969933e+00,2.227105745132841097e+00,2.332380757938157689e+00,nan,3.464101615138252654e+00,2.154065922854069282e+00,1.959591794226620776e+00,2.884441020371123710e+00,2.828427124746172527e+00,1.959591794227021566e+00,7.054076835419731850e+00,4.019950248448886043e+00,2.800000000000256950e+00,3.346640106136341331e+00,4.363484845854728178e+00,1.876166303929754919e+00,2.497999199359290934e+00,4.019950248448666663e+00,2.433105012119567867e+00,2.561249694973315005e+00,3.577708763999696284e+00,4.595650117230279719e+00
1.959591794226734462e+00,2.966479394839089956e+00,6.374950980203671236e+00,3.939543120718684843e+00,2.529822128135283510e+00,3.464101615138252654e+00,nan,3.794733192202083050e+00,3.200000000000252864e+00,4.783304297240960956e+00,5.556977595780027812e+00,3.939543120718471236e+00,4.472135954999655105e+00,2.529822128135598813e+00,3.174901573277753464e+00,5.865151319446451517e+00,3.370459909270650201e+00,3.709447398198635781e+00,2.190890230021505403e+00,6.079473661428166587e+00,4.732863826479804636e+00,3.577708763999328578e+00,6.053098380168926873e+00,6.572670690062126120e+00
4.715930449020754978e+00,4.560701700396765368e+00,4.543126676640205197e+00,1.697056274847686508e+00,2.939387691339868880e+00,2.154065922854069282e+00,3.794733192202083050e+00,nan,1.999999999999905631e+00,3.322649545167473573e+00,3.174901573277710831e+00,2.154065922853586112e+00,7.255342858886837831e+00,3.622154055254967808e+00,2.653299832285168414e+00,3.666060555964917977e+00,5.075431016179768662e+00,1.743559577416118556e+00,2.742261840160867159e+00,4.363484845854504357e+00,2.297825058614912486e+00,2.561249694972955737e+00,3.939543120718221214e+00,4.833218389438087570e+00
4.270831300812437448e+00,4.233202097703500755e+00,4.766550115125193443e+00,2.078460969082627674e+00,2.497999199359282496e+00,1.959591794226620776e+00,3.200000000000252864e+00,1.999999999999905631e+00,nan,3.098386676965965147e+00,3.346640106136715698e+00,2.227105745132285097e+00,6.858571279792827546e+00,3.532704346531017503e+00,2.399999999999903100e+00,3.919183588453468925e+00,4.698936049788379421e+00,1.600000000000007416e+00,2.400000000000145128e+00,4.418144406875323504e+00,2.592296279363029754e+00,1.959591794226259065e+00,3.815756805667620100e+00,5.011985634456546101e+00
5.528109984433963398e+00,5.075431016179658528e+00,2.884441020371731668e+00,3.417601498127097237e+00,2.966479394838308803e+00,2.884441020371123710e+00,4.783304297240960956e+00,3.322649545167473573e+00,3.098386676965965147e+00,nan,2.297825058615129201e+00,1.959591794227138362e+00,8.197560612767787802e+00,5.381449618829467596e+00,3.346640106136170800e+00,2.561249694973230184e+00,5.075431016179827282e+00,2.912043955712531940e+00,3.577708763999551511e+00,2.561249694973690705e+00,2.400000000000726441e+00,2.078460969082969623e+00,2.078460969082536636e+00,3.046309242345714985e+00
