,0,1,2,3
0,243.33910495438255,576,-1,576
1,243.9537661115319,577,-1,577
2,243.82780809415485,578,-1,578
3,244.10325684021507,579,-1,579
4,242.86621831782205,580,-1,580
5,243.0173656346394,581,-1,581
6,244.8555492530239,582,-1,582
7,244.73299736651782,583,-1,583
8,243.64695770725316,584,-1,584
9,244.40916513093367,585,-1,585
10,244.31094940669362,586,-1,586
11,238.77420296171027,587,-1,587
12,238.61869164003062,588,-1,588
13,237.8110174066795,589,-1,589
14,236.8506702544876,590,-1,590
15,238.53519656436453,591,-1,591
16,240.1712722204719,592,-1,592
17,240.73686880077182,593,-1,593
18,240.07132273555712,594,-1,594
19,239.26754899066447,595,-1,595
20,238.8810582695916,596,-1,596
21,238.97648419875964,597,-1,597
22,238.87703949940442,598,-1,598
23,238.57644477190118,599,-1,599
24,235.2982787867349,600,-1,600
25,234.95531490051468,601,0,601
26,234.05503626284144,602,1,602
27,235.60848881141786,603,2,603
28,235.6305582898789,604,3,604
29,235.56536247929154,605,4,605
30,235.43457689982583,606,5,606
31,235.52154890795026,607,6,607
32,235.5470229062554,608,7,608
33,235.73442684512588,609,8,609
34,235.78600467372954,610,9,610
35,235.75648453436017,611,10,611
36,235.7575025317328,612,11,612
37,235.8033078648389,613,12,613
38,235.68114052677188,614,13,614
39,235.69879083270664,615,14,615
40,235.64447797476603,616,15,616
41,235.63632996632757,617,16,617
42,235.65941525854637,618,17,618
43,235.69980907926083,619,18,619
44,235.69980907926083,620,19,620
45,235.7388385480848,621,20,621
46,235.73103317128187,622,21,622
47,235.76327110048334,623,22,623
48,233.8744962581427,624,23,624
49,237.3550926354857,625,24,625
50,238.33992531676265,626,25,626
51,240.16261157807224,627,26,627
52,239.83961307507147,628,27,628
53,235.48520123353822,629,28,629
54,238.69176776755413,630,29,630
55,239.70515221830334,632,30,632
56,239.75287276693888,633,31,633
57,238.2465949389413,634,32,634
58,236.7374917498282,635,33,635
59,234.4518713936828,636,34,636
60,231.3055122559771,637,35,637
61,231.22076031360155,638,36,638
62,231.39956784747886,639,37,639
63,233.04454509814207,640,38,640
64,235.11052719944288,641,39,641
65,234.20640469466238,641,40,641
66,227.78656676810417,642,41,642
67,223.51948460928406,643,42,643
68,222.62003503728045,644,43,644
69,220.58286424833634,645,44,645
70,221.75662335091587,646,45,646
71,221.75662335091587,647,0,647
72,213.0911542040164,457,0,457
73,209.65266513927241,458,0,458
74,206.68275206218803,459,0,459
75,206.76131166153857,460,0,460
76,206.76131166153857,461,0,461
77,208.59223379598743,462,0,462
78,205.39172329964973,463,0,463
79,204.8300759165994,464,0,464
80,206.18671150197792,465,0,465
81,194.17806261264397,466,0,466
82,195.6061348731166,467,0,467
83,183.55424266412334,468,0,468
84,183.55903682466817,469,0,469
85,184.55871694395765,470,0,470
86,184.54701298043238,471,0,471
87,186.01634336799518,472,0,472
88,190.59066084150055,473,0,473
89,193.74168369248753,474,0,474
90,200.38642668604055,475,0,475
91,204.21243840667466,476,0,476
92,206.6730751694567,477,0,477
93,214.82048319468953,478,0,478
94,217.26481537515428,479,0,479
95,217.0821042831488,480,0,480
96,216.77527534292253,481,1,481
97,216.1366234584039,482,2,482
98,216.9523449976973,483,3,483
99,222.01441394648202,484,4,484
100,219.0736862336503,485,5,485
101,219.57158286080616,486,6,486
102,216.84980977625935,487,7,487
103,218.60905745188114,488,8,488
104,218.72430134760944,489,9,489
105,216.0581403233858,490,10,490
106,218.63723379150193,491,11,491
107,220.04654053176995,492,12,492
108,217.50144827103998,493,13,493
109,215.3397315870898,494,14,494
110,208.644769884126,495,15,495
111,208.2517707007551,496,16,496
112,205.90599796994715,497,17,497
113,209.4862286643203,498,18,498
114,209.9108382147046,499,19,499
115,209.92112804574933,500,20,500
116,210.0944549482444,501,21,501
117,210.31709393199566,502,22,502
118,209.58587738681223,503,23,503
119,207.5606899198398,504,24,504
120,211.57050834178165,505,25,505
121,219.30617866352944,506,26,506
122,235.71508224973618,507,27,507
123,239.59866443701202,508,28,508
124,232.67109833410746,509,29,509
125,233.7277048190905,510,30,510
126,236.6147924369901,511,31,511
127,237.32610475883155,512,32,512
128,236.76182124658504,513,33,513
129,237.8379280098107,514,34,514
130,237.85104582490254,515,35,515
131,237.92872882441054,516,36,516
132,237.71781590785298,517,37,517
133,246.83144046089404,518,38,518
134,246.43181612770675,519,39,519
135,250.16666444592468,520,40,520
136,253.14817795117523,521,41,521
137,253.07990832936517,522,42,522
138,263.2322168732389,523,43,523
139,263.2030394961272,524,44,524
140,260.89752777671134,525,45,525
141,264.81631369687153,526,46,526
142,269.98874050596976,527,47,527
143,276.38437003564417,528,48,528
144,276.36237081049956,2161,49,2161
145,275.12208199270384,2162,50,2162
146,277.47835951655753,51,51,2163
147,274.4865752637094,2164,52,2164
148,276.0165212446531,2165,53,2165
149,273.7385614048557,54,54,2166
150,273.7479132340555,55,55,2167
151,272.84896921190665,56,56,2168
152,273.2260602504819,57,57,2169
153,273.15021508320285,58,58,2170
154,273.2447986696178,59,59,2171
155,271.2513225774209,2172,60,2172
156,269.0528572604277,2173,61,2173
157,271.2088494131415,2174,62,2174
158,267.4797936293507,2175,63,2175
159,267.08800047924285,2176,64,2176
160,268.9074190125666,2177,65,2177
161,266.1671655182135,2178,66,2178
162,267.187125438334,2179,67,2179
163,268.00597008275776,2180,68,2180
164,270.21769002047233,2181,69,2181
165,271.86025822102073,2182,70,2182
166,272.25546826464307,2183,71,2183
167,272.8073312797881,2184,72,2184
168,269.9671091077579,2185,73,2185
169,264.6050641994592,841,74,841
170,263.09876472534023,842,75,842
171,251.65563772743087,843,76,843
172,248.94015345058324,844,75,844
173,248.5481039959869,845,76,845
174,246.05105161327785,846,77,846
175,242.58243959528463,847,78,847
176,242.3976897579676,848,79,848
177,241.8475552905175,849,79,849
178,240.8106309945637,850,80,850
179,240.75215471517572,851,81,851
180,233.46674281361769,852,82,852
181,233.47325328610964,853,81,853
182,232.62020548524993,854,82,854
183,232.7236988361948,855,83,855
184,231.17577727781062,856,84,856
185,227.63620098745287,858,82,858
186,220.14940381477282,858,83,858
187,218.47581101806193,859,84,859
188,213.32979163726736,860,85,860
189,208.6478372761144,861,86,861
190,208.60642367865836,862,87,862
191,208.35200982951883,863,88,863
192,208.23794082731396,864,89,864
193,207.8253112592398,865,90,865
194,206.5452976952027,866,91,866
195,206.79187604932622,867,92,867
196,204.60420328038205,868,93,868
197,201.38838099552788,869,94,869
198,202.3454471936542,870,93,870
199,202.10215238834024,871,93,871
200,201.98494993439462,872,94,872
201,200.36566572145043,874,95,874
202,200.34290603862172,875,94,875
203,194.21802182083928,876,94,876
204,187.89358690492872,877,98,877
205,185.73486479387762,878,180,878
206,182.74747604276237,879,181,879
207,180.91014344143338,880,182,880
208,179.41504953598513,881,183,881
209,179.58619100587885,882,184,882
210,179.30577235549333,883,185,883
211,179.25267083086936,884,186,884
212,178.5532973652405,885,187,885
213,179.4074691867649,886,188,886
214,179.40345593103828,887,189,887
215,185.405501536497,888,190,888
216,186.86850992074613,889,191,889
217,189.2410103545212,890,192,890
218,188.61770860658868,891,193,891
219,188.46156106750254,892,194,892
220,189.67719947321024,893,195,893
221,190.67668971324204,894,196,894
222,194.9810247177914,895,197,895
223,196.21783812895293,896,198,896
224,197.53399707392137,897,199,897
225,202.03326458779006,898,200,898
226,201.92236131741322,899,201,899
227,202.09344373333832,900,202,900
228,204.42074258743895,901,203,901
229,199.26023185773917,902,204,902
230,200.90594814489683,903,205,903
231,200.58075680383695,904,206,904
232,200.30416870349947,905,207,905
233,202.14212821675736,906,208,906
234,194.8890966678225,906,209,906
235,194.84311637827977,907,210,907
236,195.90201632448802,909,211,909
237,193.09230953095974,910,212,910
238,195.25286169477766,911,213,911
239,194.99579482645254,912,214,912
240,196.3022159834167,913,215,913
241,199.73101912321974,914,216,914
242,199.85274579049437,915,217,915
243,200.6058822666972,916,218,916
244,200.66609080759005,917,219,917
245,197.5805658459353,918,220,918
246,196.8308918843787,919,219,919
247,196.75975198195383,920,220,920
248,195.90119958795552,921,221,921
249,196.52745355293237,922,220,922
250,196.83007900216873,923,220,923
251,196.8191047637398,924,219,924
252,197.4327227183984,925,220,925
253,198.63816350339098,925,220,925
254,198.76901166932407,926,219,926
255,200.24425085380102,928,220,928
256,200.89718763586487,928,220,928
257,200.57198209121805,929,219,929
258,202.61964366763627,930,220,930
259,201.64007538185433,931,221,931
260,202.01465293388966,932,221,932
261,203.9086069787146,933,220,933
262,205.35354878842463,934,221,934
263,205.9390201006111,935,220,935
264,209.02363502723776,936,220,936
265,212.81842025539024,937,221,937
266,213.31404079431783,938,222,938
267,217.39144417386785,939,220,939
268,220.70577699734073,940,221,940
269,222.39388480801333,941,224,941
270,227.17394216767005,942,220,942
271,230.8741648604276,943,221,943
272,231.1401306567077,944,219,944
273,237.2681183808729,945,220,945
274,242.03470825482842,946,218,946
275,244.1248860726819,947,219,947
276,248.124484886115,948,217,948
277,250.98557727487034,949,218,949
278,252.5299190195093,950,219,950
