"Date","cmp_score","energy_score","temperature_score","vector_ad_cmp","vector_ad_energy","vector_ad_energy_absolute","vector_ad_energy_relative","vector_ad_temperature","Cluster","severity","context"
"2019-04-08",4,3,1,176.920321048789,1078.3,215.234990622135,24.9384447618014,-0.748626993138047,4,7,1
"2019-07-06",4,4,2,391.385027817876,1441.9,537.455319148936,59.4237912531258,1.4483119417876,2,8,1
"2019-07-13",3,4,1,224.673629961318,1269.5,365.055319148936,40.3623711740365,1.12736752695725,2,7,1
"2019-07-14",4,4,1,199.462477674376,1074.8,272.160606060606,33.9082043711845,1.44166221273814,1,8,1
"2019-07-15",4,4,1,396.181574533676,1321.5,458.434990622135,53.1170868521937,1.08097925536124,4,8,1
"2019-07-16",4,4,1,179.307557007484,1104.4,241.334990622135,27.9625506769298,1.0558347417012,4,8,1
"2019-07-27",4,4,1,339.14339150277,1313.9,409.455319148936,45.2714607999737,1.29058827020431,2,8,1
"2019-07-30",3,3,1,121.108216071409,1048.3,185.234990622135,21.4624609513089,1.69633408056865,4,6,1
"2019-08-02",4,3,1,119.571037715541,979.2,172.052314814815,21.316088489474,1.31875995460658,3,7,1
"2019-08-07",4,4,1,140.743719310824,1037.1,229.952314814815,28.4894969081224,1.38361300469446,3,8,1
"2019-08-08",4,4,1,131.099938564868,1007.8,200.652314814815,24.8594301263193,1.3270494422118,3,8,1
"2019-08-09",3,3,2,98.6057349517604,938.7,131.552314814815,16.2984193883468,1.54452658761928,3,6,1
"2019-01-02",3,3,1,101.11379727812,498.6,116.164333333333,30.3748691501054,-1.3323224372334,1,6,2
"2019-01-03",3,3,1,102.897230283427,486.8,104.364333333333,27.2893828765971,-1.6093719923814,1,6,2
"2019-06-10",4,2,1,228.578564174338,1210.7,130.182513661202,12.0481635241564,1.38269231315678,4,6,2
"2019-06-18",4,3,1,249.374256891125,1305.4,224.882513661202,20.8124825839875,1.70308665304038,4,7,2
"2019-06-20",4,3,1,242.923856383032,1305.8,225.282513661202,20.8495018830787,1.54238412925018,4,7,2
"2019-06-21",4,2,1,222.429854111358,1238.4,157.882513661202,14.6117499862189,1.53530917537263,4,6,2
"2019-06-24",4,3,1,339.008908437522,1028,337.770212765957,48.9359078691031,1.36493825080861,2,7,2
"2019-07-06",4,4,2,323.362830269651,1099.2,408.970212765958,59.2513131612044,1.52790257850858,2,8,2
"2019-07-13",4,2,1,284.439097171961,971.1,280.870212765957,40.6922763926907,1.26239889854795,2,6,2
"2019-08-02",3,3,1,224.573102475282,1101.2,281.955555555556,34.4165355612217,1.35734466227942,3,6,2
"2019-08-05",4,2,1,223.495503310473,1223.2,142.682513661202,13.205016620755,1.79910388423578,4,6,2
"2019-08-07",4,4,1,275.75850981795,1175.2,355.955555555556,43.4492486301742,1.10969232103736,3,8,2
"2019-08-12",4,4,1,314.140605461948,686.9,304.464333333333,79.6119085824457,1.4046511040151,1,8,2
"2019-08-13",4,3,1,176.736640230579,523.5,141.064333333333,36.8857681509831,1.35436808866795,1,7,2
"2019-08-17",3,3,1,150.509534581708,527,144.564333333333,37.8009547575322,1.29323971706947,1,6,2
"2019-09-16",3,4,1,207.969228493063,1325.5,244.982513661202,22.6727023633181,1.57472677554758,4,7,2
"2019-09-17",3,4,1,208.183380700773,1315.5,234.982513661202,21.7472198860392,1.59898376027063,4,7,2
"2019-12-27",4,4,1,198.535034691605,643.2,260.764333333333,68.1851500949615,-0.715123072384137,1,8,2
"2019-06-03",4,2,1,544.740965964565,4532.4,644.586338797814,16.5796613461792,1.71145603336897,4,6,3
"2019-06-04",4,2,1,439.048607787337,4457.6,569.786338797815,14.6557008244481,1.63557201987604,4,6,3
"2019-06-17",4,2,1,435.871540708966,4420.5,532.686338797814,13.7014369827873,1.66519519091874,4,6,3
"2019-06-29",4,2,1,671.475509605524,2466.9,636.527659574468,34.7758565574962,1.43872472272092,2,6,3
"2019-07-06",4,4,1,748.043100362533,2726.3,895.927659574468,48.9478364476476,1.5763011177214,2,8,3
"2019-07-13",4,4,1,738.039348544504,2686.5,856.127659574468,46.7734154776089,1.3433961970513,2,8,3
"2019-08-12",4,3,1,376.763692518289,1369.4,432.942,46.2318651770822,1.35343554498106,1,7,3
"2019-11-10",4,4,1,478.389464766938,1606.6,670.142,71.561351390025,-0.50368869270456,1,8,3
"2019-06-03",4,3,1,266.609827275734,1996.9,351.892896174863,21.3915730428523,1.68814898854778,4,7,4
"2019-06-04",4,2,1,251.798332004018,1969,323.992896174863,19.6955317348771,1.61421471895371,4,6,4
"2019-06-08",3,3,1,211.978489474767,725.7,192.814893617021,36.1832018398441,0.9481493768969,2,6,4
"2019-06-15",3,3,1,189.344976167836,695.2,162.314893617021,30.4596416136966,1.0538717593885,2,6,4
"2019-06-16",3,3,1,228.753491776631,708.6,218.826666666667,44.6791713173441,1.40856728427304,1,6,4
"2019-06-17",4,2,1,209.130772484567,1929,283.992896174863,17.2639312933357,1.74591013666815,4,6,4
"2019-06-21",4,2,1,230.065382011288,1925.3,280.292896174863,17.0390082524931,1.54490134120928,4,6,4
"2019-06-24",3,3,1,148.939719349821,654.3,121.414893617021,22.784441179289,1.42286360416309,2,6,4
"2019-07-06",4,4,1,370.006054004527,877.9,345.014893617021,64.7447056568818,1.55968080503457,2,8,4
"2019-07-13",3,3,1,207.511349087233,708.9,176.014893617021,33.0305522726547,1.39107778981921,2,6,4
"2019-07-16",4,3,1,293.991020271033,2003.9,358.892896174863,21.8171031201221,1.5965013001968,4,7,4
