"Date","cmp_score","energy_score","temperature_score","vector_ad_cmp","vector_ad_energy","vector_ad_energy_absolute","vector_ad_energy_relative","vector_ad_temperature","Cluster","severity","context"
"2019-07-25",4,2,1,230.009741781116,2513.7,349.6375,16.1565342960289,1.09301478495893,5,6,4
"2019-11-09",4,4,1,398.303602795657,917.3,384.414893617021,72.1384195227904,-0.635613372585069,2,8,4
"2019-11-10",4,4,1,545.429005462672,1035,545.226666666667,111.322244303487,-0.494256800698615,1,8,4
"2019-06-16",4,4,1,237.701998308806,910.2,245.942666666667,37.025209105708,1.30412473753081,1,8,5
"2019-06-24",3,3,1,166.018312242979,860.1,160.15829787234,22.8816624849608,1.43040386224529,2,6,5
"2019-07-06",4,4,1,308.913968606146,979.9,279.95829787234,39.9973736414522,1.39006900866362,2,8,5
"2019-07-13",3,4,1,217.433024170667,923.4,223.45829787234,31.9252728038748,1.26848823572461,2,7,5
"2019-07-14",3,3,1,177.123233936144,853.2,188.942666666667,28.4441973291475,1.04986468487442,1,6,5
"2019-07-15",4,4,1,195.128675493895,1262.9,342.647540983607,37.2340804554702,0.94234629627945,4,8,5
"2019-07-29",4,4,2,210.433077247854,1202.5,282.247540983607,30.6706641441942,1.75779154234347,4,8,5
"2019-07-30",4,4,2,293.31130220297,1230.6,310.347540983606,33.7241740505991,1.79918156619672,4,8,5
"2019-11-07",4,4,1,215.81436467483,1183.3,263.047540983606,28.5842801512058,-0.0528675608486862,4,8,5
"2019-11-08",4,3,1,179.972442334937,1125.9,205.647540983607,22.3468613388343,-0.165917924507562,4,7,5
"2019-11-09",4,4,1,343.039356342674,999.7,299.75829787234,42.8261806606386,-0.4849254706897,2,8,5
"2019-11-10",4,4,1,461.135815134752,1090.2,425.942666666667,64.1231410316885,-0.313567456311312,1,8,5
