Date;context;Total_Power;Not_allocated;Canteen;Data_centre;Refrigeration_unit2;Rectory;DIMAT;Print_shop;Total_Power_energy_absolute;Not_allocated_energy_absolute;Canteen_energy_absolute;Data_centre_energy_absolute;Refrigeration_unit2_energy_absolute;Rectory_energy_absolute;DIMAT_energy_absolute;Print_shop_energy_absolute;Total_Power_energy_relative;Not_allocated_energy_relative;Canteen_energy_relative;Data_centre_energy_relative;Refrigeration_unit2_energy_relative;Rectory_energy_relative;DIMAT_energy_relative;Print_shop_energy_relative
03/06/2019;4,00;7;0;0;2;4;1;2;0;351,89;43,21;5,76;17,53;314,37;-5,91;-5,85;2,35;21,39;4,23;4,83;12,90;136,48;-9,67;-22,71;7,71
18/06/2019;2,00;7;1;1;3;5;1;1;0;224,88;49,07;1,92;14,40;183,26;-3,65;-1,48;0,12;20,81;10,87;0,60;15,21;130,78;-11,08;-11,76;1,09
20/06/2019;2,00;7;1;1;3;5;1;1;1;225,28;49,07;-16,98;13,60;200,76;-3,65;-0,98;2,32;20,85;10,87;-5,32;14,37;143,26;-11,08;-7,78;21,69
24/06/2019;2,00;7;2;8;4;7;1;1;2;337,77;60,94;38,73;16,25;234,52;-5,33;-2,07;0,46;48,94;17,30;102,84;16,87;150,64;-18,87;-19,59;12,49
13/07/2019;1,00;7;8;0;0;5;3;1;0;365,06;247,16;-1,11;3,33;121,42;9,03;-1,55;0,05;40,36;58,43;-1,30;1,45;212,74;13,14;-6,20;1,93
13/07/2019;5,00;7;8;1;2;0;1;1;0;223,46;208,59;9,27;19,40;-4,30;0,57;0,57;0,02;31,93;58,46;15,42;10,68;-20,79;1,11;1,11;0,97
16/07/2019;4,00;7;0;0;2;5;1;2;0;358,89;46,51;14,06;9,23;314,37;4,39;-9,55;-0,45;21,82;4,55;11,79;6,79;136,48;7,19;-37,08;-1,48
02/08/2019;1,00;7;5;2;0;7;2;1;8;172,05;83,12;-17,74;-0,93;98,65;8,94;-3,56;5,39;21,32;24,99;-17,55;-0,40;231,84;12,62;-16,07;224,06
12/08/2019;3,00;7;0;1;5;8;5;1;0;432,94;-44,53;71,13;56,38;356,67;17,39;-8,48;-1,61;46,23;-11,63;55,16;22,45;541,76;25,64;-37,73;-47,18
13/08/2019;2,00;7;0;2;1;8;1;1;0;141,06;-38,50;26,37;6,83;153,33;1,68;-3,35;-0,40;36,89;-22,53;53,44;7,17;623,96;6,11;-37,86;-33,55
16/09/2019;2,00;7;4;1;2;3;1;1;0;244,98;61,87;-6,18;4,40;201,66;4,65;-2,48;-0,18;22,67;13,71;-1,93;4,65;143,91;14,11;-19,71;-1,71
17/09/2019;2,00;7;1;6;2;2;2;1;0;234,98;8,17;40,12;3,10;198,06;4,55;-1,58;1,42;21,75;1,81;12,57;3,28;141,34;13,81;-12,55;13,26
08/11/2019;5,00;7;7;0;2;0;1;1;0;205,65;219,30;-7,14;5,37;-28,55;3,45;3,45;0,11;22,35;41,84;-10,14;3,04;-55,06;6,02;6,02;3,94
02/01/2019;2,00;6;0;3;1;5;1;1;4;116,16;16,70;34,37;-0,57;58,53;3,58;1,75;1,70;30,37;9,77;69,66;-0,60;238,17;13,02;19,76;140,86
03/01/2019;2,00;6;0;5;1;5;1;1;8;104,36;12,50;37,27;-0,27;49,93;0,88;1,65;2,40;27,29;7,31;75,54;-0,29;203,17;3,21;18,64;199,00
03/06/2019;3,00;6;0;0;4;7;1;2;0;644,59;53,75;-16,29;34,51;661,77;-14,72;-8,78;4,72;16,58;2,86;-1,59;13,71;156,07;-11,74;-19,35;7,09
04/06/2019;3,00;6;0;0;4;5;1;2;0;569,79;69,85;-45,99;33,11;587,67;-1,12;-9,18;5,42;14,66;3,71;-4,50;13,15;138,59;-0,89;-20,23;8,15
04/06/2019;4,00;6;0;0;2;6;1;2;0;323,99;19,01;-16,84;18,03;329,67;-0,81;-6,35;0,95;19,70;1,86;-14,12;13,27;143,13;-1,32;-24,65;3,12
08/06/2019;4,00;6;6;1;4;0;1;1;0;192,81;183,97;-2,30;28,13;-6,57;-0,78;-1,41;-0,06;36,18;68,64;-4,90;20,24;-34,46;-2,12;-10,66;-3,56
10/06/2019;2,00;6;1;1;2;5;1;4;0;130,18;-27,93;-8,98;10,30;181,96;-3,75;-2,88;0,32;12,05;-6,19;-2,81;10,88;129,85;-11,38;-22,89;2,97
15/06/2019;4,00;6;6;1;1;0;1;1;0;162,31;166,57;2,20;13,13;-6,47;-3,48;-1,31;-0,16;30,46;62,14;4,67;9,45;-33,94;-9,44;-9,91;-9,99
16/06/2019;4,00;6;8;2;2;0;1;1;0;218,83;242,98;-11,68;15,88;-16,61;-4,17;-0,43;0,01;44,68;116,03;-19,97;11,68;-56,86;-11,57;-3,59;0,54
17/06/2019;3,00;6;0;0;4;6;1;2;0;532,69;30,25;-55,39;32,31;620,27;-13,22;-9,38;-1,78;13,70;1,61;-5,42;12,84;146,28;-10,54;-20,67;-2,67
