nan,5.200000000000018829e+00,3.577708763999766006e+00,6.657326790837289288e+00,4.418144406874903396e+00,2.592296279363323297e+00,7.310266752998855644e+00,3.098386676965954489e+00,4.882622246293484736e+00,4.560701700396518454e+00,2.800000000000031353e+00,2.332380757938123494e+00,2.297825058615230454e+00,2.683281572999800080e+00,2.399999999999918643e+00,2.262741699796899653e+00,2.465765601187623002e+00,2.297825058615210025e+00,4.176122603564220270e+00,2.993325909419169317e+00,2.800000000000012257e+00,3.878143885933067025e+00,4.849742261192892201e+00,4.749736834815156072e+00,2.116601048851695310e+00,1.743559577416288198e+00,4.059556626036899374e+00,2.622975409720819329e+00,9.312357381458252092e+00,7.386474125047761241e+00,5.892367945062502166e+00,1.326649916142192076e+00,6.066300355241243558e+00,1.385640646055098957e+00,3.072458299147450056e+00,3.224903099319410327e+00,3.440930106817017720e+00,1.649242250246908403e+00,4.098780306383850380e+00,3.464101615137905821e+00,3.174901573277544742e+00,7.817928114276841534e+00,1.326649916142413899e+00,4.176122603564289548e+00,2.622975409720968099e+00,4.489988864128831025e+00,3.174901573277529199e+00
5.200000000000018829e+00,nan,7.683749084919435646e+00,3.857460304397276829e+00,3.979949748426490519e+00,3.730951621235457427e+00,4.000000000000102141e+00,3.370459909270582255e+00,2.800000000000002931e+00,2.497999199359418832e+00,3.464101615137734402e+00,3.857460304397225315e+00,5.184592558726296652e+00,4.381780460041335701e+00,6.858571279792937680e+00,4.613025037868348832e+00,5.932958789676535005e+00,5.366563145999545092e+00,8.333066662399884805e+00,6.705221845696105021e+00,6.013318551349192909e+00,8.168231142664879485e+00,9.173875952943758350e+00,9.015542135667788060e+00,6.362389488234756918e+00,4.214261501141144173e+00,8.466404195406774136e+00,7.019971509913770724e+00,1.333266664999917950e+01,1.149608629055991571e+01,1.011928851253886918e+01,4.766550115125280485e+00,1.042305137663636039e+01,5.556977595779919454e+00,7.525955088890714961e+00,7.589466384404085275e+00,7.704544113703264863e+00,4.454211490264021300e+00,8.522910301064980487e+00,3.249615361854446327e+00,4.079215610874340037e+00,4.436214602563751441e+00,5.484523680320839034e+00,1.833030277982595324e+00,3.836665218650225029e+00,3.298484500494208937e+00,3.600000000000024958e+00
3.577708763999766006e+00,7.683749084919435646e+00,nan,1.001598722043919487e+01,7.797435475847209752e+00,5.713142742834270038e+00,1.067333125130107163e+01,6.424951361683634232e+00,8.187795796183547026e+00,6.066300355241233788e+00,6.105735008989483958e+00,5.571355310873642885e+00,3.274141108749037965e+00,4.098780306383827288e+00,2.000000000000029754e+00,5.425863986500265135e+00,2.653299832284198079e+00,2.622975409720724294e+00,1.496662954709665039e+00,1.743559577416189388e+00,2.297825058615332594e+00,1.326649916142597530e+00,2.078460969082921217e+00,1.959591794226738459e+00,2.116601048852032818e+00,4.915282290977857294e+00,1.442220510185917126e+00,1.649242250247571429e+00,5.919459434779657414e+00,4.039801975345316265e+00,2.712931993249919405e+00,4.363484845854282312e+00,3.149603149604843111e+00,3.019933774108441771e+00,1.385640646055057434e+00,1.442220510185697524e+00,1.264911064067147484e+00,4.915282290977773805e+00,1.649242250247029196e+00,6.729041536504235310e+00,5.230678732248835949e+00,1.115706054478511255e+01,2.939387691339841346e+00,6.560487786742708494e+00,5.892367945062508383e+00,7.817928114276858409e+00,4.816637831517011747e+00
6.657326790837289288e+00,3.857460304397276829e+00,1.001598722043919487e+01,nan,2.529822128134836756e+00,4.630334761116158937e+00,1.264911064067393509e+00,3.730951621235525817e+00,2.190890230020856144e+00,6.209669878504021412e+00,4.039801975344836649e+00,4.613025037868361267e+00,7.504665215717480464e+00,6.858571279792897712e+00,8.625543461139123735e+00,4.833218389437771378e+00,8.119113252073795195e+00,7.999999999999948486e+00,1.052235715037271824e+01,8.971064596802365898e+00,8.634813257969172540e+00,1.026839812239483507e+01,1.132784180680509145e+01,1.115706054478517295e+01,8.304215796810732186e+00,5.366563145999592166e+00,1.053755189785562862e+01,8.997777503361655604e+00,1.581391792061669932e+01,1.389100428334830362e+01,1.236769986699237833e+01,5.892367945062453316e+00,1.251559027772962907e+01,7.255342858886919544e+00,9.465727652959456506e+00,9.599999999999980105e+00,9.838699100999026115e+00,5.351635264103816958e+00,1.050714042925095804e+01,3.464101615137663792e+00,6.118823416311290231e+00,1.743559577416335049e+00,7.332121111929381208e+00,4.436214602563803844e+00,4.252058325093885038e+00,2.366431913239866791e+00,6.412487816752618919e+00
4.418144406874903396e+00,3.979949748426490519e+00,7.797435475847209752e+00,2.529822128134836756e+00,nan,2.683281572999788533e+00,3.098386676966035758e+00,1.788854381999724907e+00,1.649242250247052510e+00,5.276362383309238346e+00,2.116601048851822320e+00,2.683281572999760112e+00,5.499090833947049894e+00,4.979959839195469584e+00,6.324555320336757269e+00,2.653299832284629289e+00,5.973273809227235276e+00,5.973273809227197972e+00,8.207313811473230913e+00,6.835202996253962660e+00,6.584831053261706479e+00,7.979974937304115556e+00,8.971064596802339253e+00,8.809086218218164177e+00,6.066300355241327935e+00,3.224903099319542665e+00,8.207313811473420984e+00,6.705221845696243577e+00,1.348183963708220112e+01,1.154469575172962514e+01,1.001598722043913270e+01,3.622154055255493610e+00,1.015086203235966167e+01,4.995998398718918487e+00,7.121797525905950721e+00,7.277362159464140667e+00,7.547184905645254460e+00,3.149603149604740082e+00,8.207313811473232690e+00,1.918332609325153593e+00,4.578209256903789992e+00,3.687817782917070630e+00,5.106858133921423182e+00,3.794733192202137673e+00,2.190890230020616780e+00,1.264911064067417712e+00,4.799999999999990941e+00
2.592296279363323297e+00,3.730951621235457427e+00,5.713142742834270038e+00,4.630334761116158937e+00,2.683281572999788533e+00,nan,5.200000000000077449e+00,1.326649916142389252e+00,2.712931993250200513e+00,3.857460304397112960e+00,1.385640646055263492e+00,1.496662954709603977e+00,3.174901573277651323e+00,3.019933774108322311e+00,4.345112196480043210e+00,1.833030277982798051e+00,3.815756805667746665e+00,3.687817782917164777e+00,6.131883886702394371e+00,4.664761515876191922e+00,4.252058325093776681e+00,5.932958789676694877e+00,6.893475175845638958e+00,6.800000000000111733e+00,3.979949748426601097e+00,1.743559577416637696e+00,6.157921727336374218e+00,4.715930449020834025e+00,1.135605565326274657e+01,9.440338976964829598e+00,7.949842765740974038e+00,1.876166303929759360e+00,8.079603950689872249e+00,2.993325909419449538e+00,5.106858133921432952e+00,5.261178575186462147e+00,5.396295025292912051e+00,1.649242250247016539e+00,6.157921727336166384e+00,1.959591794226365202e+00,2.653299832284250925e+00,5.837807807730510667e+00,3.072458299147335925e+00,3.019933774108329416e+00,1.326649916142389918e+00,2.742261840160358677e+00,2.912043955712306342e+00
7.310266752998855644e+00,4.000000000000102141e+00,1.067333125130107163e+01,1.264911064067393509e+00,3.098386676966035758e+00,5.200000000000077449e+00,nan,4.381780460041313496e+00,2.800000000000105072e+00,6.596969000988255338e+00,4.681879964287852580e+00,5.291502622129253375e+00,8.109253973085374767e+00,7.429670248402738153e+00,9.312357381458262751e+00,5.528109984434199653e+00,8.790904390334455698e+00,8.569714114251400616e+00,1.120714058089752285e+01,9.583318840568770369e+00,9.234717104492084161e+00,1.098362417419684789e+01,1.200666481584290501e+01,1.183215956619922515e+01,8.997777503361614748e+00,6.000000000000084377e+00,1.120714058089759391e+01,9.674709297958385079e+00,1.649242250247072406e+01,1.456021977856111249e+01,1.304147230952093750e+01,6.548282217498267777e+00,1.318180564262729959e+01,7.919595949289541359e+00,1.012719112093778939e+01,1.029951455166699859e+01,1.050714042925099534e+01,5.986651818838392813e+00,1.122140811128441484e+01,4.233202097703212985e+00,6.657326790837271524e+00,1.264911064067751667e+00,8.009993757800284442e+00,4.799999999999990941e+00,4.898979485566364644e+00,2.993325909419129349e+00,6.974238309665087066e+00
3.098386676965954489e+00,3.370459909270582255e+00,6.424951361683634232e+00,3.730951621235525817e+00,1.788854381999724907e+00,1.326649916142389252e+00,4.381780460041313496e+00,nan,1.999999999999968470e+00,4.000000000000135003e+00,8.000000000001302736e-01,1.326649916141966923e+00,4.059556626036991744e+00,3.644173431657739215e+00,5.027922035990672001e+00,1.743559577416262663e+00,4.613025037868356826e+00,4.472135954999708396e+00,6.916646586316186784e+00,5.396295025292784153e+00,5.075431016179813959e+00,6.669332800213395807e+00,7.704544113703216013e+00,7.536577472566717617e+00,4.698936049788262181e+00,1.833030277982393708e+00,6.916646586316298695e+00,5.411099703387563409e+00,1.218523696938233414e+01,1.025280449438121977e+01,8.754427451295814677e+00,2.366431913240270468e+00,8.908422980528250434e+00,3.666060555964658629e+00,5.837807807730817977e+00,5.999999999999888978e+00,6.222539674441559754e+00,1.876166303929471146e+00,6.916646586316301359e+00,1.326649916141922070e+00,3.322649545167044138e+00,4.963869458396295009e+00,3.773592452822683629e+00,2.653299832284252258e+00,9.797958971129155925e-01,1.697056274847805968e+00,3.487119154832664769e+00
4.882622246293484736e+00,2.800000000000002931e+00,8.187795796183547026e+00,2.190890230020856144e+00,1.649242250247052510e+00,2.712931993250200513e+00,2.800000000000105072e+00,1.999999999999968470e+00,nan,4.507771067833892253e+00,2.262741699797197636e+00,2.884441020371177444e+00,5.542562584220402044e+00,4.963869458396395373e+00,6.800000000000008704e+00,3.298484500494275995e+00,6.222539674441672553e+00,6.066300355241265763e+00,8.671793355471631770e+00,7.121797525905916970e+00,6.717142249498660789e+00,8.456949804746512811e+00,9.499473669630324579e+00,9.312357381458202354e+00,6.462197768561360078e+00,3.577708763999572383e+00,8.690224392960246291e+00,7.200000000000109424e+00,1.397712416772498756e+01,1.205321533865564732e+01,1.055272476661854242e+01,4.137632173115711076e+00,1.069579356569692408e+01,5.411099703387838744e+00,7.652450587883606659e+00,7.776888838089623057e+00,8.009993757800321745e+00,3.555277766926257410e+00,8.726969691708593047e+00,2.078460969082905230e+00,4.233202097703287592e+00,3.440930106817006617e+00,5.513619500835981846e+00,2.856571371417180316e+00,2.497999199359194566e+00,1.326649916141645180e+00,4.595650117230372089e+00
4.560701700396518454e+00,2.497999199359418832e+00,6.066300355241233788e+00,6.209669878504021412e+00,5.276362383309238346e+00,3.857460304397112960e+00,6.596969000988255338e+00,4.000000000000135003e+00,4.507771067833892253e+00,nan,4.019950248448398433e+00,4.039801975344991192e+00,3.555277766926214333e+00,2.622975409720798012e+00,5.513619500836149712e+00,5.059644256269427487e+00,4.118252056394827498e+00,4.079215610874344478e+00,6.462197768561435574e+00,5.276362383309277426e+00,4.098780306383806860e+00,6.424951361683841178e+00,7.332121111929324364e+00,7.233256528010073794e+00,5.027922035990512128e+00,4.019950248448516561e+00,6.776429738438942252e+00,5.656854249492482722e+00,1.114271062174735505e+01,9.423375191511887294e+00,8.284926070883450677e+00,4.289522117905954168e+00,8.428523002282350518e+00,4.578209256904138158e+00,6.066300355241571296e+00,6.026607669327878725e+00,5.932958789676799682e+00,4.176122603564145663e+00,6.916646586316208989e+00,4.270831300812565345e+00,2.683281573000047882e+00,7.110555533852437549e+00,4.613025037868228040e+00,1.649242250246721886e+00,4.118252056394949179e+00,4.833218389437800688e+00,2.399999999999876010e+00
