Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-04,1,1,1,3.621884659982229,27.4,-3.336111111111112,-10.854044283777686,-2.040807325996436
2019-04-17,1,1,1,2.9529335430893937,29.7,-1.0361111111111114,-3.370989606868502,-0.8941430610674097
2019-04-18,1,1,1,2.769926472208763,28.4,-2.336111111111112,-7.600542250338915,-0.5447157850683279
2019-04-19,1,1,1,2.9119143558557807,28.4,-2.336111111111112,-7.600542250338915,-0.5842949263627223
2019-04-23,1,1,1,3.224903099320232,25.4,-5.336111111111112,-17.361048350655228,-0.8500405893393702
2019-04-24,1,1,1,4.1553166380786575,25.8,-4.93611111111111,-16.05964753727971,-0.6408365567832857
2019-04-26,1,1,1,5.101437824944759,24.2,-6.536111111111111,-21.265250790781742,-0.924675541494514
2019-04-29,1,1,1,3.644107305610075,27.0,-3.7361111111111107,-12.155445097153184,-0.9733013436561985
2019-04-30,1,1,1,3.6072612798199857,27.8,-2.93611111111111,-9.552643470402167,-0.7290415002393645
2019-05-02,1,1,1,3.6271333583887655,26.4,-4.336111111111112,-14.107546317216457,-0.3377734177290658
2019-05-03,1,1,1,2.4494353066540517,28.8,-1.93611111111111,-6.299141436963396,-0.5684632698449644
2019-05-06,1,1,1,2.8778699360743634,28.7,-2.0361111111111114,-6.624491640307273,-1.1395337370926548
2019-05-07,1,1,1,3.3524404582658915,28.8,-1.93611111111111,-6.299141436963396,-0.7290415002393645
2019-05-09,1,1,1,3.4976551310635804,30.900000000000002,0.16388888888889142,0.5332128332580233,-0.6385748915664631
2019-05-10,1,1,1,4.059365277416504,30.4,-0.33611111111111214,-1.0935381834613733,-0.31515676556084044
2019-05-14,1,1,1,2.6531284913609605,28.599999999999998,-2.136111111111113,-6.949841843651161,-0.3954458807580403
2019-05-15,1,1,1,3.521345050744091,31.2,0.4638888888888886,1.5092634432896546,-0.8172464436954435
2019-05-16,1,1,1,3.249522104035035,30.8,0.06388888888889,0.20786262991414617,-0.5311457937673927
2019-05-17,1,1,1,3.1996092557298175,30.6,-0.1361111111111093,-0.442837776773608,-0.6148274067898265
2019-05-21,1,1,1,2.8688803434742223,29.7,-1.0361111111111114,-3.370989606868502,-0.16136353081690794
2019-05-29,1,1,1,2.883239697419717,28.5,-2.2361111111111107,-7.275192046995027,-0.35360507424682347
2019-05-31,1,1,1,2.908795267228231,28.2,-2.5361111111111114,-8.251242657026658,0.146222938670957
2019-08-02,1,1,1,4.137586997280389,31.7,0.9638888888888886,3.13601446000904,1.357344662279425
2019-08-07,1,1,1,5.962948638096144,34.4,3.663888888888888,11.920469950293722,1.1096923210373575
2019-08-08,1,1,1,4.379914696464141,33.5,2.7638888888888893,8.992318120198828,1.297410534033628
2019-08-09,1,2,1,5.87054001888173,35.9,5.163888888888888,16.800723000451878,1.5925578448289692
2019-08-19,1,1,1,4.947700330386453,32.1,1.3638888888888907,4.437415273384548,1.3335971775027884
2019-08-20,1,1,1,5.720032994698093,33.7,2.963888888888892,9.643018526886582,1.2702705514317574
2019-08-21,1,2,1,4.249390153192195,35.3,4.563888888888886,14.848621780388616,1.3087188601177409
2019-08-22,2,2,1,6.862319272385868,36.8,6.063888888888886,19.728874830546772,1.0576740210504387
2019-08-23,1,1,1,3.7091965819117063,32.3,1.5638888888888864,5.088115680072303,1.4048396318326983
2019-08-26,1,1,1,4.223646858887561,34.4,3.663888888888888,11.920469950293722,1.5190537252822365
2019-08-27,2,1,1,6.851639923084729,34.5,3.7638888888888893,12.245820153637599,1.4376337774766255
2019-08-28,1,2,1,5.542562584220519,35.1,4.363888888888891,14.197921373700861,1.3008030318588617
2019-12-23,1,2,1,4.63004461059609,36.400000000000006,5.663888888888895,18.427474017171285,-0.5560241111524405
2019-12-24,1,1,1,5.803115678604627,34.7,3.963888888888892,12.896520560325353,-0.7957606241356294
