"timestamp","value"
2015-01-01 00:00:00,136.8
2015-01-01 00:15:00,138.8
2015-01-01 00:30:00,140.8
2015-01-01 00:45:00,139.2
2015-01-01 01:00:00,140.4
2015-01-01 01:15:00,144
2015-01-01 01:30:00,140.4
2015-01-01 01:45:00,142.8
2015-01-01 02:00:00,141.2
2015-01-01 02:15:00,145.2
2015-01-01 02:30:00,140.8
2015-01-01 02:45:00,141.2
2015-01-01 03:00:00,142
2015-01-01 03:15:00,144
2015-01-01 03:30:00,143.6
2015-01-01 03:45:00,137.6
2015-01-01 04:00:00,137.6
2015-01-01 04:15:00,137.2
2015-01-01 04:30:00,144.8
2015-01-01 04:45:00,139.2
2015-01-01 05:00:00,148
2015-01-01 05:15:00,157.6
2015-01-01 05:30:00,158
2015-01-01 05:45:00,157.2
2015-01-01 06:00:00,160.4
2015-01-01 06:15:00,171.2
2015-01-01 06:30:00,167.6
2015-01-01 06:45:00,172
2015-01-01 07:00:00,170.4
2015-01-01 07:15:00,172
2015-01-01 07:30:00,173.2
2015-01-01 07:45:00,170
2015-01-01 08:00:00,158.4
2015-01-01 08:15:00,140.4
2015-01-01 08:30:00,141.6
2015-01-01 08:45:00,137.2
2015-01-01 09:00:00,124
2015-01-01 09:15:00,123.6
2015-01-01 09:30:00,134.4
2015-01-01 09:45:00,126
2015-01-01 10:00:00,126
2015-01-01 10:15:00,126.8
2015-01-01 10:30:00,130.8
2015-01-01 10:45:00,129.2
2015-01-01 11:00:00,132
2015-01-01 11:15:00,130
2015-01-01 11:30:00,128
2015-01-01 11:45:00,132.8
2015-01-01 12:00:00,130.8
2015-01-01 12:15:00,126.4
2015-01-01 12:30:00,131.6
2015-01-01 12:45:00,128
2015-01-01 13:00:00,131.2
2015-01-01 13:15:00,122
2015-01-01 13:30:00,122
2015-01-01 13:45:00,132
2015-01-01 14:00:00,127.6
2015-01-01 14:15:00,134.8
2015-01-01 14:30:00,117.2
2015-01-01 14:45:00,132.4
2015-01-01 15:00:00,126.8
2015-01-01 15:15:00,126
2015-01-01 15:30:00,128.4
2015-01-01 15:45:00,127.6
2015-01-01 16:00:00,124.4
2015-01-01 16:15:00,118.8
2015-01-01 16:30:00,116.8
2015-01-01 16:45:00,120.4
2015-01-01 17:00:00,156.4
2015-01-01 17:15:00,138.4
2015-01-01 17:30:00,140.4
2015-01-01 17:45:00,146.4
2015-01-01 18:00:00,142.8
2015-01-01 18:15:00,150.4
2015-01-01 18:30:00,144.8
2015-01-01 18:45:00,154.8
2015-01-01 19:00:00,134.4
2015-01-01 19:15:00,145.6
2015-01-01 19:30:00,139.2
2015-01-01 19:45:00,150.4
2015-01-01 20:00:00,135.6
2015-01-01 20:15:00,141.2
2015-01-01 20:30:00,140.4
2015-01-01 20:45:00,136
2015-01-01 21:00:00,127.6
2015-01-01 21:15:00,126.4
2015-01-01 21:30:00,132.4
2015-01-01 21:45:00,127.2
2015-01-01 22:00:00,128
2015-01-01 22:15:00,127.6
2015-01-01 22:30:00,137.6
2015-01-01 22:45:00,138.4
2015-01-01 23:00:00,132
2015-01-01 23:15:00,119.2
2015-01-01 23:30:00,120.8
2015-01-01 23:45:00,120
2015-01-02 00:00:00,130
2015-01-02 00:15:00,137.2
2015-01-02 00:30:00,126.8
2015-01-02 00:45:00,134.8
2015-01-02 01:00:00,128.8
2015-01-02 01:15:00,126
2015-01-02 01:30:00,128.4
2015-01-02 01:45:00,143.2
2015-01-02 02:00:00,124.4
2015-01-02 02:15:00,134.4
2015-01-02 02:30:00,124.8
2015-01-02 02:45:00,141.6
2015-01-02 03:00:00,140.8
2015-01-02 03:15:00,141.6
2015-01-02 03:30:00,141.6
2015-01-02 03:45:00,143.6
2015-01-02 04:00:00,138.8
2015-01-02 04:15:00,137.2
2015-01-02 04:30:00,142
2015-01-02 04:45:00,135.6
2015-01-02 05:00:00,145.2
2015-01-02 05:15:00,148.8
2015-01-02 05:30:00,149.6
2015-01-02 05:45:00,148.4
2015-01-02 06:00:00,162.4
2015-01-02 06:15:00,187.6
2015-01-02 06:30:00,186
2015-01-02 06:45:00,190.4
2015-01-02 07:00:00,184.8
2015-01-02 07:15:00,192.8
2015-01-02 07:30:00,186.4
2015-01-02 07:45:00,188.4
2015-01-02 08:00:00,186.8
2015-01-02 08:15:00,186
2015-01-02 08:30:00,203.6
2015-01-02 08:45:00,203.2
2015-01-02 09:00:00,208.4
2015-01-02 09:15:00,202.8
2015-01-02 09:30:00,201.2
2015-01-02 09:45:00,192.8
2015-01-02 10:00:00,196
2015-01-02 10:15:00,199.6
2015-01-02 10:30:00,193.6
2015-01-02 10:45:00,196
2015-01-02 11:00:00,188.4
2015-01-02 11:15:00,194.8
2015-01-02 11:30:00,190.8
2015-01-02 11:45:00,189.6
2015-01-02 12:00:00,188.8
2015-01-02 12:15:00,190.4
2015-01-02 12:30:00,190.8
2015-01-02 12:45:00,186.4
2015-01-02 13:00:00,191.2
2015-01-02 13:15:00,190.4
2015-01-02 13:30:00,195.6
2015-01-02 13:45:00,196
2015-01-02 14:00:00,192
2015-01-02 14:15:00,192.8
2015-01-02 14:30:00,191.2
2015-01-02 14:45:00,196
2015-01-02 15:00:00,194
2015-01-02 15:15:00,195.6
2015-01-02 15:30:00,191.6
2015-01-02 15:45:00,193.6
2015-01-02 16:00:00,195.6
2015-01-02 16:15:00,198
2015-01-02 16:30:00,207.6
2015-01-02 16:45:00,221.2
2015-01-02 17:00:00,226.8
2015-01-02 17:15:00,221.2
2015-01-02 17:30:00,224
2015-01-02 17:45:00,222.4
2015-01-02 18:00:00,217.6
2015-01-02 18:15:00,219.6
2015-01-02 18:30:00,218
2015-01-02 18:45:00,220
2015-01-02 19:00:00,206.4
2015-01-02 19:15:00,198
2015-01-02 19:30:00,189.6
2015-01-02 19:45:00,193.2
2015-01-02 20:00:00,182.4
2015-01-02 20:15:00,167.2
2015-01-02 20:30:00,166
2015-01-02 20:45:00,166.4
2015-01-02 21:00:00,168
2015-01-02 21:15:00,164.8
2015-01-02 21:30:00,165.6
2015-01-02 21:45:00,164.8
2015-01-02 22:00:00,159.2
2015-01-02 22:15:00,162.4
2015-01-02 22:30:00,160.8
2015-01-02 22:45:00,163.2
2015-01-02 23:00:00,139.2
2015-01-02 23:15:00,110.4
2015-01-02 23:30:00,109.6
2015-01-02 23:45:00,116
2015-01-03 00:00:00,119.2
2015-01-03 00:15:00,122.4
2015-01-03 00:30:00,126.4
2015-01-03 00:45:00,128.8
2015-01-03 01:00:00,128.4
2015-01-03 01:15:00,130.4
2015-01-03 01:30:00,138
2015-01-03 01:45:00,136.8
2015-01-03 02:00:00,132.8
2015-01-03 02:15:00,132.8
2015-01-03 02:30:00,130.8
2015-01-03 02:45:00,135.2
2015-01-03 03:00:00,130.4
2015-01-03 03:15:00,134.4
2015-01-03 03:30:00,133.2
2015-01-03 03:45:00,129.6
2015-01-03 04:00:00,135.2
2015-01-03 04:15:00,122.4
2015-01-03 04:30:00,125.2
2015-01-03 04:45:00,122
2015-01-03 05:00:00,134.4
2015-01-03 05:15:00,156.4
2015-01-03 05:30:00,156
2015-01-03 05:45:00,153.2
2015-01-03 06:00:00,168
2015-01-03 06:15:00,194.8
2015-01-03 06:30:00,196
2015-01-03 06:45:00,196
2015-01-03 07:00:00,196
2015-01-03 07:15:00,202.8
2015-01-03 07:30:00,197.2
2015-01-03 07:45:00,199.6
2015-01-03 08:00:00,194
2015-01-03 08:15:00,192
2015-01-03 08:30:00,190.4
2015-01-03 08:45:00,186
2015-01-03 09:00:00,189.6
2015-01-03 09:15:00,181.2
2015-01-03 09:30:00,183.2
2015-01-03 09:45:00,169.2
2015-01-03 10:00:00,176.4
2015-01-03 10:15:00,175.6
2015-01-03 10:30:00,177.6
2015-01-03 10:45:00,171.2
2015-01-03 11:00:00,174.4
2015-01-03 11:15:00,176.8
2015-01-03 11:30:00,171.6
2015-01-03 11:45:00,169.2
2015-01-03 12:00:00,173.2
2015-01-03 12:15:00,175.2
2015-01-03 12:30:00,176
2015-01-03 12:45:00,172.8
2015-01-03 13:00:00,175.2
2015-01-03 13:15:00,154.4
2015-01-03 13:30:00,163.2
2015-01-03 13:45:00,155.2
2015-01-03 14:00:00,155.2
2015-01-03 14:15:00,130.8
2015-01-03 14:30:00,120.4
2015-01-03 14:45:00,124.4
2015-01-03 15:00:00,121.2
2015-01-03 15:15:00,128.4
2015-01-03 15:30:00,114.4
2015-01-03 15:45:00,118
2015-01-03 16:00:00,130.4
2015-01-03 16:15:00,127.2
2015-01-03 16:30:00,126.4
2015-01-03 16:45:00,120.8
2015-01-03 17:00:00,116.8
2015-01-03 17:15:00,122
2015-01-03 17:30:00,126.4
2015-01-03 17:45:00,126.8
2015-01-03 18:00:00,128.4
2015-01-03 18:15:00,130
2015-01-03 18:30:00,131.6
2015-01-03 18:45:00,126.4
2015-01-03 19:00:00,115.6
2015-01-03 19:15:00,124.4
2015-01-03 19:30:00,117.2
2015-01-03 19:45:00,116.8
2015-01-03 20:00:00,114.8
2015-01-03 20:15:00,112.4
2015-01-03 20:30:00,120.8
2015-01-03 20:45:00,114
2015-01-03 21:00:00,120
2015-01-03 21:15:00,110.8
2015-01-03 21:30:00,121.2
2015-01-03 21:45:00,120
2015-01-03 22:00:00,114.8
2015-01-03 22:15:00,116.8
2015-01-03 22:30:00,114.4
2015-01-03 22:45:00,118.8
2015-01-03 23:00:00,119.6
2015-01-03 23:15:00,121.6
2015-01-03 23:30:00,115.6
2015-01-03 23:45:00,126.8
