"","CET","ToU","Holiday","Year","Month","Month_day","Week_day","Hour","Time","Power_total","Power_data_centre","Power_canteen","Power_mechanical_room","Power_dimat","Power_bar","Power_rectory","Power_print_shop"
"1",2015-03-04 12:15:00,"F1","No",2015,3,4,3,12,"12:15",623.6,38.8,174.8,40.8,11.2,24.8,7.2,10.8
"2",2015-03-04 12:30:00,"F1","No",2015,3,4,3,12,"12:30",608.8,42,171.2,41.2,10.8,22.4,7.2,12.8
"3",2015-03-04 12:45:00,"F1","No",2015,3,4,3,12,"12:45",608.8,42.8,152,41.2,11.2,28,7.6,12.4
"4",2015-03-04 13:00:00,"F1","No",2015,3,4,3,13,"13:00",604.4,40,163.2,41.6,11.2,25.2,7.2,11.2
"5",2015-03-04 13:15:00,"F1","No",2015,3,4,3,13,"13:15",644.4,42,192.4,40.8,11.2,29.6,7.6,11.2
"6",2015-03-04 13:30:00,"F1","No",2015,3,4,3,13,"13:30",654.4,43.2,197.6,42,10.4,27.6,7.6,10
"7",2015-03-04 13:45:00,"F1","No",2015,3,4,3,13,"13:45",613.2,38.4,178,41.2,10.8,23.6,7.2,11.6
"8",2015-03-04 14:00:00,"F1","No",2015,3,4,3,14,"14:00",622,43.6,167.2,42,11.2,22,8,10.4
"9",2015-03-04 14:15:00,"F1","No",2015,3,4,3,14,"14:15",588.4,42.8,144,41.6,10.8,20.4,6.4,12.8
"10",2015-03-04 14:30:00,"F1","No",2015,3,4,3,14,"14:30",601.6,38.4,140,41.6,11.6,24.4,6,10.4
"11",2015-03-04 14:45:00,"F1","No",2015,3,4,3,14,"14:45",571.2,43.6,124.8,42.8,11.6,25.2,6,12
"12",2015-03-04 15:00:00,"F1","No",2015,3,4,3,15,"15:00",588,40.8,132.8,42,11.2,21.2,6,11.2
"13",2015-03-04 15:15:00,"F1","No",2015,3,4,3,15,"15:15",542.4,40.4,113.6,43.2,10.8,19.2,6,12
"14",2015-03-04 15:30:00,"F1","No",2015,3,4,3,15,"15:30",535.2,43.2,95.2,42,10.8,18,7.2,13.6
"15",2015-03-04 15:45:00,"F1","No",2015,3,4,3,15,"15:45",556.4,41.2,103.6,43.2,11.2,19.6,6,10.4
"16",2015-03-04 16:00:00,"F1","No",2015,3,4,3,16,"16:00",510.4,40,58,42.4,11.2,16.4,5.2,12.4
"17",2015-03-04 16:15:00,"F1","No",2015,3,4,3,16,"16:15",498.8,43.6,35.6,43.2,11.6,15.6,6.4,10.8
"18",2015-03-04 16:30:00,"F1","No",2015,3,4,3,16,"16:30",492,38.8,30,42.4,11.6,17.6,6.4,10.8
"19",2015-03-04 16:45:00,"F1","No",2015,3,4,3,16,"16:45",496.8,41.2,28.8,42.8,12,15.2,6.8,10.4
"20",2015-03-04 17:00:00,"F1","No",2015,3,4,3,17,"17:00",495.2,43.2,23.6,43.2,12,14,6.8,13.2
"21",2015-03-04 17:15:00,"F1","No",2015,3,4,3,17,"17:15",460.4,38,16.4,42.8,12.4,13.6,6.4,11.6
"22",2015-03-04 17:30:00,"F1","No",2015,3,4,3,17,"17:30",471.6,42.4,10.8,43.2,12.4,13.6,6.8,12.8
"23",2015-03-04 17:45:00,"F1","No",2015,3,4,3,17,"17:45",460,42.8,10,42.4,12,12.4,6.8,11.6
"24",2015-03-04 18:00:00,"F1","No",2015,3,4,3,18,"18:00",479.6,37.6,10,43.6,12,13.6,6.4,14
"25",2015-03-04 18:15:00,"F1","No",2015,3,4,3,18,"18:15",456.4,42.4,10,41.6,11.6,13.6,6.8,12.8
