Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-07,1,1,1,8.294576541331388,133.9,-1.820218579234961,-1.34115506023319,-1.3052994830259044
2019-01-08,1,1,1,9.208691546577269,133.1,-2.6202185792349724,-1.9306029762288235,-1.2363454892596897
2019-01-09,1,1,1,7.9397732965111345,135.5,-0.22021857923496668,-0.1622592282419566,-1.5121614643245478
2019-01-10,1,1,1,9.699484522385736,132.1,-3.6202185792349724,-2.6674128712233514,-1.5392782034460928
2019-01-11,1,1,1,9.086253353280318,133.2,-2.520218579234978,-1.8569219867293763,-1.5594220667935264
2019-01-14,1,1,1,7.3102667529988885,140.5,4.779781420765033,3.5217902467306716,-1.3014256631513978
2019-01-15,1,1,1,7.065408693062285,135.4,-0.320218579234961,-0.23594021774140383,-1.1371757004723249
2019-01-16,1,1,1,8.988882021697407,132.0,-3.7202185792349667,-2.7410938607227986,-1.0008172408896985
2019-01-17,1,1,1,9.967948635501882,130.9,-4.820218579234961,-3.5515847452167626,-1.0635731228567027
2019-01-18,1,1,1,9.346657156438186,131.9,-3.820218579234961,-2.814774850222246,-1.3920730482148485
2019-01-21,1,1,1,16.02997192761128,121.1,-14.620218579234972,-10.772321716163113,-1.3510105575450801
2019-01-22,1,1,1,15.5383396796439,122.2,-13.520218579234964,-9.961830831669127,-1.3626320171685995
2019-01-23,1,1,1,16.159207901379343,121.6,-14.120218579234972,-10.403916768665855,-1.7763559797658868
2019-01-24,1,1,1,15.331014317389371,123.60000000000001,-12.120218579234958,-8.930296978676788,-1.7786802716905905
2019-01-25,1,1,1,14.696938456698982,124.0,-11.720218579234967,-8.635573020678988,-2.003361824411964
2019-01-28,1,1,1,10.84435336938092,129.1,-6.620218579234972,-4.877842556206923,-1.7755812157909856
2019-01-29,1,1,1,13.200000000000129,126.4,-9.320218579234961,-6.867229272692121,-1.4865942531528054
2019-01-30,1,1,1,14.56021977856105,125.9,-9.820218579234961,-7.235634220189391,-1.6717628431542129
2019-01-31,1,1,1,14.02283851436684,126.7,-9.020218579234964,-6.646186304193769,-1.4850447252030028
2019-02-01,1,1,1,14.483093592185355,124.7,-11.020218579234964,-8.119806094182824,-1.771707395916479
2019-02-04,1,1,1,10.205880657738366,130.0,-5.720218579234967,-4.214713650711843,-1.156544799844857
2019-02-05,1,1,1,11.228535078094632,128.5,-7.220218579234967,-5.31992849320363,-1.056600247082591
2019-02-06,1,1,1,9.32952303175276,130.9,-4.820218579234961,-3.5515847452167626,-0.9496828185462135
2019-02-07,1,1,1,13.224220203853326,127.2,-8.520218579234964,-6.27778135669651,-0.9334127750732866
2019-02-08,1,1,1,10.229369482035738,130.0,-5.720218579234967,-4.214713650711843,-0.9194670235250634
2019-02-11,1,1,1,11.185705163287658,129.1,-6.620218579234972,-4.877842556206923,-1.2440931290087025
2019-02-12,1,1,1,9.73242004847729,130.0,-5.720218579234967,-4.214713650711843,-1.2983266072517927
2019-02-13,1,1,1,10.119288512539004,129.7,-6.020218579234978,-4.435756619210207,-0.7110555142766171
2019-02-14,1,1,1,9.806120537705674,131.6,-4.120218579234972,-3.0358178187206097,-0.4445367069105745
2019-02-15,1,1,1,9.765244492587193,131.6,-4.120218579234972,-3.0358178187206097,-0.24464760138604236
2019-02-18,1,1,1,9.599999999999506,132.3,-3.4202185792349553,-2.5200508922244236,-0.7157040981260248
2019-02-19,1,1,1,9.363759928576071,132.3,-3.4202185792349553,-2.5200508922244236,-0.7281003217244455
2019-02-20,1,1,1,9.068627239003602,132.5,-3.2202185792349667,-2.372688913225529,-0.662245383857836
2019-02-21,1,1,1,9.465727652959242,131.2,-4.520218579234978,-3.330541776718421,-0.4910225454046515
2019-02-22,1,1,1,11.53776408148486,143.5,7.779781420765033,5.732219931714244,-0.48947301745484906
2019-02-25,1,1,1,9.95188424369943,130.9,-4.820218579234961,-3.5515847452167626,-0.29500725975462605
2019-02-26,1,1,1,8.390470785361288,133.7,-2.020218579234978,-1.4885170392321068,0.046663653176841666
2019-02-27,1,1,1,8.588364221433768,135.6,-0.12021857923497237,-0.08857823874250936,0.13808580221519337
2019-02-28,1,1,1,7.547184905645414,136.1,0.37978142076502763,0.279826708754749,-0.2919082038550208
2019-03-01,1,1,1,7.838367176906234,135.5,-0.22021857923496668,-0.1622592282419566,-0.6730920795064541
2019-03-04,1,1,1,9.65815717411978,131.8,-3.9202185792349553,-2.888455839721693,-0.8226215266624024
2019-03-05,1,1,1,9.077444574328457,133.3,-2.4202185792349553,-1.7832409972299068,-0.643651048460205
2019-03-06,1,1,1,11.17139203501565,128.9,-6.820218579234961,-5.025204535205818,-1.000042476914797
2019-03-07,1,1,1,11.264102272263035,129.5,-6.220218579234967,-4.583118598209102,-0.6397772285856986
2019-03-08,1,1,1,9.682974749528299,132.5,-3.2202185792349667,-2.372688913225529,-0.5375083838987288
2019-03-11,1,1,1,9.608329719571339,131.9,-3.820218579234961,-2.814774850222246,-1.1875353588409086
2019-03-12,1,1,1,9.30376267969022,132.7,-3.020218579234978,-2.2253269342266346,-0.6800649552805655
2019-03-13,1,1,1,8.935323161475878,133.3,-2.4202185792349553,-1.7832409972299068,-1.069771234655913
2019-03-14,1,1,1,8.662563131083417,134.4,-1.320218579234961,-0.9727501127359317,-0.9217913154497671
2019-03-15,1,1,1,7.375635565834486,136.5,0.7797814207650333,0.5745506667525602,-0.4863739615552439
