Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-05,3,2,1,36.52725010180802,129.0,43.99148936170212,51.74951193872952,-1.4473762700150439
2019-01-12,0,0,1,10.3923048454251,64.6,-20.408510638297884,-24.00760875006258,-1.3949426633760942
2019-01-19,0,0,1,10.990905331227827,70.0,-15.008510638297878,-17.655303599139017,-1.367880156723733
2019-01-26,0,0,1,14.945233353811918,78.5,-6.508510638297878,-7.656304750463039,-1.896444739777662
2019-02-02,0,0,1,14.366627996849614,86.0,0.9914893617021221,1.1663412924863614,-1.5036155416519819
2019-02-09,0,0,1,12.158947322847606,87.6,2.5914893617021164,3.0485057816488803,-1.6444251465775486
2019-02-16,0,0,1,12.046576277109356,84.2,-0.8085106382978751,-0.9510937578214973,-1.1513801035048439
2019-02-23,3,2,1,36.57977583310018,129.0,43.99148936170212,51.74951193872952,-0.9517941169436804
2019-03-02,3,2,1,35.71666277803234,128.1,43.091489361702116,50.6907944135756,-1.0503185552249328
2019-03-09,0,0,1,7.60000000000191,78.9,-6.108510638297872,-7.185763628172392,-0.8917491803087542
2019-03-16,2,2,1,25.603124809286577,114.7,29.691489361702125,34.92766681683936,-0.7052715954073281
2019-03-23,2,2,1,34.02352127573194,125.1,40.091489361702116,47.161735996395834,-1.0887980568712587
2019-03-30,2,2,1,33.45205524328411,124.6,39.591489361702116,46.57355959353255,-1.0033820202497439
2019-04-06,2,2,1,32.14467296458419,123.4,38.39148936170213,45.16193622666065,-0.9293829786221939
2019-04-13,0,0,1,8.827230596287624,74.4,-10.608510638297872,-12.479351253942028,-0.6283125921146762
2019-05-11,0,0,1,13.75790681753918,90.0,4.991489361702122,5.871752515392692,-0.2498603506480632
2019-05-25,0,0,1,8.845337755002422,70.4,-14.608510638297872,-17.18476247684837,-0.026171819099640573
2019-06-01,0,0,1,9.491048414172013,76.6,-8.408510638297884,-9.891375081343556,0.6901389038550436
2019-06-08,0,0,1,8.313843876303745,69.0,-16.008510638297878,-18.831656404865605,0.7133957455094164
2019-06-15,0,0,1,8.522910301049427,78.6,-6.408510638297884,-7.538669469890391,1.0081233570202872
2019-06-22,0,0,1,8.845337755002422,80.9,-4.108510638297872,-4.833058016719227,0.9789465920357102
2019-06-24,0,0,1,8.236504112820246,82.5,-2.508510638297878,-2.950893527556697,1.2550687302230825
2019-06-29,0,0,2,9.781615408490767,86.1,1.0914893617021164,1.2839765730590091,1.6521264450131938
2019-07-06,0,0,2,10.969047360595177,88.6,3.5914893617021164,4.2248585873754685,1.4483119417875991
2019-07-13,0,0,1,10.673331251301507,83.9,-1.1085106382978722,-1.3039995995394738,1.1273675269572532
2019-07-20,0,0,1,9.243376006676781,82.6,-2.4085106382978836,-2.8332582469840495,1.2068636402485642
2019-07-27,0,0,1,11.327841806773261,86.9,1.8914893617021278,2.2250588176402797,1.2905882702043063
2019-08-03,0,0,1,8.37137981457166,76.8,-8.20851063829788,-9.65610452019824,1.1206019002941634
2019-08-10,0,0,2,13.977124167708725,58.2,-26.808510638297875,-31.536266706712723,1.5041283617580936
2019-08-24,0,0,1,15.06784656140375,56.300000000000004,-28.708510638297874,-33.77133703759323,1.132018895288128
2019-08-31,0,0,1,9.042123644332067,79.4,-5.608510638297872,-6.597587225309109,1.2808626818761142
2019-09-07,0,0,1,8.653323061124862,75.7,-9.308510638297875,-10.950092606497474,0.45799333897775807
2019-09-14,0,0,1,8.409518416657185,78.1,-6.908510638297884,-8.126845872753673,1.0068548020209578
2019-09-21,0,0,1,8.352245207149263,72.9,-12.108510638297872,-14.24388046253191,0.6123341972295052
2019-09-28,0,0,1,13.31465358168706,91.7,6.691489361702125,7.871552285127903,0.7721721271450133
2019-10-05,0,0,1,8.313843876340382,76.5,-8.508510638297878,-10.009010361916204,0.22627062576691595
2019-10-12,0,0,1,7.34302390026183,79.6,-5.408510638297884,-6.362316664163803,0.2622130174145831
2019-10-19,0,0,1,8.579044235803664,73.4,-11.608510638297872,-13.655704059668617,0.49604998895764096
2019-10-26,0,0,1,8.872429205188547,74.1,-10.908510638297884,-12.832257095660026,0.47829021896702906
2019-11-02,0,0,1,7.868926229221613,69.1,-15.908510638297884,-18.714021124292945,0.057975662522544866
2019-11-09,0,0,1,8.226785520481531,73.0,-12.008510638297878,-14.126245181959263,-0.4346465288837166
2019-11-16,0,0,1,8.681013765737347,72.4,-12.608510638297872,-14.832056865395204,-0.44775493054345405
2019-11-23,0,0,1,8.323460818727119,79.5,-5.508510638297878,-6.479951944736451,-0.0887538657332257
2019-11-30,0,1,1,16.38535931861974,104.8,19.79148936170212,23.281774040146153,-0.3306250189387034
2019-12-07,0,0,1,11.228535078079554,75.9,-9.108510638297872,-10.714822045352157,-0.7116143704039753
2019-12-14,0,0,1,13.27855413819319,80.5,-4.508510638297878,-5.3035991390098625,-0.5513535888220241
2019-12-21,0,0,1,11.370136322838116,73.3,-11.70851063829788,-13.773339340241286,-0.2828427806306283
