nan,8.033430151560281729e+01,4.810322234531423646e+01,1.955419136655825696e+02,1.753223317207524019e+02,2.173380776578307803e+02,2.136516791415492946e+02,1.829937703857734448e+02,1.512343876239777671e+02,1.982116041002644238e+02,3.621933185467374017e+01,5.901593005283402960e+01,4.678974246563367956e+01,5.411099703388814675e+01,7.183759461450890171e+01,9.182505104818827135e+01,3.542654372077736014e+01,9.271375302510026017e+01,8.601581249979624033e+01,5.971130546218918056e+01,6.019435189451382229e+01,8.930666268537655128e+01,3.926321433609201250e+01,9.266973616020318616e+01
8.033430151560281729e+01,nan,9.505114412779019517e+01,1.089087691602456971e+02,8.821700516340540332e+01,1.289272663171088311e+02,1.238030694288353715e+02,9.499726311847790328e+01,7.763092167428628443e+01,1.084509105540360991e+02,4.845781670695497922e+01,4.676579946929154374e+01,9.024765924944178153e+01,5.646946077305504019e+01,1.328457752435275907e+01,2.623890241604366480e+01,6.968156140615690219e+01,2.410311183233437760e+01,2.222791038313253864e+01,3.854763287154001716e+01,3.860984330452888003e+01,1.965705980047327373e+01,8.603627142084046397e+01,3.517499111583099847e+01
4.810322234531423646e+01,9.505114412779019517e+01,nan,2.204261327519963345e+02,2.008836479158975408e+02,2.479148240827938423e+02,2.307448807666125958e+02,1.998047046493153687e+02,1.724770129611482048e+02,2.241988403181480010e+02,4.244337404124597413e+01,4.914956764814575507e+01,2.184673888705684774e+01,4.271018613864680447e+01,7.540610054897909720e+01,9.621143383194775822e+01,3.398117125703825536e+01,1.100021817965522928e+02,1.014628996234647360e+02,5.975282420103528125e+01,5.142139632488623846e+01,1.048778336923514587e+02,2.235352321221278160e+01,1.332324284849547382e+02
1.955419136655825696e+02,1.089087691602456971e+02,2.204261327519963345e+02,nan,1.944839324983153261e+01,2.974289831209258850e+01,3.291929525371462972e+01,3.492620792471149116e+01,6.854604292006487753e+01,1.570732313286039883e+01,1.704666536305574027e+02,1.668383648924901195e+02,2.184366269653517918e+02,1.754217774394039964e+02,1.243086481303715516e+02,1.255611404854197843e+02,1.922718908213048223e+02,9.660890228131263768e+01,9.833168360197454660e+01,1.511243196841519989e+02,1.563887463981986059e+02,1.024546729046546005e+02,2.122451412871467653e+02,8.430421104548247513e+01
1.753223317207524019e+02,8.821700516340540332e+01,2.008836479158975408e+02,1.944839324983153261e+01,nan,4.154034183777368838e+01,4.254127407590899423e+01,2.461544230764982544e+01,5.727826813026020858e+01,2.110544953322525075e+01,1.506513856557562008e+02,1.473119139784693061e+02,1.990630051013990567e+02,1.565237362191443253e+02,1.024093745708847081e+02,1.052714586200861504e+02,1.730553668627566140e+02,7.543792149840651007e+01,7.450852300240691761e+01,1.302195069872472288e+02,1.356513177230423537e+02,8.335850286563498912e+01,1.934176827490180131e+02,7.249937930769384309e+01
2.173380776578307803e+02,1.289272663171088311e+02,2.479148240827938423e+02,2.974289831209258850e+01,4.154034183777368838e+01,nan,4.565260124024035804e+01,6.538379004002709394e+01,9.493998104066184851e+01,2.330665141117397354e+01,1.939892780542248829e+02,1.937734759971170604e+02,2.449022662206292011e+02,2.045001711490718037e+02,1.482764984749784105e+02,1.507161570635336432e+02,2.163071889697666847e+02,1.179586368181799827e+02,1.171084967028428565e+02,1.771263955484900805e+02,1.823947367661734233e+02,1.285220603631835274e+02,2.400469953988178702e+02,9.472317562244107592e+01
2.136516791415492946e+02,1.238030694288353715e+02,2.307448807666125958e+02,3.291929525371462972e+01,4.254127407590899423e+01,4.565260124024035804e+01,nan,3.560224712009224390e+01,7.589044735669101271e+01,3.256746843097212007e+01,1.856599041258005229e+02,1.766696351951898691e+02,2.302072110078233038e+02,1.875407155793119784e+02,1.375592963052598066e+02,1.344255928013758705e+02,2.087831410818396307e+02,1.137456812367115901e+02,1.163106186038128129e+02,1.664797885630555925e+02,1.680399952392313025e+02,1.153422732565960587e+02,2.244862579313050048e+02,1.058874874572205016e+02
1.829937703857734448e+02,9.499726311847790328e+01,1.998047046493153687e+02,3.492620792471149116e+01,2.461544230764982544e+01,6.538379004002709394e+01,3.560224712009224390e+01,nan,4.888353506037224605e+01,4.119029011792519412e+01,1.557033076077767362e+02,1.454141671227397126e+02,1.997542490161384023e+02,1.557485152417206962e+02,1.069893452639056761e+02,1.025771904469905138e+02,1.776526948852748831e+02,8.472921574049919968e+01,8.512203005098000119e+01,1.336401137383549553e+02,1.365963396288499609e+02,8.564204574856876206e+01,1.929559535230756069e+02,9.202869117835274437e+01
1.512343876239777671e+02,7.763092167428628443e+01,1.724770129611482048e+02,6.854604292006487753e+01,5.727826813026020858e+01,9.493998104066184851e+01,7.589044735669101271e+01,4.888353506037224605e+01,nan,7.113929996844592551e+01,1.300707499786241499e+02,1.231194541898278771e+02,1.711429811590297732e+02,1.303987730003647414e+02,8.522253223180511839e+01,8.204194049386974541e+01,1.506726252509037352e+02,6.996341901306671218e+01,7.094786818502758763e+01,1.085194913368066949e+02,1.119049596756125169e+02,7.165249472279484166e+01,1.660949126252816939e+02,8.220267635546150586e+01
1.982116041002644238e+02,1.084509105540360991e+02,2.241988403181480010e+02,1.570732313286039883e+01,2.110544953322525075e+01,2.330665141117397354e+01,3.256746843097212007e+01,4.119029011792519412e+01,7.113929996844592551e+01,nan,1.719544125633300382e+02,1.694390745961455025e+02,2.204156074328702175e+02,1.803791562237768176e+02,1.274858423512171299e+02,1.267892739942925999e+02,1.939216336564849712e+02,9.772696659571356292e+01,1.004231049111702561e+02,1.547886300734031408e+02,1.607278445074226738e+02,1.038676080402526054e+02,2.157702481807899630e+02,8.541756259692910191e+01
