,0,1,2,3
0,8.113232687775177,3064,-1,3064
1,8.036891259461415,3064,-1,3064
2,8.076047830529554,3065,-1,3065
3,8.036215005220537,3066,-1,3066
4,8.027052555683671,3067,-1,3067
5,8.053312719631174,3068,-1,3068
6,8.041195178334915,3069,-1,3069
7,7.971202775830019,3070,-1,3070
8,7.95390210940771,3071,-1,3071
9,7.959564563975495,3072,-1,3072
10,7.992467314633802,3073,-1,3073
11,8.036856261599658,3074,-1,3074
12,8.016928636940095,3075,-1,3075
13,8.033010212421704,3076,-1,3076
14,8.082273317619174,3077,-1,3077
15,8.09455004134106,3078,-1,3078
16,8.07908307174603,3079,-1,3079
17,8.06800221870926,3080,-1,3080
18,8.10266447283593,3081,-1,3081
19,8.101653791582219,3082,-1,3082
20,8.132585705806411,3083,-1,3083
21,8.143280087022744,3084,-1,3084
22,8.149068418849524,3085,-1,3085
23,8.132288332200917,3086,-1,3086
24,8.14576514268453,3087,-1,3087
25,8.126782596069624,91,0,91
26,7.745919387648805,1436,0,1436
27,7.5833560087711716,91,1,91
28,7.53827150112678,92,2,92
29,7.487851319683724,93,3,93
30,7.467490290959286,94,4,94
31,7.422589149498888,94,5,94
32,7.390401749961433,95,6,95
33,7.41276825260955,96,7,96
34,7.704757026096736,97,1,97
35,7.776967513707033,98,2,98
36,7.842690808283369,99,0,99
37,7.847499467971757,100,1,100
38,7.805999483171385,101,2,101
39,7.815879318832262,102,0,102
40,7.756938659431781,102,1,102
41,8.024659967567565,103,2,103
42,8.190233300324893,104,3,104
43,8.265034627966115,3108,0,3108
44,8.098649115677967,3109,1,3109
45,7.968440171889378,3110,2,3110
46,7.7890314396757185,3111,0,3111
47,7.566821952971652,3112,1,3112
48,7.175274364485653,3113,2,3113
49,6.961101905059459,3114,0,3114
50,6.692058653514764,3115,0,3115
51,6.388424742954966,3116,0,3116
52,6.308474772870707,3117,0,3117
53,6.011614597691479,3118,0,3118
54,5.694288860274803,3119,0,3119
55,5.431402421342112,3120,1,3120
56,5.063187860454581,3121,0,3121
57,4.911027337276009,3122,1,3122
58,4.761900892894074,3123,0,3123
59,4.579902931872528,3124,0,3124
60,4.476413885662178,3125,1,3125
61,4.450653543365961,3126,2,3126
62,4.7597903997075,3127,0,3127
63,5.235977204842636,3128,0,3128
64,5.54225991551331,3136,1,3136
65,5.982388846109873,3137,2,3137
66,6.571159159040226,3138,3,3138
67,7.056565827216539,3139,4,3139
68,7.541901171125713,3140,5,3140
69,7.652871832639233,651,6,651
70,7.610909149708187,652,7,652
71,7.663194836523294,653,8,653
72,7.630078015239182,654,9,654
73,7.705292958670325,655,10,655
74,7.807451557058493,656,11,656
75,7.871967836723176,657,12,657
76,7.960629860850085,658,13,658
77,7.960322804255335,3438,14,3438
78,7.621481060933149,3439,15,3439
79,7.241147571206012,3440,17,3440
80,6.641837849004038,3441,17,3441
81,6.117200936318069,1428,18,1428
82,5.432603075796607,1429,19,1429
83,4.7593861021484125,2100,20,2100
84,4.211946991811874,1429,22,1429
85,3.8258686745372166,2101,22,2101
86,3.470133405093643,2102,23,2102
87,3.372626181119801,2103,24,2103
88,3.26702480763033,2104,26,2104
89,3.1001850966742435,1434,26,1434
90,3.094690648329705,1435,27,1435
91,3.098438430303791,1436,28,1436
92,3.004350163924237,1436,28,1436
93,2.9986789118606056,1437,29,1437
94,2.984366886591008,1439,31,1439
95,2.9188683489697254,1440,32,1440
96,2.948729242956696,1441,33,1441
97,2.9126720260291825,1442,33,1442
98,2.9347360622665515,1443,32,1443
99,2.8830388873537522,1443,33,1443
100,2.8692177392159293,1444,37,1444
101,2.865086624002085,1446,38,1446
102,2.8488938470417366,1446,40,1446
103,2.8328026780060327,1447,40,1447
104,2.853439392225699,1448,40,1448
105,2.834404898846872,1449,40,1449
106,2.8846480438447752,2122,40,2122
107,2.8457915516676806,2123,40,2123
108,2.8493554075385323,2124,42,2124
109,2.8559927326280174,2125,42,2125
110,2.8500658521230444,2126,43,2126
111,2.7804024946200037,2127,44,2127
112,2.772008585949595,2128,44,2128
113,2.773440894463546,2129,47,2129
114,2.7710963950893284,2130,47,2130
115,2.759932910848398,2131,49,2131
116,2.6668607463271155,2132,50,2132
117,2.681372363488446,2133,50,2133
118,2.6840261146861266,2134,52,2134
119,2.6376339448222286,2135,53,2135
120,2.6275003897263014,2136,53,2136
121,2.56524930320132,2137,55,2137
122,2.6367614657934593,2138,53,2138
123,2.6298219109783028,2139,57,2139
124,2.572628393002012,2140,58,2140
125,2.618871598715659,2141,59,2141
126,2.60916276515734,2142,60,2142
127,2.593513798821546,2143,61,2143
128,2.595696851247251,2144,62,2144
129,2.595846712667696,2145,63,2145
130,2.678824901155827,2146,64,2146
131,2.6720834292165305,2147,65,2147
132,2.6540865236699824,2148,66,2148
133,2.6210947394405415,2149,67,2149
134,2.618865329237248,2150,68,2150
135,2.6045537665579914,2151,69,2151
136,2.5909645985230445,2152,70,2152
137,2.5401274767438284,2153,74,2153
138,2.48050994280977,2154,75,2154
139,2.4701837604005084,2155,73,2155
140,2.5098973156927613,2156,77,2156
141,2.5358800965078108,2157,75,2157
142,2.5082242355215367,2158,76,2158
143,2.5265927138788298,2159,77,2159
144,2.5918600447755176,2160,78,2160
145,2.6259227281213158,2161,79,2161
146,2.655391193362359,2162,80,2162
147,2.757985515228212,2163,81,2163
148,2.8057806494149387,2164,82,2164
149,2.876713310878392,2165,83,2165
150,2.907366511642513,2166,84,2166
151,3.1284385415358806,2167,84,2167
152,3.441447364815831,2168,85,2168
153,3.6911629495463947,2169,86,2169
