nan,2.609793861591373343e+02,2.395809675245511414e+02,1.054079996964177326e+03,4.402935384490669435e+02,5.247780483213914948e+01,7.021224964349191566e+01,8.844795079593416176e+01,7.003884636400080410e+01,8.576712656956644310e+01,6.189798058095266953e+01,4.509722829620469753e+01,1.082182978982767168e+02,4.245656604107313825e+01,6.374574495603603452e+01,4.132795663954247800e+01,3.312038647117339707e+01,5.629920070480480376e+01,1.051338194873557939e+02,6.471986643304494180e+01,1.281512294127527866e+03,8.448147725981063161e+01,1.124619046610892781e+02,4.282616022946602641e+01,1.080967788604267298e+03,9.796233561935932812e+02,3.374729618799236164e+01,9.434171081764417295e+02,3.976128770550638336e+01,4.677264157603283223e+01,1.007380762174856841e+02,5.904032520235739412e+01,7.693009814110403966e+01,8.826686807630576936e+01,8.782801375415465372e+01,9.137176806869831580e+01,1.961758394910029892e+02,5.614410031339000540e+01,5.662081596021024552e+02,8.146655755584609437e+01,2.695913945214124965e+02,1.517339777373552181e+02,5.982908991452364944e+01,1.157860095175583552e+02,1.044114936201940225e+02,1.923149084184583216e+03,1.845514779133453658e+03,1.821170963967963189e+03,1.714789269852129792e+03,1.322384149935259984e+03,7.552115465219003454e+02,8.322595748923448866e+01,3.425352536601157567e+02,2.504961476749689950e+02,2.288055943372016543e+02,8.938098231726816323e+01,1.832122266662353240e+02,1.479870264584030224e+02,9.211297411331301532e+01,1.046518036156091682e+02,7.484918169225322515e+01,6.714759861677774211e+01,3.935276356242257378e+01,3.276095236710952463e+01,1.058156888178683488e+02,1.172757434425382854e+02,2.516187592370846815e+01,3.487577956118013134e+01,1.013208764273186091e+02,8.714401872762110202e+01,4.234689126724654216e+02,5.756943633561056117e+01,2.516187592370601678e+01,3.085449724108172731e+01,9.321029986004730006e+01,3.959191836726513003e+01,7.191216865037496575e+01,3.770411118167357500e+01,5.598571246309143845e+01,2.989279511855657461e+02,3.918162834798994254e+01,1.163477545980151149e+02,1.718808889900211057e+02,3.640219773585148744e+01
2.609793861591373343e+02,nan,5.009750492789122944e+01,7.803573540372385651e+02,1.820777855752869812e+02,3.089341677445215169e+02,3.154927574446044218e+02,3.435410892455225280e+02,3.294553080464785921e+02,3.430640756476839215e+02,3.165193201054239580e+02,3.021856383086398523e+02,3.711913792102400862e+02,2.969077971357439196e+02,3.231698005692984452e+02,2.997300118439927701e+02,2.759124498822043279e+02,1.932712084093229521e+02,1.708238859176324809e+02,2.818861137252264939e+02,1.018724378818922219e+03,2.769323383066700330e+02,3.790398395947316885e+02,2.690415581281076243e+02,8.116532264458758164e+02,7.313144330587217610e+02,2.744311935622477563e+02,6.948299360275145773e+02,3.015315572207991863e+02,3.126613503457049887e+02,3.650413675188061688e+02,3.254232935731554335e+02,3.445627954379290827e+02,3.536192302463201713e+02,3.534995332387302938e+02,3.567504449892099387e+02,9.285601757560075953e+01,2.177778684807059335e+02,3.850645660145837041e+02,3.457548264305219163e+02,2.338002566294589997e+02,1.382860802828657540e+02,3.217887505802527244e+02,3.788287211920442132e+02,3.681462752765536379e+02,1.649711392941202121e+03,1.576394417650608375e+03,1.542910963082445960e+03,1.448495053495178809e+03,1.054413581096146345e+03,4.859988477352595737e+02,3.486304633849429138e+02,9.959678709677359620e+01,7.862416931198654879e+01,1.651084492083911925e+02,3.482991817389183780e+02,1.770789654363269108e+02,4.131674720981795872e+02,3.567244314593548893e+02,3.703103563229089445e+02,3.346314988162352506e+02,3.321799512312567231e+02,2.978356593828216319e+02,2.911365315449082800e+02,3.722145617785527065e+02,3.829203572546128953e+02,2.600455344742533157e+02,2.940522402567270888e+02,1.974088143928755983e+02,1.890866468051091545e+02,2.211714267259683027e+02,3.052057666558739015e+02,2.466761439620786689e+02,2.447173062944268622e+02,3.568520141459198953e+02,3.006084496483751423e+02,3.343846886446809776e+02,2.965103708135683860e+02,3.201759516266014884e+02,1.445301352659712677e+02,2.411220437869586988e+02,3.809995275587622814e+02,1.230199983742483028e+02,2.305381530246131661e+02
2.395809675245511414e+02,5.009750492789122944e+01,nan,8.065477047267571606e+02,1.906737527820753826e+02,2.831720325173365609e+02,2.898576202206907624e+02,3.171480411416708876e+02,3.038523325564570996e+02,3.178079923475788746e+02,2.932270110341151508e+02,2.760970843743181717e+02,3.472232711095307423e+02,2.719597028973208239e+02,2.999405274383582878e+02,2.749420302536540248e+02,2.526667370272564881e+02,1.746182121085933261e+02,1.547720905072956725e+02,2.566175797216996557e+02,1.047499422434208782e+03,2.630041824762474789e+02,3.547000986749225717e+02,2.478660928808131985e+02,8.394631617885326023e+02,7.599947368238808849e+02,2.501193315199772087e+02,7.265232274332321367e+02,2.779228669973024921e+02,2.893830679220898787e+02,3.406412775927186658e+02,3.016535761432298273e+02,3.213464174376302935e+02,3.293926532271191263e+02,3.293836668688930445e+02,3.326581428433712517e+02,8.480566018843914833e+01,1.977719899277947775e+02,4.008125746530414517e+02,3.214019290545778063e+02,2.258785514385958209e+02,1.242693848057498514e+02,2.981575422490547567e+02,3.536922956469329620e+02,3.434796063815154525e+02,1.677771331260609941e+03,1.606245759527476594e+03,1.570530152528120425e+03,1.477426952508988734e+03,1.083996088553829622e+03,5.005906910840429305e+02,3.238972676636830101e+02,1.235889962739428398e+02,8.779886104044888384e+01,1.567943876546603974e+02,3.246100429746439886e+02,1.644004866172848551e+02,3.878989559150681430e+02,3.324199753324106723e+02,3.454305139966641605e+02,3.110989553180796747e+02,3.086388180381651409e+02,2.743883379445962305e+02,2.681390683954884366e+02,3.477932719303233853e+02,3.583437455851572508e+02,2.377847766363533424e+02,2.701312273692188342e+02,1.798572767502082570e+02,1.681508846244937843e+02,2.452107664846703017e+02,2.800479958864188461e+02,2.238084895619412009e+02,2.219715297059562147e+02,3.320551761379425670e+02,2.762668275417786958e+02,3.113410991179927123e+02,2.719897056875502699e+02,2.958302215798785255e+02,1.490374449593124666e+02,2.182098072956393651e+02,3.557659905049948179e+02,1.025389682023376565e+02,2.081572482523727956e+02
1.054079996964177326e+03,7.803573540372385651e+02,8.065477047267571606e+02,nan,6.016260632652144977e+02,1.097486145698431983e+03,1.104735552066648097e+03,1.134112093225356148e+03,1.118117990196024948e+03,1.134377362256494052e+03,1.109341931056426120e+03,1.090700032089483784e+03,1.162452442037952551e+03,1.087980735123558361e+03,1.114638452593485226e+03,1.090101499861363891e+03,1.062551946965418210e+03,9.859066081531254895e+02,9.577861139106156543e+02,1.060508814987724691e+03,4.373609950601426704e+02,1.054832991520459473e+03,1.167490847929866732e+03,1.056774110205203897e+03,2.553331940817722057e+02,3.444510995772840829e+02,1.064688874742288363e+03,3.722811840531290386e+02,1.091518868366460993e+03,1.103095136422965197e+03,1.155734433163605217e+03,1.116646192847134898e+03,1.134410155102641511e+03,1.144763591314817177e+03,1.140280386571653935e+03,1.142822260896242369e+03,8.656590552867784254e+02,1.009927363724740076e+03,5.788888667093191316e+02,1.134627833256350414e+03,8.758934181736924529e+02,9.130455410328670496e+02,1.113562283844061994e+03,1.171733826429879173e+03,1.159157004033534577e+03,9.439972881316977009e+02,8.804105406002362315e+02,8.181688823219802771e+02,7.618368329242165373e+02,4.148244930087895455e+02,3.552229722301187280e+02,1.134785618520079879e+03,6.933045506846187891e+02,8.159684307618772436e+02,8.644302632370064430e+02,1.144072934737991318e+03,9.156487536168004908e+02,1.203095806658804577e+03,1.143474214838270655e+03,1.160195087043553258e+03,1.126918914563066892e+03,1.123902700414941592e+03,1.091294497374562980e+03,1.084551225161815410e+03,1.161176369032713865e+03,1.173233821537719223e+03,1.049247806764445841e+03,1.084103980252818246e+03,9.773657657192611623e+02,9.758362977467079418e+02,6.420723946721285529e+02,1.096059779391618576e+03,1.036919360413334516e+03,1.035119857794254358e+03,1.148318840740673295e+03,1.091053509228580879e+03,1.124523863686315735e+03,1.088384637892321052e+03,1.109662507251641500e+03,7.403845487312656815e+02,1.034145212240524643e+03,1.168774263919256555e+03,8.895675353788491293e+02,1.021669535613155062e+03
4.402935384490669435e+02,1.820777855752869812e+02,1.906737527820753826e+02,6.016260632652144977e+02,nan,4.821375737276650852e+02,4.849818140920301062e+02,5.161181260138039306e+02,5.010836257552226698e+02,5.167812690103982050e+02,4.891015436491691162e+02,4.761068787572823453e+02,5.439605868075398121e+02,4.714827674475465642e+02,4.977726388623603384e+02,4.740960240288898717e+02,4.520226542995367822e+02,3.692870969855303542e+02,3.484236501731765543e+02,4.512010589034066470e+02,8.423732189475151699e+02,4.360071559045783260e+02,5.529315328320501521e+02,4.530017218510297994e+02,6.233221959789342463e+02,5.614851734462807826e+02,4.506853447805904693e+02,5.356687035845945957e+02,4.769368931001245642e+02,4.876228050450469027e+02,5.389057060377083417e+02,5.030045725438275781e+02,5.196115472158031707e+02,5.276245634918803944e+02,5.280312111987299204e+02,5.295113218808452302e+02,2.718452500964418732e+02,3.976048289445184309e+02,3.585100277537630404e+02,5.206031886187435020e+02,3.499026150230825465e+02,3.195151326619773613e+02,4.976654297818969326e+02,5.520184054902460957e+02,5.418340705418969492e+02,1.461293344951656309e+03,1.395162384814040252e+03,1.353653663238864510e+03,1.268549912301443783e+03,8.774597882524300303e+02,3.030112869184932833e+02,5.238648680719126105e+02,1.562505679989671989e+02,2.366276399747088135e+02,3.030395353745112743e+02,5.220265127366614024e+02,3.324808565917745113e+02,5.860887304837041256e+02,5.317555829514166135e+02,5.436256064609160603e+02,5.079489738152852851e+02,5.078221736001707995e+02,4.742773871902412566e+02,4.681194719299746794e+02,5.447077748664894443e+02,5.562498719101020015e+02,4.372958723793352647e+02,4.700037446659264901e+02,3.737027695910199441e+02,3.645431113050998988e+02,2.173664187495521674e+02,4.757187404338839656e+02,4.244757708044099900e+02,4.224414752365019012e+02,5.293748766233621836e+02,4.761616532229433005e+02,5.085540285947994334e+02,4.713612627274335978e+02,4.953830033418580001e+02,2.194155874134747535e+02,4.157310669170635151e+02,5.541387551868211858e+02,2.856658187463110607e+02,4.100872102370419725e+02
5.247780483213914948e+01,3.089341677445215169e+02,2.831720325173365609e+02,1.097486145698431983e+03,4.821375737276650852e+02,nan,3.581954773579325746e+01,4.156729483621506205e+01,2.825880393784542122e+01,4.659957081350736274e+01,3.117434842942584794e+01,2.484833998479267692e+01,6.397874647098583978e+01,2.149604614805654279e+01,3.571666277804457224e+01,1.839130229208712919e+01,5.061541267245561215e+01,9.670491197452204801e+01,1.497971962354388609e+02,6.608839198797571157e+01,1.329843539669235270e+03,1.077144372867361426e+02,6.948265970728250807e+01,7.683332610268485041e+01,1.128117866182430362e+03,1.025994775815159528e+03,4.490879646572805939e+01,9.901879417565132826e+02,2.892749557081737422e+01,2.619312886998522316e+01,5.762499457700781846e+01,3.779735440476433439e+01,4.337556916048684030e+01,4.775939698113295862e+01,5.134354876707003257e+01,5.168984426358570516e+01,2.436948912061993724e+02,9.983506398053471287e+01,6.112393966360453987e+02,4.586414721761416757e+01,2.956186732938255091e+02,1.993220509627645072e+02,3.472405506269929987e+01,7.318579097065683925e+01,6.088152429103059404e+01,1.971694296791467877e+03,1.894137355103899836e+03,1.869349277155021582e+03,1.763273410450007304e+03,1.370752960967073022e+03,7.970471504246160066e+02,4.864894654561309295e+01,3.929490552221754456e+02,2.976873527713258909e+02,2.620051907882735804e+02,5.403258276263105842e+01,2.152743366033213590e+02,1.035173415423733019e+02,5.303282002684426288e+01,6.163635290963966185e+01,3.367847977570735907e+01,3.623258202224208446e+01,2.850403480209690343e+01,3.823715470586545706e+01,6.276687024223540590e+01,7.348033750605189596e+01,5.649778756729541129e+01,2.481289987091334481e+01,1.406078233954455357e+02,1.253232620066901148e+02,4.665464607088983939e+02,2.708209740778092467e+01,6.229349885826681543e+01,6.553655468514885740e+01,4.873602363762213230e+01,2.534561105985708807e+01,3.338263021397122543e+01,1.999599959997170373e+01,2.149232421122651715e+01,3.447953595975445182e+02,6.645058314265352806e+01,7.093997462643967822e+01,2.109350610970102764e+02,8.024861369519268806e+01
7.021224964349191566e+01,3.154927574446044218e+02,2.898576202206907624e+02,1.104735552066648097e+03,4.849818140920301062e+02,3.581954773579325746e+01,nan,3.436277055181582796e+01,3.327942307193550420e+01,3.160759402418414510e+01,3.195747173984698719e+01,4.335343123672727472e+01,5.280757521417596223e+01,3.564491548592496883e+01,3.645709807432820071e+01,3.787136121134476241e+01,7.733149423100276465e+01,1.083763811907509620e+02,1.621086055704687681e+02,6.066834246769098371e+01,1.343654836630302270e+03,1.263993670870226254e+02,7.057705009421138698e+01,9.819327879239732226e+01,1.140552708120059151e+03,1.042617475395461724e+03,6.713091687146484787e+01,1.006318518164106990e+03,4.850402045196403833e+01,4.383605821697614147e+01,5.882312470449637942e+01,5.185518296176338993e+01,5.676195909234200343e+01,4.897019501693607424e+01,6.247559523527059611e+01,6.200387084690322581e+01,2.565525287343630225e+02,1.186874888099132477e+02,6.024343947684321847e+02,5.819140830050029223e+01,3.200234991371563069e+02,2.155447053397564900e+02,5.634465369494032672e+01,6.296665784369394459e+01,5.205535515199878915e+01,1.983401240294056151e+03,1.906498990296089460e+03,1.877737489640125887e+03,1.776202871295955902e+03,1.383593639765666467e+03,8.019721690931660305e+02,6.237050585011537862e+01,4.017015807785713264e+02,3.123431446342296454e+02,2.806994121832059363e+02,4.461927834468691856e+01,2.321154884965703786e+02,9.156069025514113946e+01,6.532625812030221368e+01,6.106783113883201963e+01,3.317107173429588585e+01,4.777279560589632723e+01,4.311473066132280962e+01,5.659399261404638537e+01,6.190185780728875642e+01,6.779262496765907997e+01,7.610413917785393778e+01,5.272570530587002224e+01,1.636552473952238813e+02,1.412640081549673710e+02,4.858829488673189303e+02,2.715879231475307165e+01,8.095924900836499205e+01,8.586314692581881047e+01,4.171714275935441663e+01,5.488460622070049766e+01,4.550692255027862387e+01,4.266520830834664224e+01,4.796165134766384597e+01,3.428277701703848948e+02,6.388239194021042522e+01,6.769224475520618967e+01,2.237709543260721148e+02,9.728062499796412510e+01
8.844795079593416176e+01,3.435410892455225280e+02,3.171480411416708876e+02,1.134112093225356148e+03,5.161181260138039306e+02,4.156729483621506205e+01,3.436277055181582796e+01,nan,3.183457240167587798e+01,2.458942862277374175e+01,3.767014733176413444e+01,5.271660080084050293e+01,2.523489647292477756e+01,4.784642097379230563e+01,3.974116253963264001e+01,4.771414884498815212e+01,8.855280910282813522e+01,1.333944526582772028e+02,1.879638263070928303e+02,8.237204892707637782e+01,1.368922495979960559e+03,1.394256791269172879e+02,4.279626151898360575e+01,1.069594315617006828e+02,1.166925944522614827e+03,1.066539075702337414e+03,8.113790729364849597e+01,1.030148338832812442e+03,5.743587728938468473e+01,4.879344218231604202e+01,3.612644460780092714e+01,4.725251316067516427e+01,4.057191146596370857e+01,3.459942196048242380e+01,4.441801436350433363e+01,4.107943524440914018e+01,2.823013992172186590e+02,1.393022612881562452e+02,6.303899745395739274e+02,4.484283666311164751e+01,3.290689897270862048e+02,2.384234887757277761e+02,5.227312885222958272e+01,3.930394382250825913e+01,3.149349139115280494e+01,2.009988855690502078e+03,1.932685137315438396e+03,1.906087469136711206e+03,1.801751592201320364e+03,1.409382786896452444e+03,8.318069006686541798e+02,4.591993031364501121e+01,4.283792712071919482e+02,3.363500557455174089e+02,2.966150367058306188e+02,3.123075407349554666e+01,2.515265393551940463e+02,6.556950510721621583e+01,4.392721252255795150e+01,3.640000000000629399e+01,2.702295320645655607e+01,4.213881820841579184e+01,5.247170666175338027e+01,6.626613011182642765e+01,3.671294049791961100e+01,3.855593339543953135e+01,9.537966240244026039e+01,6.063134502883237786e+01,1.805741952772005163e+02,1.640692536705211353e+02,5.078166598291205105e+02,3.931818917495370869e+01,1.003936252956344504e+02,1.057067642112021133e+02,2.193809472122846671e+01,5.897931840907970980e+01,3.572338169874265645e+01,5.126870390407885480e+01,4.333497432797325644e+01,3.704466493302372214e+02,9.151874125011148919e+01,4.031277713081433234e+01,2.499622371479193816e+02,1.189359491490877616e+02
7.003884636400080410e+01,3.294553080464785921e+02,3.038523325564570996e+02,1.118117990196024948e+03,5.010836257552226698e+02,2.825880393784542122e+01,3.327942307193550420e+01,3.183457240167587798e+01,nan,2.999466619255708366e+01,2.829840984932205217e+01,4.163075786001164147e+01,4.637930573003298917e+01,3.310830711462638476e+01,2.737590181164332392e+01,3.610429337350979040e+01,7.278901015950306430e+01,1.155570854599659754e+02,1.709863152418899119e+02,7.257966504315754719e+01,1.352204599903431699e+03,1.239141638393311098e+02,5.539819491638326809e+01,9.435422619046117632e+01,1.149987130362768767e+03,1.049573627717462614e+03,6.938357154257884929e+01,1.012740993541788612e+03,4.255819545046491470e+01,3.417133301463628925e+01,4.282989610073247633e+01,3.633840943131546197e+01,3.728377663275495024e+01,3.475399257638684958e+01,4.585891407350820259e+01,4.395452195168843446e+01,2.659714270368179427e+02,1.233622308488350257e+02,6.218116756703717556e+02,4.373922724510249793e+01,3.181091636529817492e+02,2.220306285177884718e+02,4.658926915073791264e+01,5.447201116169124901e+01,4.229231608697630662e+01,1.993794894165392861e+03,1.915818154209840031e+03,1.890123847794105586e+03,1.785618369081142646e+03,1.392712059257044530e+03,8.175391366778729889e+02,4.265583195770913250e+01,4.130107988903043292e+02,3.197946841334256192e+02,2.875888732201121911e+02,4.034848200385675199e+01,2.380084032130129970e+02,8.315671951199828982e+01,4.578733449320204585e+01,4.604172021110185398e+01,2.357625924527491890e+01,3.096062014884402203e+01,4.069791149434811928e+01,5.214441484956967088e+01,4.676066723221861565e+01,5.585552792699780156e+01,7.987490219086605236e+01,4.777112098330318446e+01,1.661132144050957038e+02,1.481285927834444465e+02,4.898427502780879763e+02,2.793707214449947074e+01,8.487826576926242694e+01,8.928336911205869342e+01,3.425551050563975508e+01,4.628952365275820569e+01,3.098903031719844137e+01,3.898922928204656557e+01,3.313004678542353076e+01,3.595757500166058662e+02,7.645756993259986700e+01,5.467577159956378097e+01,2.342357786504965986e+02,1.018979882038783416e+02
8.576712656956644310e+01,3.430640756476839215e+02,3.178079923475788746e+02,1.134377362256494052e+03,5.167812690103982050e+02,4.659957081350736274e+01,3.160759402418414510e+01,2.458942862277374175e+01,2.999466619255708366e+01,nan,3.630977829734889184e+01,5.078582479392987636e+01,3.075060975001133556e+01,4.560877108621931342e+01,2.977784411267392528e+01,4.746704119703765912e+01,9.114998628633276212e+01,1.318920770933634969e+02,1.854374288001214950e+02,7.675316135365086723e+01,1.368072454221633052e+03,1.426402467748843321e+02,4.257135186953510697e+01,1.026629436554238026e+02,1.167387990344255741e+03,1.066659308307951278e+03,8.529853457114244009e+01,1.030062367043858558e+03,5.424831794627025516e+01,4.686491224782084686e+01,3.613087322498667220e+01,3.690636801419999813e+01,3.813659659693946935e+01,2.881943788489190439e+01,4.140338150440659604e+01,4.502621458661281650e+01,2.815167490576739624e+02,1.401359340069489861e+02,6.252858546297051134e+02,4.307574723673265993e+01,3.369422502447521879e+02,2.377060369448041683e+02,5.166042973107597192e+01,3.349268576868530545e+01,2.468683859871908481e+01,2.009588296144260994e+03,1.932347794782294841e+03,1.905524767616519512e+03,1.802262799926804746e+03,1.408991696213998239e+03,8.321531589797648394e+02,4.307017529570720171e+01,4.274016378068787958e+02,3.358175695224954325e+02,3.038086239724086113e+02,2.486764966812431865e+01,2.586608590413241586e+02,6.241922780688029349e+01,4.265208084019776891e+01,3.242468195685853516e+01,2.445894519401841904e+01,3.657321424213218108e+01,5.062647528715594802e+01,6.571453416103516076e+01,3.798947222591672102e+01,3.685864891720903103e+01,9.721645951173792355e+01,6.235254605870277800e+01,1.820123072761927006e+02,1.653471499603181201e+02,5.085441180468048969e+02,3.882473438417364520e+01,9.988953899186350327e+01,1.063894731634786552e+02,1.969771560365873952e+01,6.159350615120943928e+01,3.677825444467276839e+01,5.326312044931511736e+01,4.615798955767194656e+01,3.677871123353914982e+02,9.236362920548330635e+01,4.404543109112354671e+01,2.518672666306721339e+02,1.190865231670014879e+02
