nan,2.101808744867161138e+01,3.591768366696265247e+01,4.756973827970875135e+01,5.891417486479792842e+01,2.418594633252966730e+01,2.656012048165451844e+01,1.980706944502398414e+01,1.500933043143515100e+01,1.721394783307994913e+01,3.731594833311886816e+01,3.772532306024695004e+01,3.929580130242923275e+01,4.084115571332434769e+01,4.424477370266456688e+01,2.229618801499510283e+01,2.732032210644688774e+01,4.954028663623162743e+01,3.944210947705538928e+01,2.537400244344605937e+01,2.395328787452783104e+01,2.672826219566101003e+01,2.587353860607432665e+01,2.695774471279106521e+01
2.101808744867161138e+01,nan,5.089440047785224408e+01,6.068278174243492629e+01,4.977871030872525893e+01,7.939773296512211864e+00,1.050714042925184266e+01,3.445576874777295728e+01,1.406840431605541220e+01,1.072567014223358228e+01,2.171082679217921196e+01,2.187235698318773913e+01,2.402665186829001698e+01,2.680298490840150194e+01,2.869425029513757508e+01,1.179152237838713013e+01,1.410815367083908711e+01,3.592881851661696402e+01,2.524757414089537377e+01,1.056787585089872117e+01,8.827230596285136954e+00,9.666436778875908686e+00,1.037689741685884925e+01,1.066583330077878955e+01
3.591768366696265247e+01,5.089440047785224408e+01,nan,1.164130576868491040e+01,6.845378002711031229e+01,5.571355310873660471e+01,5.992929166943321917e+01,1.777638883463083630e+01,4.015569698062788007e+01,4.724404724407084188e+01,7.208994382020284775e+01,7.238342351671415997e+01,7.425685153573371622e+01,7.630884614512261521e+01,7.909487973314081444e+01,5.481897481711961717e+01,6.126271296637124664e+01,8.572234247849274880e+01,7.474329401357694280e+01,5.742473334722600242e+01,5.544582941935315290e+01,5.747903965794841241e+01,5.754163709871321686e+01,5.887885868459068206e+01
4.756973827970875135e+01,6.068278174243492629e+01,1.164130576868491040e+01,nan,7.171164480054837043e+01,6.560121950085992637e+01,6.982721532468555381e+01,2.556560189003985428e+01,5.036189035371872080e+01,5.805101204974815943e+01,8.218710361121144103e+01,8.251157494557968164e+01,8.449852069711047875e+01,8.634998552402888095e+01,8.907345283528640323e+01,6.584345069936723860e+01,7.210769723129423880e+01,9.606081407108723624e+01,8.487355300681126380e+01,6.697939981815314070e+01,6.545105041173913207e+01,6.739970326344180762e+01,6.718809418341909634e+01,6.882325188480990619e+01
5.891417486479792842e+01,4.977871030872525893e+01,6.845378002711031229e+01,7.171164480054837043e+01,nan,5.078582479393237037e+01,5.250066666243387914e+01,5.883128419472080139e+01,5.303583694069509846e+01,5.438382112356577380e+01,5.821340051912457625e+01,5.781072564844690476e+01,6.044104565607725732e+01,6.134492644057859678e+01,6.121307049968983449e+01,5.813639135687738246e+01,5.870059624910129514e+01,6.841754161032089598e+01,6.149211331544876202e+01,5.256158292897963236e+01,5.102313200892333356e+01,4.990230455600241299e+01,5.085823433820742423e+01,4.987664784245250615e+01
2.418594633252966730e+01,7.939773296512211864e+00,5.571355310873660471e+01,6.560121950085992637e+01,5.078582479393237037e+01,nan,6.374950980203824003e+00,3.869470247979684530e+01,1.779887636903034931e+01,1.342832826527592616e+01,1.727888885316428969e+01,1.766352173265571324e+01,1.992786993133020701e+01,2.203633363334328976e+01,2.414290786131654798e+01,1.318787321746752994e+01,1.288720295486960055e+01,3.174901573277527689e+01,2.094946300027735120e+01,7.547184905644882313e+00,7.255342858887031454e+00,8.178019320105045509e+00,6.788225099391361539e+00,8.662563131083775403e+00
2.656012048165451844e+01,1.050714042925184266e+01,5.992929166943321917e+01,6.982721532468555381e+01,5.250066666243387914e+01,6.374950980203824003e+00,nan,4.241886372829917917e+01,2.059514505896985526e+01,1.396567220007732146e+01,1.274990196040661061e+01,1.289961239727784914e+01,1.561537703675464250e+01,1.787959731090153070e+01,1.992385504865986334e+01,1.267438361420382620e+01,9.895453501483817860e+00,2.700518468738941280e+01,1.630214709785260041e+01,8.541662601624663509e+00,8.681013765683927019e+00,7.868926229161197661e+00,7.188880302244156084e+00,7.589466384403812604e+00
1.980706944502398414e+01,3.445576874777295728e+01,1.777638883463083630e+01,2.556560189003985428e+01,5.883128419472080139e+01,3.869470247979684530e+01,4.241886372829917917e+01,nan,2.409647277092639328e+01,3.033941331008237086e+01,5.418191580223067660e+01,5.484086067887709248e+01,5.660247344418796445e+01,5.813776741499457046e+01,6.110057282873866313e+01,3.684996607868187368e+01,4.353021938837440530e+01,6.754198694145736681e+01,5.661801833338922307e+01,3.982963720648250217e+01,3.841874542459709829e+01,4.078627220033718714e+01,4.029689814365376321e+01,4.242074963976956070e+01
1.500933043143515100e+01,1.406840431605541220e+01,4.015569698062788007e+01,5.036189035371872080e+01,5.303583694069509846e+01,1.779887636903034931e+01,2.059514505896985526e+01,2.409647277092639328e+01,nan,1.121427661510081997e+01,3.163036515755078426e+01,3.215213834257382075e+01,3.328663395418664095e+01,3.554377582643669342e+01,3.874222502644892785e+01,1.685704600456442037e+01,2.161851058699458861e+01,4.514155513493091121e+01,3.452071841662627349e+01,1.716741098710029334e+01,1.698469899645006365e+01,2.008780724718354804e+01,1.949769217112606512e+01,2.079615349048967232e+01
1.721394783307994913e+01,1.072567014223358228e+01,4.724404724407084188e+01,5.805101204974815943e+01,5.438382112356577380e+01,1.342832826527592616e+01,1.396567220007732146e+01,3.033941331008237086e+01,1.121427661510081997e+01,nan,2.349468024894140683e+01,2.399999999999991118e+01,2.526024544615520639e+01,2.732910536406208735e+01,3.036577020264734728e+01,6.311893535224189833e+00,1.291200991325555947e+01,3.609321265833782633e+01,2.541180827882995175e+01,1.307822617941842047e+01,1.333266664999920970e+01,1.563073894606431935e+01,1.488623525274254256e+01,1.623329911016274707e+01
