,Date,severity_score,energy_score,temperature_score
6,2019-01-07,0,-0.674817423515592,-1.2562670603431674
7,2019-01-08,0,-0.8093786518947234,-1.1660738740360863
8,2019-01-09,0,-0.8938092265639814,-1.381054893452965
9,2019-01-10,0,-0.4399948877167176,-1.5039894419126167
10,2019-01-11,0,-0.7341826713299144,-1.439124479157524
13,2019-01-14,0,-0.3595219962350803,-1.1648383509359894
14,2019-01-15,0,-0.22759922331436394,-1.2463828755423914
15,2019-01-16,0,-1.0257319994846978,-1.0153400558242518
16,2019-01-17,0,-0.8199324737283801,-0.9974249708728453
17,2019-01-18,0,-1.3093659612642379,-1.2723288606444285
20,2019-01-21,0,-1.348942793140453,-1.4910164493615983
21,2019-01-22,0,-1.3924773082042887,-1.4774256952605311
22,2019-01-23,0,-1.4386502787265394,-1.6114799516210558
23,2019-01-24,0,-0.8621477610630098,-2.005611820552
24,2019-01-25,0,-1.1352279010088917,-2.0778899219076745
27,2019-01-28,0,-1.0679472868193276,-1.7325612154305623
28,2019-01-29,0,-1.1088433464247485,-1.4502441870583969
29,2019-01-30,0,-0.874020810625874,-1.9716349352993323
30,2019-01-31,0,-0.9663667516703754,-1.3266918770486966
31,2019-02-01,0,-1.1840393269895575,-1.4755724106103858
34,2019-02-04,0,-0.983516712150068,-1.4434488100078635
35,2019-02-05,0,-0.7341826713299144,-1.6627541602750817
36,2019-02-06,0,-0.7605672259140577,-1.335958300299424
37,2019-02-07,0,-0.6840520176200428,-1.3322517309991333
38,2019-02-08,0,-0.6880097008076637,-1.1617495431857467
41,2019-02-11,0,-0.7091173444749787,-1.1778113434870077
42,2019-02-12,0,-0.5310216010320116,-1.256884821893216
43,2019-02-13,0,-0.5732368883666413,-1.0357261869758525
44,2019-02-14,0,-0.43603720452909517,-0.8331003985599439
45,2019-02-15,0,-0.51782932373994,-0.34197996627138505
48,2019-02-18,0,-0.5851099379295055,-0.9504750930691591
49,2019-02-19,0,-1.253958396637538,-1.1166529500322062
50,2019-02-20,0,-1.288258317596923,-1.0690853106784715
51,2019-02-21,0,-0.7737595032061293,-0.9931006400225058
52,2019-02-22,0,-0.35028740213062953,-0.6502429797455873
55,2019-02-25,0,-0.6563482353066921,-0.7521736355035901
56,2019-02-26,0,-0.43867565998751007,-0.7070770423500494
57,2019-02-27,0,-0.4083334222157459,-0.3463042971217245
58,2019-02-28,0,-0.21044926283466991,-0.7571157279039782
59,2019-03-01,0,-1.1193971682584067,-0.6638337338466543
62,2019-03-04,0,-0.5547677001577399,-0.9066140230157156
63,2019-03-05,0,-0.49012554142658915,-0.9362665774180436
64,2019-03-06,0,-0.8304862955620382,-0.7768840975055302
65,2019-03-07,0,-0.9703244348579964,-0.6786600110478185
66,2019-03-08,0,-1.232850752970223,-0.8040656057076643
69,2019-03-11,0,-0.5653215219913981,-1.1209772808825456
70,2019-03-12,0,-0.5917060765755413,-0.7781196206056272
71,2019-03-13,0,-0.4558256204672026,-1.2037573285890448
72,2019-03-14,0,-0.2869644711286863,-0.871401614662951
73,2019-03-15,0,-0.35160662985983704,-0.49333154603326795
76,2019-03-18,0,-0.35424508531825194,-0.886227891864115
77,2019-03-19,0,-0.2078108073762565,-0.8522510066114474
78,2019-03-20,0,-0.7381403545175353,-0.8225984522091193
79,2019-03-21,0,-0.3014759761499654,-0.717578988700874
80,2019-03-22,0,0.2354497096373507,-0.49703811533355885
83,2019-03-25,0,0.5652566419391416,-0.8578108605618838
84,2019-03-26,0,0.09693079807059855,-0.9554171854695471
85,2019-03-27,0,-0.045545796683776,-0.5779648783899126
86,2019-03-28,0,0.03492709479786127,-0.5112466309846745
87,2019-03-29,0,0.19323442230272087,-0.34321548937148194
90,2019-04-01,0,0.07978083759090453,0.010761878806309452
91,2019-04-02,0,0.9979633371190906,-0.28514590366692283
92,2019-04-03,0,-0.3133490257128296,-0.6644514953967029
93,2019-04-04,0,-0.5983022152215771,-1.1555719276852616
94,2019-04-05,0,-0.9782398012332396,-0.46923884558137635
97,2019-04-08,0,0.12859226357157016,-0.6928685266989341
98,2019-04-09,0,0.0032656292968896473,-0.5112466309846745
99,2019-04-10,0,-0.45186793727958174,-0.4364974834288058
100,2019-04-11,0,-0.6972442949121144,-0.34259772782143344
101,2019-04-12,0,-1.1906354656355933,-0.37286804377381016
104,2019-04-15,0,-0.9901128507961038,-0.4278488217281267
105,2019-04-16,0,-1.2288930697826006,-0.31294517341910544
127,2019-05-08,0,-0.6510713243898637,-0.35742400502259764
132,2019-05-13,0,-0.9122784147728814,0.032383533058006876
139,2019-05-20,0,-0.7209903940378428,0.039178910108540584
141,2019-05-22,0,-0.8911707711055665,0.3777122395351195
142,2019-05-23,0,-1.0059435835465904,0.5204151575963234
143,2019-05-24,0,-0.6286444529933414,0.35794386993356747
146,2019-05-27,0,-1.0785011086529843,0.35300177753317935
147,2019-05-28,0,-0.8938092265639814,0.08736431101232356
149,2019-05-30,0,-0.9821974844208621,0.5290638192970024
153,2019-06-03,3,0.4742299286238476,1.5248954379751871
