record,freq,auto8,demean8,zscore8,auto16,demean16,zscore16,auto32,demean32,zscore32,auto64,demean64,zscore64,mp
100 ,N,1.0,1.0,0.0017605633802817433,1.0,1.0,0.9991197183098591,1.0,1.0,0.9995598591549296,1.0,1.0,0.9995598591549296,0.9049295774647887
105 ,N,0.8822021566719026,0.90005878328242,0.6546048510662902,0.8792726291545807,0.8964932399225216,0.8713031579150244,0.8747916084455194,0.9098206628056008,0.8817492362991588,0.8733846643089109,0.9041157934297637,0.9158146302917,0.8561736901446454
106 ,N,0.7832410290439487,0.7944579143484253,0.43786177326323306,0.7819445153386758,0.8092465928232352,0.6509736613751212,0.7821104078403349,0.8413991118370681,0.7266270226124242,0.7830815170231228,0.8734457148690726,0.7103721096421826,0.6242317901077024
107 ,/,0.24821781047617494,0.3120014355393876,0.501990179605553,0.2469943394071875,0.33050031810247793,0.8205086377057471,0.24655388982235196,0.36955351462455754,0.8467480138986314,0.2496370369162004,0.3942594737443108,0.8403043996019641,0.473573024909871
108 ,N,0.6809177279159087,0.8090425173505829,0.4020618556701031,0.6802439188733913,0.7976551445320397,0.7255575769826831,0.6787615389798531,0.7992722862340813,0.7125530624620984,0.6802102284212654,0.7656492150124655,0.7247826965837881,0.6917323630483121
109 ,L,0.5346515848562867,0.6236863208542607,0.4225509644198709,0.6110032499050353,0.6689423036339848,0.9743278605495295,0.6710631832186722,0.6841366648377157,0.9507766006837463,0.6659245346726882,0.7584096568606761,0.9555987000379859,0.9940172202760309
111 ,L,0.2265661799340556,0.9985869053226566,0.9825718323127649,0.23268959020254354,0.9985869053226566,0.9726801695713613,0.23692887423457376,0.9985869053226566,0.9717381064531324,0.2661328308996703,0.9985869053226566,0.9712670748940179,0.8586905322656618
114 ,N,0.9313092161929372,0.9990753407306076,0.7722804884227592,0.9489157420073973,0.999202006383949,0.9604169833308001,0.9527410447383087,0.9994173379946294,0.9674089273952475,0.95953032375741,0.9994173379946294,0.9666362669098647,0.8666084004661296
116 ,N,0.9723456042577092,0.9852286805801767,0.048695957008608626,0.969469419624184,0.9845514625916735,0.2940321160671959,0.9677883255586053,0.984157082704251,0.5214060638895417,0.9682822963266899,0.9838264409804524,0.6213514880869387,0.795113673031188
118 ,R,0.5139257294429708,0.5090075154730327,0.09200928381962864,0.5251989389920424,0.5148651635720601,0.009090406719717059,0.5391246684350133,0.5010223253757737,0.7196341732979664,0.5390141467727675,0.5076536251105217,0.6933300176834659,0.46123452696728556
119 ,N,0.9999970806840541,1.0,0.0009516969983593729,0.9999722664985141,1.0,0.9539915806928121,0.9998788483882457,1.0,0.9769374040274883,0.9999357750491905,1.0,0.9728518213612186,0.9246568344105609
121 ,N,0.8909774436090225,0.9828141783029001,0.4425349087003222,0.9001074113856069,0.9860365198711063,0.9989258861439313,0.9070891514500536,0.9887218045112782,0.9989258861439313,0.9156820622986036,0.99140708915145,0.9989258861439313,0.99140708915145
123 ,N,0.8358635863586359,0.941034103410341,0.0,0.7513751375137514,0.8712871287128713,0.0,0.6503850385038503,0.6864686468646863,0.00022002200220020787,0.5775577557755776,0.6398239823982398,0.0028602860286028875,0.28338833883388337
124 ,R,0.7961940338909642,0.8104055005143198,0.8113935358128959,0.8136809052027502,0.8173082128742353,0.9500162416761411,0.8739510584158953,0.8701342645227654,0.9446023496291484,0.9323940230631801,0.987602187212387,0.9498538249147311,0.46011315034378214
200 ,N,0.8791522013436551,0.9767813661630802,0.3025120212802237,0.8842089827098182,0.976674282986052,0.9144057565733383,0.8835664836476486,0.9758564949016132,0.904906728506633,0.8925103161340928,0.9749616342120521,0.9107922108924734,0.7507049074105652
201 ,N,0.9044295647695081,0.8825621655649984,0.4812888087675623,0.8945689186482387,0.8726757661601854,0.8171345179843764,0.9022348127163992,0.8449480642115204,0.7783500729676367,0.9041376942226801,0.9251523735942999,0.765610782041377,0.8262168426474376
202 ,N,0.55020759267086,0.28851652039877684,0.29368769112199483,0.5831738060313751,0.3276980831862367,0.6868706958705219,0.5991845461551848,0.5249981353951719,0.662531387514606,0.6198692290480571,0.7361708475250478,0.6739179076647689,0.7263754568281829
203 ,N,0.7177624193594226,0.8670789282973825,0.29943054252991164,0.725819372211328,0.8761652030579474,0.620149131781624,0.7297261772813823,0.8891831500269987,0.6386298561968908,0.7383044519282689,0.9029915167533464,0.6383039190610169,0.5969543084093557
205 ,N,0.9797150407279266,0.9845642520500177,0.049576375078322944,0.9792846051161903,0.9849946876617539,0.6908872967009018,0.9816601738088103,0.985070967390416,0.9697278448252378,0.9817364535374724,0.9849892391097067,0.9756776636608822,0.9588470863867927
207 ,L,0.5667236467236467,0.6084113417446751,0.08651200651200652,0.5662515262515262,0.6058553791887126,0.07947361280694615,0.5601899335232668,0.5919522452855787,0.07820919820919822,0.561058201058201,0.5852231718898385,0.07600054266720933,0.09448921448921449
208 ,N,0.7773045289468062,0.9209811964899018,0.07086441917407524,0.7684152794439059,0.9198945614842325,0.16511614053538853,0.7633585238196967,0.9258007000476556,0.14428160895929534,0.7546895798070761,0.9296999531658258,0.13976765730530952,0.4862429748738764
209 ,N,0.9996671105193076,1.0,0.0016644474034620549,0.9990013315579228,1.0,0.0003328894806924332,0.9990013315579228,1.0,0.0,0.998335552596538,1.0,0.0,0.010652463382157085
210 ,N,0.6241835689579905,0.7346095402800631,0.16821627657073776,0.6586373786896808,0.709337956277914,0.8574729675274522,0.6724810268981496,0.7738737868968065,0.8374084925618726,0.6773061553443702,0.8403195204674436,0.81704388998959,0.7213871352295242
