nan,5.187523493924401663e+01,7.987790683288439197e+01,8.461961947443757026e+01,5.813501526619314319e+01,4.955158927820495052e+01,5.923107292628183274e+01,5.898745629365949128e+01,7.171722247828955688e+01,6.378087487639749043e+01,2.561112970716685027e+02,1.090108251505371015e+02,9.915240793849207535e+01,9.621309682161033550e+01,8.128468490435750482e+01,4.968863049027472556e+01,8.449757392965540248e+01,7.858854878416256895e+01,7.370861550729112821e+01,8.837375175922736048e+01,2.786539072037525244e+01,8.131223770134492668e+01,5.840273966176521014e+01,5.538808536140182781e+01,7.259862257648386219e+01,2.910395162166843619e+01,7.518616894083757529e+01,6.686344292662241173e+01,7.170495101456032216e+01,2.479032069176609454e+01,5.373416045682187558e+01,5.655581314063911691e+01,7.700701266766968445e+01,5.678873127655073461e+01,4.478392568764394355e+01,5.547323679038220945e+01,5.889244433711382953e+01,5.964964375417108045e+01,4.415065118431786573e+01,3.685647839935455750e+01,4.492660681599058847e+01,5.884624032168898111e+01,5.004477994756237536e+01,7.215982261621077498e+01,8.446916597198574550e+01,4.475712233826518371e+01,5.343856285493222202e+01,5.357014093688724188e+01,3.203248351287886209e+01,4.909908349451402643e+01,5.047137802755445080e+01,5.303432850522405317e+01,6.660450435218955079e+01,5.270445901439713765e+01,5.013421985030190342e+01,4.211033127394248510e+01,6.201032172145255572e+01,5.589561700170299474e+01,4.494796992077475295e+01,5.595855609289272792e+01,7.913229429253594560e+01,5.318796856435259457e+01,4.210273150284078980e+01,6.507103810451191350e+01,5.489043632546799500e+01,1.512576609630091298e+02,3.666933323634292918e+01,5.017250242912292890e+01,7.807381123014438629e+01,7.627529088768510235e+01,7.811581145965334372e+01,8.346112867677754821e+01,7.881421191638591495e+01,6.762721345729568156e+01,8.206046551173773196e+01,6.426320875899141072e+01,7.370753014447095097e+01,8.453165087706510405e+01,7.334302966199864215e+01,7.772258359062533373e+01,6.995998856487659623e+01,5.573652303472604785e+01,7.384957684374265341e+01,6.741394514489255130e+01,8.591530713441545686e+01,7.135152416029730205e+01,7.470796476952294540e+01,6.300476172484449222e+01,5.494579146757574506e+01,7.500399989335288353e+01,3.728377663279806598e+01,6.178543517690258824e+01,5.586412086485560025e+01,4.834211414490645353e+01,3.432254069849700500e+02,1.482408850486194467e+02,3.993394546001818668e+01,8.459692665806760203e+01,6.536788202163799610e+01,7.400864814331094976e+01,8.488109330115780438e+01,8.325671144118656741e+01,5.651477682871248476e+01,5.974211245007627014e+01,7.330156887817611278e+01,4.722372285196406949e+01,7.150720243443150537e+01,6.429183462932461168e+01,7.389722592898635867e+01,7.303697693633324661e+01,6.706295549706173631e+01,7.214319094687728295e+01,7.182088832643817966e+01,5.013741118168923094e+01,4.965964156131043694e+01,5.312927629850206301e+01,7.145236175243361743e+01,9.201825905765097957e+01,8.960446417447916190e+01,4.486423965698668326e+01,5.471964912173713458e+01,5.329765473267625708e+01,6.962758074210772463e+01,5.155036372324140359e+01,4.074506105037017534e+01,6.111890051366431464e+01,5.398666502013173130e+01,6.299460294344875422e+01,5.891145898719005913e+01,6.255365696742612158e+01,6.495660089627946832e+01,5.273935911631662776e+01,7.075365714930524064e+01,6.568531038214605644e+01,7.358043218139853536e+01,5.721398430451606743e+01,4.343086460109431357e+01,8.132896163115798061e+01,4.643446995498698016e+01,3.524542523508502967e+01,4.845781670690902843e+01,6.217652290052261321e+01,5.078897518162628444e+01,5.756943633561961349e+01,4.984134829633651265e+01,4.975781345678493750e+01,6.296538731715511261e+01,5.475180362323830963e+01,4.910885867132223837e+01,6.047280380471357830e+01,1.168102735207807683e+02,8.992174375532988506e+01,7.569095058194588432e+01,3.409164120428213351e+01,5.089125661645454102e+01,6.315948068180298947e+01,4.113587242299740154e+01,6.946653870749169357e+01,3.652067907364064325e+01,5.539241825377091288e+01,5.685208879188226661e+01,5.394812322964035189e+01,6.370306115093988097e+01,5.761527575221534647e+01,4.678461285506336509e+01,4.176505716508071231e+01,4.347689041317099878e+01,5.368649737125772248e+01,2.231412108959676388e+01,6.063926120922538132e+01,5.781210945812702562e+01,4.917560370754667787e+01,5.615977207929710602e+01,7.046020153249033058e+01,7.038636231542815835e+01,6.586896082376519246e+01,6.442980676676209839e+01,5.490500887898931381e+01,3.867402228885395488e+01,5.366115913765001011e+01,3.716557546982403437e+01,4.218625368529234976e+01,3.976128770550561597e+01
5.187523493924401663e+01,nan,3.724513391037385190e+01,4.039405896912372640e+01,2.204722204720181722e+01,2.160370338614407260e+01,2.373183515861967763e+01,2.411306699704370260e+01,2.518094517678786914e+01,2.195996357010811550e+01,2.335647927947302378e+02,6.708800190795041374e+01,5.657137085134984034e+01,5.223179108551724426e+01,3.656883919410874029e+01,6.039337712037873018e+01,4.026114752460006230e+01,3.513175202003967001e+01,2.852367437763735225e+01,4.682392550824494748e+01,6.975155912234238542e+01,3.825807104390751334e+01,2.594455626909132206e+01,1.193984924526491831e+01,2.768970927983750485e+01,4.051468869434770426e+01,2.933939331341410295e+01,2.413627974647697982e+01,2.794852411128121261e+01,3.056272239186846562e+01,6.404998048395283661e+01,2.983688991832692494e+01,4.520353968441640546e+01,4.331650955468003872e+01,3.124611975908580774e+01,4.192946458038222346e+01,2.903239569860080849e+01,3.160000000000043840e+01,3.700810721986636764e+01,4.229231608696420608e+01,2.293643389891791529e+01,3.349507426471251392e+01,2.684175851161589321e+01,4.147095369051249492e+01,4.298464842244693074e+01,5.296036253650995462e+01,3.583294573436850783e+01,3.297028965598966721e+01,2.907094769701555137e+01,2.563747257445398375e+01,3.642856022407988803e+01,3.686732971073907095e+01,2.589517329542319146e+01,2.559999999994845865e+01,2.411638447200369484e+01,5.678591374629061050e+01,4.991352522110746293e+01,2.045873896411900006e+01,2.955401833928055311e+01,2.581472448042844547e+01,9.921532139747021972e+01,5.513619500838802878e+01,2.566554110087309581e+01,3.078960863668643100e+01,3.025756103850492806e+01,1.809769046038789213e+02,4.657553005603419649e+01,2.952693685430288539e+01,6.692682571285310189e+01,2.957566567298924909e+01,3.318071729176131868e+01,5.613982543613863641e+01,5.172697555433389027e+01,3.269740050830403533e+01,5.294525474486015071e+01,4.256759330760117166e+01,3.649438312948521457e+01,5.557985246470244078e+01,5.040952290988250439e+01,4.863578929143435658e+01,4.607819440907033481e+01,3.319036004627832170e+01,3.550098590176391866e+01,2.739050930530890682e+01,4.059359555393709940e+01,3.868022750710999702e+01,3.127171245706648861e+01,2.739927006330955805e+01,3.168343415730290502e+01,3.185969240275687397e+01,4.593212383502513063e+01,6.915721220526779689e+01,6.378589185703638975e+01,3.565613551685932237e+01,4.043817997882670170e+02,1.848103893183541686e+02,4.041781785303327013e+01,1.323002645500098708e+02,1.049914282215003567e+02,1.231857134573436525e+02,1.173173473958528632e+02,1.296296262433854736e+02,1.696584804833366178e+01,2.568735097278739943e+01,4.817302149545908208e+01,2.580232547664195408e+01,3.362142174267926720e+01,2.404994802487344074e+01,3.872157021615243622e+01,3.953530068176344514e+01,3.029719458962420831e+01,3.489412558017787092e+01,8.660531161539169887e+01,4.775102093148081650e+01,2.895790047635791353e+01,4.255443572649686246e+01,3.319277029719862071e+01,1.050561754491522635e+02,1.061907717271216285e+02,6.049661147535016426e+01,4.885406840784563798e+01,5.504325571768957559e+01,7.840816284036955608e+01,5.076219065405560826e+01,5.844518799696052724e+01,6.492580380711122245e+01,4.070970400285195012e+01,7.080790916271378421e+01,5.709921190351742126e+01,4.889498951827811624e+01,2.734373785711103011e+01,5.322856376046109261e+01,4.833714927464085065e+01,4.379954337659141572e+01,3.679782602274352143e+01,2.096091601055109876e+01,2.275434024533823774e+01,4.316294707264825803e+01,2.212329089449792718e+01,3.095028271277654852e+01,2.738174574417066864e+01,4.810488540679488523e+01,2.446548589338069135e+01,3.405172536008981865e+01,3.235057959302615416e+01,3.871330520630743877e+01,2.066881709242720078e+01,4.689733467910468079e+01,2.607067317892843406e+01,6.077236213940818743e+01,1.397540697081976191e+02,1.022021526192172161e+02,8.625265213312927415e+01,3.179182284795798097e+01,5.647512726858224141e+01,6.409118504132861460e+01,4.631544019001749035e+01,3.136622387217757790e+01,2.537084941414046924e+01,5.092739930528450998e+01,4.889826172778848701e+01,6.736764802187363443e+01,5.706137047074825119e+01,2.990117054558570686e+01,2.771569952218097299e+01,2.322756982552442651e+01,1.782582396414174752e+01,1.695641471538973022e+01,4.364768035068613727e+01,2.816806702635859239e+01,2.206173157303571486e+01,2.469331893444965687e+01,2.385288242540140047e+01,6.272224485782825099e+01,3.160759402420805486e+01,2.717057231638788295e+01,2.494153162896560971e+01,2.104471430080008076e+01,2.569980544670119471e+01,3.164048040085661384e+01,3.374018375767823841e+01,1.799555500681115561e+01,1.878722970521569025e+01
7.987790683288439197e+01,3.724513391037385190e+01,nan,1.541946821397385214e+01,2.706436771852001399e+01,3.834788129738558382e+01,2.822764602305883486e+01,4.163844377491877680e+01,2.156293115508333713e+01,1.972612480959406511e+01,1.977304707523170748e+02,3.535873300894336779e+01,2.510458125515787486e+01,2.232487401978978525e+01,1.681903683322461873e+01,7.311361022408847532e+01,1.815929514062439054e+01,1.394847661939552097e+01,2.152579847530039459e+01,1.953458471532798768e+01,9.173788748384232861e+01,1.683805214380861415e+01,2.348105619428502067e+01,3.270473971766364230e+01,1.585938208129575244e+01,6.899391277495907104e+01,2.108269432491663053e+01,2.991989304788764414e+01,2.918081561571043991e+01,3.649438312948525009e+01,9.113594241572293697e+01,2.368459414882920555e+01,1.749514218292669554e+01,2.106371287307889162e+01,2.041568024827221350e+01,4.603998262385582052e+01,2.101808744872455392e+01,4.681709089637686816e+01,6.345518103353921902e+01,6.363269599820122124e+01,4.697744139478218983e+01,1.899473611291900710e+01,3.380414175804115473e+01,2.134666250250653974e+01,1.619876538497184981e+01,8.243397357884704491e+01,2.199999999996584066e+01,1.956323081706436540e+01,4.357614026045531119e+01,3.360476156736211095e+01,6.151422599691530024e+01,5.973675585431955426e+01,2.374194600282487499e+01,2.505673562139625332e+01,3.258220373144964555e+01,8.715870581873404888e+01,8.335946257025126727e+01,2.949169374583600245e+01,4.625667519397800476e+01,4.213691967858200371e+01,1.320193925148948040e+02,8.194632389560449326e+01,3.645270909000337411e+01,1.674753713240756170e+01,2.284907000304664493e+01,2.137639819988373233e+02,7.532330316709115436e+01,2.660225554347832144e+01,9.884776173490379847e+01,1.903260360543420049e+01,1.859462287880018749e+01,2.395328787460513453e+01,2.948898099289967689e+01,2.573713270748770654e+01,2.764344406900212903e+01,1.812401721475210792e+01,2.083842604425884204e+01,2.685963514272631514e+01,3.571218279524944705e+01,2.266274475877586525e+01,1.663730747442165026e+01,3.340898082854605633e+01,2.187601426228203394e+01,1.754992877495735826e+01,1.845643519210030448e+01,3.145536520212958109e+01,1.833466661825738697e+01,2.652696741043694928e+01,1.959591794225350725e+01,1.841303885828341080e+01,7.362282254847218610e+01,9.833656491862980431e+01,9.361281963494489844e+01,6.160779171503286022e+01,4.440457634073260920e+02,2.208199266370632188e+02,6.259968051046514859e+01,1.693866582703561221e+02,1.445766232833049116e+02,1.544445531574307893e+02,1.326885074149329284e+02,1.655468513744704069e+02,3.522499112845505209e+01,3.194495265294607123e+01,4.218435729034765558e+01,3.244441400305156264e+01,1.992385504865114143e+01,2.471598672921626516e+01,2.868309606722424476e+01,3.029983498309332290e+01,2.490301186603899097e+01,2.022275945571834299e+01,1.198191971263201054e+02,7.553754033590908534e+01,4.969507017803976368e+01,6.809287774797766701e+01,2.548725171530603362e+01,1.389854668661330663e+02,1.399194053732466330e+02,9.097955814358422799e+01,8.342277866386112350e+01,8.465931726631410470e+01,1.113617528597814328e+02,8.415604553448203262e+01,8.959732138852267269e+01,1.008737825205346894e+02,7.486841790768315263e+01,1.021160124564203073e+02,8.586407863591881551e+01,5.885167797097671638e+01,3.356426671325400690e+01,8.137518049131982423e+01,1.950179478926083121e+01,1.541946821391083056e+01,2.554368806567182659e+01,2.581472448040517165e+01,2.916161861084290408e+01,1.984338680762472151e+01,4.334420376477226711e+01,5.372671588700956846e+01,4.662531501232214737e+01,7.224846019121768848e+01,5.082676460293177456e+01,6.008926692844113404e+01,4.549989010974064030e+01,6.603271916254377061e+01,3.223414338859829087e+01,7.419541764827664565e+01,4.725251316066950125e+01,8.944540234130552392e+01,1.722941670515892838e+02,1.338536514257413899e+02,1.184270239430243805e+02,5.851632250915464795e+01,8.587991616203973422e+01,9.217461689642449585e+01,6.864051281860992049e+01,4.121358999162756476e+01,3.090889839508015058e+01,7.554389452495031776e+01,7.485238807143707618e+01,9.782024330373918986e+01,8.256585250573670010e+01,4.950959502964879988e+01,2.525391058817761802e+01,3.660819580359536474e+01,3.514996443811359228e+01,3.203498088032917224e+01,7.327646279671405694e+01,3.242961609404729728e+01,3.026813505984197405e+01,3.972505506601688552e+01,3.792413479566293688e+01,5.263002945084368633e+01,2.700518468737724831e+01,2.694290259045981983e+01,2.856011204460931552e+01,2.964321170177387543e+01,2.658420583734569931e+01,3.292415526626129463e+01,6.231789470127352359e+01,4.186454347071160242e+01,3.981959316723740727e+01
8.461961947443757026e+01,4.039405896912372640e+01,1.541946821397385214e+01,nan,3.127427057506839247e+01,4.276260048225193344e+01,3.210482829728860565e+01,4.458878782836652732e+01,2.139532659242506085e+01,2.519047439010221012e+01,1.911363765235384164e+02,3.035259461736491460e+01,1.855154980042781787e+01,1.799110891515102040e+01,1.342236938832687088e+01,7.522765448956185708e+01,1.495058527276360394e+01,1.312707126524241907e+01,2.210158365370734401e+01,1.640975319738990734e+01,1.038953319451742345e+02,1.298614646476010570e+01,2.892749557074900935e+01,3.643953896525423630e+01,1.905780679931809729e+01,6.972746947939096174e+01,2.483223711224322372e+01,3.285848444469580443e+01,3.377573093214122935e+01,4.128341071179499266e+01,9.654429035422268157e+01,2.795997138771790347e+01,1.659397481014495312e+01,1.673798076235046395e+01,2.247131504829425097e+01,4.732525752700271227e+01,2.442949037546668478e+01,5.274390960098592274e+01,6.705937667470210783e+01,6.627578743401824113e+01,4.796832288084376472e+01,2.441311123143350770e+01,3.743367467942235294e+01,1.860752535932020280e+01,1.361175962158882768e+01,8.654524828091174982e+01,1.715342531385655889e+01,2.176235281398430743e+01,4.769905659441531043e+01,3.666933323635507946e+01,6.399874998778265933e+01,6.054552006549102572e+01,2.348446294890714370e+01,2.826729559050692586e+01,3.555052742222789419e+01,9.104811914589436128e+01,8.798545334313313049e+01,3.402587250903471272e+01,4.909908349448256359e+01,4.643274706498839777e+01,1.363454436349033756e+02,8.713759234682747490e+01,3.917958652159638433e+01,1.862041889977512810e+01,2.474510052518196801e+01,2.188990634973075089e+02,7.909892540357995472e+01,3.393169609670700027e+01,1.018610818713282669e+02,1.957549488519757830e+01,2.195632027463879155e+01,1.805768534460608521e+01,2.874160747072187050e+01,2.574956310309418583e+01,2.366431913245078889e+01,1.472412985536216823e+01,1.851701919858243883e+01,2.025043209420611845e+01,3.305026474932201808e+01,1.714876088816131983e+01,1.518420231697167999e+01,3.394112549696133385e+01,2.033715811020687525e+01,1.829972677387717539e+01,1.962855063409382339e+01,3.051556979641324929e+01,1.844776409220753877e+01,3.108182748814289909e+01,2.499279896285175084e+01,1.877018913062730832e+01,7.985587016619686551e+01,1.034725084261638415e+02,9.742689567053216138e+01,6.562194754809314645e+01,4.476109024588183729e+02,2.265540112202921819e+02,6.600848430319021531e+01,1.780727941040188682e+02,1.478334197669746288e+02,1.655019033123265046e+02,1.489096370286332558e+02,1.738040275712880316e+02,3.840208327682361755e+01,3.573681575070384042e+01,4.140338150444684118e+01,3.788192180974503742e+01,2.001199640218759157e+01,2.453405796030531150e+01,2.860769127348132201e+01,3.011444835961188105e+01,2.557498778108847759e+01,2.358304475677534384e+01,1.251143476984309331e+02,7.979373408981363980e+01,5.463332316449898229e+01,7.357282106865476123e+01,2.839718295889453969e+01,1.443412622918359034e+02,1.449673066591118413e+02,9.567528416471023434e+01,8.821247077370549050e+01,8.971510463684225556e+01,1.166718475040080989e+02,8.827049337124520889e+01,9.316222410399583964e+01,1.043739431084128597e+02,7.846222020820026444e+01,1.058459257600384404e+02,8.913181250260659283e+01,6.484072794155102315e+01,3.061241578182947265e+01,8.529572087741857445e+01,1.087382177548077777e+01,1.453272169959421767e+01,2.391652148625383489e+01,3.075321121438155814e+01,3.308171700500477641e+01,1.755448660597690846e+01,4.678461285505548517e+01,5.752912305957777050e+01,5.072593025269632250e+01,7.738630369773639472e+01,5.442646415117898329e+01,6.173362130963054994e+01,4.632580274534911524e+01,6.958160676499554143e+01,3.638900932980574510e+01,7.875633307868707789e+01,5.341310700563759184e+01,9.405275115592979773e+01,1.763791370882569538e+02,1.382461572702869148e+02,1.223934638777895145e+02,6.082762530297265613e+01,8.893683151538174059e+01,9.584904798690470784e+01,7.054870657923196120e+01,4.392721252255638831e+01,3.244441400302830658e+01,7.923635529223571439e+01,7.938160996097784050e+01,1.018571548787689238e+02,8.844614180392107983e+01,5.488169093605374371e+01,2.857691375918386356e+01,4.017561449440547250e+01,3.547167884384362679e+01,3.415728326434449258e+01,7.584510531342372985e+01,3.126915412987963805e+01,3.298969536083970411e+01,4.332758936290940710e+01,3.673254687600717006e+01,4.994076491207250967e+01,2.431131423836716365e+01,2.589517329540997892e+01,2.937754244322024633e+01,2.986369032787992950e+01,3.032886413955834470e+01,3.251830253871560217e+01,6.599151460602213604e+01,4.341428336387748743e+01,4.394542069443782140e+01
5.813501526619314319e+01,2.204722204720181722e+01,2.706436771852001399e+01,3.127427057506839247e+01,nan,2.774454901429879072e+01,1.114988789175724371e+01,2.116223050632011748e+01,1.753624817341603404e+01,1.538830724929420235e+01,2.106931161959910241e+02,5.596999195995509524e+01,4.564383857659302635e+01,4.051863768684423661e+01,2.818226392603789776e+01,6.407245898202720014e+01,2.847876401806545132e+01,2.935029812451973541e+01,1.633156453015977405e+01,3.632299547117602145e+01,7.854069009118886413e+01,2.975634386140371390e+01,1.804438970994031877e+01,1.325443322053604511e+01,2.244638055451828507e+01,4.232257081037914759e+01,1.998399359497262395e+01,2.099523755520331036e+01,1.921665943908768526e+01,2.218107301275374965e+01,6.987646241760111820e+01,2.155179806882298621e+01,3.365709434875311246e+01,3.347835121387650048e+01,2.306512518935899436e+01,4.428634100941054186e+01,2.120377324910375805e+01,3.448593916373715729e+01,4.444502221849182888e+01,4.394906142343602085e+01,2.813396523770983038e+01,2.154808576190049152e+01,3.118204611628874545e+01,3.081038785863413665e+01,3.376625534465397038e+01,5.978494793842931898e+01,2.845347078998920765e+01,2.295735176370437358e+01,2.492548896207028264e+01,1.973828766641630850e+01,3.994596350069964075e+01,3.770198933744242709e+01,1.309656443497824618e+01,1.602498049927231349e+01,2.004395170621435440e+01,6.311259779160888428e+01,6.241281919609883033e+01,1.861612204500572432e+01,2.893302611204100216e+01,2.479354754771633651e+01,1.088940769739038785e+02,6.273499820673136895e+01,1.688075827689900166e+01,1.810635247643137546e+01,1.457669372668520680e+01,1.887470264666482365e+02,5.295129837878796053e+01,2.399666643517955222e+01,8.228535714207791329e+01,1.553319027117356654e+01,2.391986622034193388e+01,4.567012152384260304e+01,4.571389285545504322e+01,2.356607731463825317e+01,4.408718634701136807e+01,2.765791026091748606e+01,3.065420036467591203e+01,4.704210879627569142e+01,4.953544185734574512e+01,3.846868856617226129e+01,3.585303334449365309e+01,3.513858278299780835e+01,2.949169374589503434e+01,2.047828117796455416e+01,3.115637976404509857e+01,3.996598553766905582e+01,2.611359799033823492e+01,1.879148743433713520e+01,2.295386677668422593e+01,2.238928315059420626e+01,5.612272267094127898e+01,7.630465254489777749e+01,6.974353016585864395e+01,4.202856171703636790e+01,4.232013232493527539e+02,1.979640371380612294e+02,4.566661800491075951e+01,1.517814217880585090e+02,1.250855707106627221e+02,1.387400446878923788e+02,1.205374630560881428e+02,1.484722196237374305e+02,2.038430769007635490e+01,1.987963782368638022e+01,4.783973244072046782e+01,1.976259092318810673e+01,2.937481914835786156e+01,1.960408120777956142e+01,3.294115966390219796e+01,3.815127782920740884e+01,2.348105619438196001e+01,2.850964749008813115e+01,9.723456175661026180e+01,5.523187485504987393e+01,3.909577982338014834e+01,4.913817253415714248e+01,2.665933232472867687e+01,1.157632065900084513e+02,1.172259356968437913e+02,6.824309488880973618e+01,6.190573479087455411e+01,6.326958194900441157e+01,8.849406759777491516e+01,5.837807807729291198e+01,6.569139974152592742e+01,7.564654651736078961e+01,5.451605268173973684e+01,7.876750599073221792e+01,6.449434083700336373e+01,5.434850503920265652e+01,2.501519538181101865e+01,5.741498062352403764e+01,3.488266044906691832e+01,3.054701294729708749e+01,3.573233829466704492e+01,1.730664612227591093e+01,1.846076921469892795e+01,2.567800615311132617e+01,2.550921402159169205e+01,3.404232659498737945e+01,2.884441020378006115e+01,5.164649068427993939e+01,2.911219675669965312e+01,3.852895015442241800e+01,3.776771107701311081e+01,4.262956720400768518e+01,2.057571383929237996e+01,5.491957756578878502e+01,3.058627143021454486e+01,6.853320363149326511e+01,1.485788679456110515e+02,1.107675042600409796e+02,9.517394601465400683e+01,3.997799394669240058e+01,6.193932514968826553e+01,7.033064765805011120e+01,4.630853053159815857e+01,2.247131504833411952e+01,2.347764894529487023e+01,5.472988214862156298e+01,5.455272678799641284e+01,7.358586820848677235e+01,6.336560581259374203e+01,3.005062395367513872e+01,1.324235628577502766e+01,1.749514218289801448e+01,1.710204666123645367e+01,1.919166485745253681e+01,5.024261139707725476e+01,2.495756398377729468e+01,2.670730237216381298e+01,2.578371579119361456e+01,2.372172000511184109e+01,5.744144844971560815e+01,3.016222803446195044e+01,2.509183134003114191e+01,2.514279220781500612e+01,2.484512024529674790e+01,2.211967450027548310e+01,3.152395914214659101e+01,4.168452950435474236e+01,2.407986710920143736e+01,2.022275945559994170e+01
4.955158927820495052e+01,2.160370338614407260e+01,3.834788129738558382e+01,4.276260048225193344e+01,2.774454901429879072e+01,nan,2.669232099316990769e+01,2.312055362657073232e+01,2.647262737242637698e+01,2.289104628442554556e+01,2.334640276537799650e+02,6.835554110681020745e+01,5.822027138371102950e+01,5.513909683697632858e+01,4.060935852730850826e+01,6.454145954346260794e+01,4.243771907156974521e+01,3.805890171828701085e+01,2.599692289490316810e+01,4.687344664093216551e+01,6.963102756673626459e+01,3.922652164032494682e+01,2.727636339399597887e+01,1.658915308262852761e+01,2.928207642913870146e+01,3.891323682245242566e+01,2.996264340809880977e+01,2.234636435766537943e+01,2.497678922519183686e+01,2.371497417253271323e+01,5.806203578931609854e+01,2.641514716974043964e+01,4.680170937053150482e+01,4.710498912005992622e+01,3.393405369242476866e+01,4.612157846389081328e+01,2.861048758759070409e+01,2.848157299020647315e+01,3.628994351054490863e+01,3.839999999996981472e+01,2.818794068391501995e+01,3.208239392562082060e+01,2.295386677664206232e+01,4.563332115897415520e+01,4.456904755546772634e+01,4.510254981703078414e+01,3.915098977031933458e+01,3.357856459110027458e+01,2.067268729501004287e+01,1.907039590556750142e+01,3.012241690173942388e+01,3.545137514962119951e+01,2.910944863784214931e+01,2.449163122384259239e+01,2.456664405241655302e+01,5.056797405476611829e+01,4.829078587061768246e+01,2.238213573369205278e+01,2.715290039760716923e+01,2.320689552699358416e+01,9.313645902651754227e+01,4.926824535131478910e+01,2.656012048157756311e+01,3.539039417696447742e+01,3.227878560291369325e+01,1.735608250729421229e+02,4.650505348884197332e+01,2.763765547221254693e+01,6.929935064631054331e+01,3.342573858577012658e+01,3.226887044814861127e+01,6.046618889925203177e+01,5.554385654599823141e+01,3.469870314578260917e+01,5.504180229607229791e+01,4.365684367881635097e+01,3.956361965239383949e+01,6.134492644056493305e+01,5.364624870389909717e+01,5.374755808407872593e+01,5.049039512623502191e+01,3.486430839702407525e+01,3.563144678503364560e+01,3.197499022668253943e+01,4.032269832242150898e+01,4.141110962049732791e+01,3.399529379194186873e+01,2.463493454417351103e+01,3.488266044892622375e+01,3.430451865278681112e+01,4.219763026514924320e+01,6.297301009168035790e+01,5.941582280845026531e+01,3.036050065465279602e+01,4.004775149743171596e+02,1.817290290515072400e+02,3.398117125703542030e+01,1.295296105143501393e+02,1.021630070034821642e+02,1.177848886742565639e+02,1.112726381461443026e+02,1.255872605003828397e+02,2.403331021726875960e+01,2.245350752104264558e+01,5.375351151320091958e+01,2.407986710938934038e+01,3.707721672398501056e+01,2.506312031652643313e+01,4.342533822559076384e+01,4.157114383803600788e+01,3.301151314316290097e+01,3.825179734338213677e+01,7.999399977495757241e+01,3.912441692862753939e+01,2.752162785890291730e+01,3.114353865565752955e+01,3.367372863233511993e+01,1.005648049766940346e+02,1.001550797513448998e+02,5.096508608842533050e+01,4.613545274511592709e+01,4.803665267275869155e+01,7.252034197384095648e+01,4.641896164278896464e+01,5.004957542275852234e+01,6.155192929552985248e+01,3.728806779653473313e+01,6.539235429315876047e+01,5.228231058397523157e+01,3.928154783098852221e+01,2.975903224231901234e+01,4.605388148679603688e+01,4.806662043460373468e+01,4.461927834465296883e+01,4.135311354665289940e+01,2.032928921525791210e+01,2.278244938545150688e+01,4.269894612282156743e+01,2.148115453144034959e+01,2.722351924355587727e+01,2.430802336680148912e+01,4.715591161249457031e+01,2.465765601178318533e+01,3.284387309687992484e+01,4.063496031746532111e+01,3.505196142871010778e+01,2.236783404779576045e+01,4.452774416016718817e+01,2.026228022697827669e+01,5.648787480514419457e+01,1.329721775409981888e+02,9.588409670014600295e+01,8.037412518965574293e+01,3.353326706426722126e+01,5.234653761237232317e+01,5.732434037996606691e+01,4.733539901593891130e+01,3.331306050182562473e+01,2.423881185212106359e+01,4.737425461154226980e+01,4.646030563824315607e+01,6.408244689462216570e+01,5.507667382837918524e+01,2.958648340036202740e+01,2.467063031218441438e+01,2.037645700314683950e+01,1.744935528906828992e+01,1.681903683340194178e+01,4.721694611048864942e+01,2.880833212802584953e+01,2.589208373232919413e+01,2.726169473813451205e+01,2.672227535209591665e+01,6.649511260236488397e+01,3.508845964136184392e+01,2.729688626927938699e+01,2.854049754294737085e+01,2.776184431917568318e+01,3.161265569346382875e+01,3.676955262167564342e+01,3.118974190338985508e+01,2.436390773253956965e+01,2.379915964903549153e+01
