nan,6.435277771784113554e+01,4.744175376184912807e+01,5.401629383806310614e+01,3.932836126766385831e+01,1.806570231128605712e+02,1.626166043182557530e+02,1.264544186653841535e+02,2.945912422323524993e+01,3.215960198759267286e+01,3.254043638306917785e+01,2.198690519377394423e+02,1.842524355334265920e+02,1.524781951624542842e+02,1.341998509686238208e+02,1.076691227789988119e+02
6.435277771784113554e+01,nan,9.201912844621332965e+01,3.872570205939516796e+01,3.774016428155129432e+01,1.419256143196127198e+02,9.917822341621470628e+01,7.358478103516090130e+01,6.190185780741707333e+01,6.778554418169186135e+01,5.981036699437140669e+01,1.581376615484360570e+02,1.266162706764180967e+02,1.164487870267311962e+02,7.915958564823102961e+01,6.524170445361318116e+01
4.744175376184912807e+01,9.201912844621332965e+01,nan,8.829586626791862614e+01,7.864451665558216575e+01,2.415109107265885200e+02,2.278006145733649817e+02,1.729499349522816374e+02,6.552800927839915346e+01,5.699122739511670943e+01,4.139758447066470382e+01,2.895778997091931046e+02,2.481435068664890764e+02,2.132799099774652802e+02,1.686084220909659450e+02,1.431301505623461310e+02
5.401629383806310614e+01,3.872570205939516796e+01,8.829586626791862614e+01,nan,3.116151472572378367e+01,1.446352654091815566e+02,1.084383695930824132e+02,8.875764755782948612e+01,5.697157185827852999e+01,6.182685500645666110e+01,4.213691967866666488e+01,1.639048504468515262e+02,1.349180492001989649e+02,1.162652140582006979e+02,9.306513847843893927e+01,6.909934876681786875e+01
3.932836126766385831e+01,3.774016428155129432e+01,7.864451665558216575e+01,3.116151472572378367e+01,nan,1.432502705058445258e+02,1.078673259147460044e+02,8.795453370921222813e+01,3.515679166241982045e+01,4.615278973138028817e+01,4.692291551047335929e+01,1.661252539501376191e+02,1.334622043875833697e+02,1.134259229629831367e+02,1.011691652629115197e+02,8.232520877595419506e+01
1.806570231128605712e+02,1.419256143196127198e+02,2.415109107265885200e+02,1.446352654091815566e+02,1.432502705058445258e+02,nan,8.134961585662432526e+01,9.363930798550694590e+01,8.610505211661036640e+01,1.277616530888180364e+02,1.395444015358697243e+02,8.099086368236915234e+01,6.672690611735170307e+01,4.310916375891707730e+01,1.175897954756289892e+02,1.363624581766894721e+02
1.626166043182557530e+02,9.917822341621470628e+01,2.278006145733649817e+02,1.084383695930824132e+02,1.078673259147460044e+02,8.134961585662432526e+01,nan,6.753132606424638595e+01,8.365261502185727238e+01,1.055211827075631987e+02,1.146102962216086780e+02,6.257283755749926968e+01,3.648780618233983120e+01,6.157661893924439767e+01,7.752573766181704684e+01,9.213989364011246153e+01
1.264544186653841535e+02,7.358478103516090130e+01,1.729499349522816374e+02,8.875764755782948612e+01,8.795453370921222813e+01,9.363930798550694590e+01,6.753132606424638595e+01,nan,7.995498733662429913e+01,8.614592271256620393e+01,8.217152791571393777e+01,7.635286504113707906e+01,7.361086876268477397e+01,6.723332507023579296e+01,5.500109089839433807e+01,7.572159533449284652e+01
2.945912422323524993e+01,6.190185780741707333e+01,6.552800927839915346e+01,5.697157185827852999e+01,3.515679166241982045e+01,8.610505211661036640e+01,8.365261502185727238e+01,7.995498733662429913e+01,nan,2.055237212590779805e+01,3.602665679755445183e+01,1.055408925488210770e+02,7.406267616010912036e+01,7.533286135543008299e+01,1.070962184206791648e+02,1.079911107453453951e+02
3.215960198759267286e+01,6.778554418169186135e+01,5.699122739511670943e+01,6.182685500645666110e+01,4.615278973138028817e+01,1.277616530888180364e+02,1.055211827075631987e+02,8.614592271256620393e+01,2.055237212590779805e+01,nan,2.733495930126425222e+01,1.596896991042036973e+02,1.183303849398021299e+02,1.008317410342458800e+02,1.028482377096959226e+02,1.006395548480312385e+02
3.254043638306917785e+01,5.981036699437140669e+01,4.139758447066470382e+01,4.213691967866666488e+01,4.692291551047335929e+01,1.395444015358697243e+02,1.146102962216086780e+02,8.217152791571393777e+01,3.602665679755445183e+01,2.733495930126425222e+01,nan,1.765151551566881949e+02,1.322760749341736926e+02,1.104673707481155276e+02,9.160873320811840870e+01,8.292936753641693315e+01
2.198690519377394423e+02,1.581376615484360570e+02,2.895778997091931046e+02,1.639048504468515262e+02,1.661252539501376191e+02,8.099086368236915234e+01,6.257283755749926968e+01,7.635286504113707906e+01,1.055408925488210770e+02,1.596896991042036973e+02,1.765151551566881949e+02,nan,5.532738923892512162e+01,7.494958305431850931e+01,9.375798632649598119e+01,1.307608504101846734e+02
1.842524355334265920e+02,1.266162706764180967e+02,2.481435068664890764e+02,1.349180492001989649e+02,1.334622043875833697e+02,6.672690611735170307e+01,3.648780618233983120e+01,7.361086876268477397e+01,7.406267616010912036e+01,1.183303849398021299e+02,1.322760749341736926e+02,5.532738923892512162e+01,nan,5.734247989057440265e+01,9.196434091533960498e+01,1.174182268645107712e+02
1.524781951624542842e+02,1.164487870267311962e+02,2.132799099774652802e+02,1.162652140582006979e+02,1.134259229629831367e+02,4.310916375891707730e+01,6.157661893924439767e+01,6.723332507023579296e+01,7.533286135543008299e+01,1.008317410342458800e+02,1.104673707481155276e+02,7.494958305431850931e+01,5.734247989057440265e+01,nan,1.041268457219426580e+02,1.173493928403245121e+02
1.341998509686238208e+02,7.915958564823102961e+01,1.686084220909659450e+02,9.306513847843893927e+01,1.011691652629115197e+02,1.175897954756289892e+02,7.752573766181704684e+01,5.500109089839433807e+01,1.070962184206791648e+02,1.028482377096959226e+02,9.160873320811840870e+01,9.375798632649598119e+01,9.196434091533960498e+01,1.041268457219426580e+02,nan,4.288029850652023356e+01
1.076691227789988119e+02,6.524170445361318116e+01,1.431301505623461310e+02,6.909934876681786875e+01,8.232520877595419506e+01,1.363624581766894721e+02,9.213989364011246153e+01,7.572159533449284652e+01,1.079911107453453951e+02,1.006395548480312385e+02,8.292936753641693315e+01,1.307608504101846734e+02,1.174182268645107712e+02,1.173493928403245121e+02,4.288029850652023356e+01,nan
