nan,3.939543120717595492e+00,4.363484845852204863e+00,1.361763562443922204e+01,9.217374897441940718e+00,8.138795979749566811e+00,1.390827092056965419e+01,1.205321533865521033e+01,1.267438361420378001e+01,1.424359505181189078e+01,9.674709297956811227e+00,1.191301808946755614e+01,9.871170143401780450e+00,1.043072384832402832e+01,6.437390775771180351e+00,9.491048414162149172e+00,5.153639490690332892e+00,5.396295025291498959e+00,8.294576541330723529e+00,9.086253353278985756e+00,5.199999999998723865e+00,1.017447787358118028e+01,1.053755189785528934e+01,1.091787525116414415e+01
3.939543120717595492e+00,nan,4.898979485564810332e+00,1.148216007552580997e+01,7.483314773547229848e+00,6.362389488232096824e+00,1.182539639927420438e+01,9.658157174119288868e+00,1.049952379872520147e+01,1.207311061822898068e+01,7.969943538067748356e+00,1.012719112093625462e+01,9.086253353279532874e+00,9.724196624914482001e+00,6.858571279792057496e+00,7.756287771865202352e+00,7.299315036357767461e+00,6.105735008989011448e+00,7.166589146865979032e+00,8.109253973083914602e+00,5.685068161419494892e+00,8.099382692526321037e+00,9.103845341391755497e+00,9.050966799185930611e+00
4.363484845852204863e+00,4.898979485564810332e+00,nan,1.418731828077414292e+01,9.138927727035804693e+00,7.848566748138436466e+00,1.416474496770027258e+01,1.272477897646938239e+01,1.321211565193050674e+01,1.513671034273845528e+01,1.064330775651917627e+01,1.289961239727704800e+01,1.078517501017015690e+01,1.116422858956186914e+01,6.752777206451790803e+00,1.055272476661800596e+01,5.599999999999170086e+00,6.222539674440260349e+00,8.390470785359736894e+00,9.583318840568335162e+00,6.387487769068370902e+00,1.094714574672297935e+01,1.159999999999906350e+01,1.139824547901959662e+01
1.361763562443922204e+01,1.148216007552580997e+01,1.418731828077414292e+01,nan,8.109253973084864953e+00,9.507891459202442164e+00,4.525483399590941147e+00,5.106858133920469278e+00,2.622975409720588402e+00,4.214261501139573873e+00,8.399999999998515321e+00,4.156921938163483432e+00,1.104898185354580598e+01,1.031503756658204374e+01,1.584424185627031711e+01,5.261178575183969919e+00,1.745393938341706885e+01,1.625792114632088570e+01,9.440338976963856155e+00,9.112628599914124550e+00,1.614434885648807239e+01,4.399999999999676170e+00,4.195235392680015885e+00,5.011985634453828276e+00
9.217374897441940718e+00,7.483314773547229848e+00,9.138927727035804693e+00,8.109253973084864953e+00,nan,7.599999999999309530e+00,6.717142249497079831e+00,6.013318551346933383e+00,7.568355171368681411e+00,8.899438184514702144e+00,9.748846085562492547e+00,6.823488843691521311e+00,1.142628548566757551e+01,1.141227409414901039e+01,1.046135746449743920e+01,5.959865770299551002e+00,1.203328716519212627e+01,1.129247537079436725e+01,4.252058325092750835e+00,2.856571371412097271e+00,1.108512516843950557e+01,6.118823416310968710e+00,6.013318551348930896e+00,5.642694391866477588e+00
8.138795979749566811e+00,6.362389488232096824e+00,7.848566748138436466e+00,9.507891459202442164e+00,7.599999999999309530e+00,nan,1.127829774389663342e+01,9.846826900071858901e+00,8.708616422829155823e+00,1.114271062174672089e+01,7.536577472566637681e+00,1.009554357129857394e+01,8.168231142663261224e+00,6.962758074210066539e+00,9.406380813043176303e+00,7.166589146867386795e+00,1.219836054558009764e+01,1.111395519155905554e+01,6.349803146554820366e+00,1.010346475225110296e+01,1.063578864024530901e+01,7.199999999998063949e+00,7.725283166330547679e+00,8.971064596802198920e+00
1.390827092056965419e+01,1.182539639927420438e+01,1.416474496770027258e+01,4.525483399590941147e+00,6.717142249497079831e+00,1.127829774389663342e+01,nan,4.489988864127742119e+00,5.261178575183742545e+00,4.595650117228713860e+00,1.037689741685712264e+01,4.195235392680413788e+00,1.310267148332705567e+01,1.277497553813607034e+01,1.616910634512577616e+01,6.474565622493469341e+00,1.758635834958367283e+01,1.619382598399706907e+01,9.558242516277420719e+00,6.939740629158802854e+00,1.617899873292498469e+01,6.039867548216477644e+00,5.245950819439238799e+00,4.979959839191876902e+00
1.205321533865521033e+01,9.658157174119288868e+00,1.272477897646938239e+01,5.106858133920469278e+00,6.013318551346933383e+00,9.846826900071858901e+00,4.489988864127742119e+00,nan,5.713142742833271726e+00,5.614267539044828226e+00,9.499473669629924899e+00,4.698936049786577307e+00,1.273734666247234415e+01,1.238709005376110284e+01,1.397712416772399813e+01,5.138093031464050497e+00,1.559487095169396298e+01,1.397139935725736493e+01,8.059776671842769247e+00,6.486909896089183114e+00,1.390827092057087988e+01,4.898979485565432945e+00,4.613025037866692379e+00,4.326661530553976398e+00
1.267438361420378001e+01,1.049952379872520147e+01,1.321211565193050674e+01,2.622975409720588402e+00,7.568355171368681411e+00,8.708616422829155823e+00,5.261178575183742545e+00,5.713142742833271726e+00,nan,4.418144406874125352e+00,7.375635565832443952e+00,3.815756805663788498e+00,9.499473669629470152e+00,9.226050075736583977e+00,1.502531197679393848e+01,4.289522117902309972e+00,1.654085850250816492e+01,1.544020725249471404e+01,8.726969691707170185e+00,8.799999999998066258e+00,1.516311313681922890e+01,4.156921938164772179e+00,3.730951621234987581e+00,4.345112196478366329e+00
1.424359505181189078e+01,1.207311061822898068e+01,1.513671034273845528e+01,4.214261501139573873e+00,8.899438184514702144e+00,1.114271062174672089e+01,4.595650117228713860e+00,5.614267539044828226e+00,4.418144406874125352e+00,nan,8.899438184514410821e+00,4.098780306381653915e+00,1.163443165779787769e+01,1.131370849898403641e+01,1.624807680927178311e+01,5.851495535330026421e+00,1.799110891523880440e+01,1.653602128687539974e+01,1.043072384832376542e+01,8.962142600962023309e+00,1.624315240339654309e+01,5.499090833945159851e+00,4.979959839195254645e+00,4.715930449020221182e+00
9.674709297956811227e+00,7.969943538067748356e+00,1.064330775651917627e+01,8.399999999998515321e+00,9.748846085562492547e+00,7.536577472566637681e+00,1.037689741685712264e+01,9.499473669629924899e+00,7.375635565832443952e+00,8.899438184514410821e+00,nan,8.532291603079743325e+00,5.184592558723996270e+00,6.299206299207024351e+00,1.122140811128396720e+01,6.144916598294821952e+00,1.319999999999941842e+01,1.167561561546059679e+01,9.773433378296289220e+00,1.064330775651902172e+01,1.147519063022358665e+01,5.810335618530669599e+00,7.144228439795425878e+00,7.673330437300196039e+00
1.191301808946755614e+01,1.012719112093625462e+01,1.289961239727704800e+01,4.156921938163483432e+00,6.823488843691521311e+00,1.009554357129857394e+01,4.195235392680413788e+00,4.698936049786577307e+00,3.815756805663788498e+00,4.098780306381653915e+00,8.532291603079743325e+00,nan,1.164130576868386768e+01,1.109954954040816766e+01,1.471325932619939714e+01,4.963869458394553291e+00,1.531012736720294143e+01,1.397139935725785165e+01,8.917398723842326902e+00,6.523802572119918430e+00,1.374045122985379308e+01,4.931531202372787526e+00,3.919183588451968792e+00,3.898717737919785709e+00
9.871170143401780450e+00,9.086253353279532874e+00,1.078517501017015690e+01,1.104898185354580598e+01,1.142628548566757551e+01,8.168231142663261224e+00,1.310267148332705567e+01,1.273734666247234415e+01,9.499473669629470152e+00,1.163443165779787769e+01,5.184592558723996270e+00,1.164130576868386768e+01,nan,4.543126676639507089e+00,1.037689741685756495e+01,8.352245207127436899e+00,1.244507934888274114e+01,1.291820420956338999e+01,1.039230484541208810e+01,1.316966210652286762e+01,1.228983319658961726e+01,8.284926070882669080e+00,9.474175425860714483e+00,1.028396810574523101e+01
1.043072384832402832e+01,9.724196624914482001e+00,1.116422858956186914e+01,1.031503756658204374e+01,1.141227409414901039e+01,6.962758074210066539e+00,1.277497553813607034e+01,1.238709005376110284e+01,9.226050075736583977e+00,1.131370849898403641e+01,6.299206299207024351e+00,1.109954954040816766e+01,4.543126676639507089e+00,nan,1.169615321377031947e+01,8.217055433668750908e+00,1.349962962454889315e+01,1.376953158244635311e+01,1.033053725611506124e+01,1.315142577821828063e+01,1.335065541462232375e+01,8.109253973085076339e+00,8.988882021697209623e+00,1.006379650032612716e+01
