,0,1,2,3
0,131.86356585501548,959,-1,959
1,132.3921447820829,960,-1,960
2,132.4404771963617,961,-1,961
3,134.62956584643658,963,-1,963
4,134.76557423912092,963,-1,963
5,135.667829642845,964,-1,964
6,137.40509451981757,966,-1,966
7,138.10604621087376,967,-1,967
8,138.04520998571445,968,-1,968
9,138.01739020862553,289,-1,289
10,137.8985134075056,290,-1,290
11,136.2256950798931,287,-1,287
12,135.99294099327363,288,-1,288
13,135.80220911310687,289,-1,289
14,135.56636751052972,290,-1,290
15,135.46541994176965,291,-1,291
16,135.50321029407388,292,-1,292
17,135.51974025949139,293,-1,293
18,130.11564087380114,233,-1,233
19,127.80798097145572,234,-1,234
20,122.38039058607383,235,-1,235
21,122.1585854534997,236,-1,236
22,122.3888883845261,237,-1,237
23,123.87025470224879,238,-1,238
24,124.91212911483011,239,-1,239
25,128.4485889373643,240,0,240
26,143.0088109173697,301,0,301
27,142.63856421038454,312,2,312
28,138.1963820076343,313,2,313
29,132.43564474868535,314,4,314
30,125.82845465156119,315,4,315
31,116.77465478433234,316,5,316
32,114.02315554307376,317,2,317
33,115.73003067484257,317,8,317
34,122.04720398272143,317,8,317
35,124.50991928356557,318,5,318
36,126.06918735361153,320,8,320
37,126.39936708702308,320,12,320
38,127.45634546777188,321,13,321
39,128.78074390218444,322,0,322
40,138.13211067669968,323,0,323
41,152.8272227059041,323,0,323
42,163.55256035904787,323,0,323
43,171.85621897388526,323,0,323
44,185.9333213816179,323,0,323
45,197.61821778368508,323,0,323
46,210.74762157614023,323,0,323
47,217.53969752668132,323,0,323
48,226.31376449522466,323,0,323
49,236.274755316771,323,1,323
50,245.41817373617639,960,0,960
51,249.04714413138737,963,1,963
52,250.5970470695935,962,27,962
53,253.57917895600193,965,28,965
54,255.68198997974034,985,29,985
55,256.159013114901,985,30,985
56,261.3102370746313,986,31,986
57,263.41753927937293,985,32,985
58,268.82470124599797,968,33,968
59,270.04918070603355,2316,34,2316
60,271.67833921753873,2328,35,2328
61,271.0202944430547,2329,36,2329
62,271.0338724218802,2328,37,2328
63,270.736181549493,2329,38,2329
64,271.4839221758814,2327,39,2327
65,269.9463650431323,2328,40,2328
66,268.03343075071814,2329,41,2329
67,265.12035002994395,2328,42,2328
68,262.89496001254946,2329,43,2329
69,267.54020258645244,2329,44,2329
70,260.0141534609237,460,45,460
71,247.4248168636286,460,46,460
72,236.38984749773022,461,47,461
73,223.76201643710723,461,48,461
74,216.31569522343995,461,49,461
75,206.70403963154723,463,50,463
76,200.0895799385869,463,51,463
77,187.55521853576926,464,52,464
78,179.14061516026996,464,53,464
79,167.65440644373257,464,54,464
80,162.79705157035332,465,55,465
81,159.53432232594977,465,56,465
82,156.51555833207138,466,57,466
83,155.47810135192685,467,58,467
84,153.88775129944565,468,59,468
85,153.80819223955544,469,60,469
86,150.0565226839541,470,61,470
87,148.9407936060502,471,62,471
88,147.28367187166418,472,63,472
89,145.20110192419355,473,64,473
90,143.0026573179675,474,65,474
91,143.670734667851,475,66,475
92,144.12217039720173,476,67,476
