"id","description","observations","from","to","duration","node"
1,[00:00 - 06:30),26,"00:00",06:30,"22500s (~6.25 hours)","Node 2"
2,[06:30 - 09:00),10,06:30,09:00,"9000s (~2.5 hours)","Node 6"
3,[09:00 - 15:45),27,09:00,15:45,"24300s (~6.75 hours)","Node 9"
4,[15:45 - 19:15),14,15:45,19:15,"12600s (~3.5 hours)","Node 8"
5,[19:15 - 24:00),19,19:15,"24:00","18000s (~5 hours)","Node 4"
